partner_id,partner_typ,anrede,titel,vorname,nachname,firmenname,rechtsform,uid_hrb_nummer,geburtsdatum,geschlecht,nationalitaet,zivilstand,beruf_code,beruf_text,beruf_selbstaendig,sprache,land_wohnsitz,kundensegment,kunde_seit,status,todesdatum,datenschutz_werbung_ok,datenschutz_ki_ok,herkunft,quellsystem_primaer,haushalt_id,ist_persona,erstellt_am,geaendert_am
PTR-00000017,NATUERLICH,Herr,,Marcel,Grimm,,,,1986-07-11,M,DE,LEDIG,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,True,de,DE,PRIVAT,2023-05-15,INAKTIV,,false,false,pfefferminz,HAPO,HH-000009,true,2023-05-15T09:00:00Z,2023-05-15T09:00:00Z
PTR-00000018,NATUERLICH,Herr,,Rui,Ferreira,,,,1977-09-02,M,PT,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,CH,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000010,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000019,NATUERLICH,Frau,,Lina,Niederberger,,,,2014-04-09,W,CH,LEDIG,B22,Studentin / Student,False,de,CH,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000001,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000020,NATUERLICH,Herr,,Noah,Niederberger,,,,2017-11-23,M,CH,LEDIG,B22,Studentin / Student,False,de,CH,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000001,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000021,NATUERLICH,Herr,,Carlos,Jovanović,,,,1972-04-01,M,DE,VERHEIRATET,B40,Selbständige Unternehmerin / Selbständiger Unternehmer,True,de,DE,PRIVAT,2022-05-01,AKTIV,,false,true,minzia,MINT,HH-000021,false,2022-05-01T09:00:00Z,2022-05-01T09:00:00Z
PTR-00000022,NATUERLICH,Frau,,Birgit,Jovanović,,,,1969-11-19,W,DE,VERHEIRATET,B14,Architektin / Architekt,False,de,DE,PRIVAT,,AKTIV,,true,false,minzia,MINT,HH-000021,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000023,NATUERLICH,Frau,,Alice,Pellegrini,,,,1994-05-06,W,CH,VERHEIRATET,B40,Selbständige Unternehmerin / Selbständiger Unternehmer,True,it,CH,PRIVAT,2020-06-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000022,false,2020-06-01T09:00:00Z,2020-06-01T09:00:00Z
PTR-00000024,NATUERLICH,Herr,,Matthias,Köhler,,,,1978-09-16,M,DE,VERHEIRATET,B23,Rentnerin / Rentner,False,de,DE,PRIVAT,2023-11-01,AKTIV,,false,true,minzia,MINT,HH-000023,false,2023-11-01T09:00:00Z,2023-11-01T09:00:00Z
PTR-00000025,NATUERLICH,Frau,,Silke,Schmidt,,,,1983-05-02,W,DE,VERHEIRATET,B24,Hausfrau / Hausmann,False,de,DE,PRIVAT,2021-01-01,AKTIV,,true,false,minzia,MINT,HH-000023,false,2021-01-01T09:00:00Z,2021-01-01T09:00:00Z
PTR-00000026,NATUERLICH,Frau,,Priska,Wyss,,,,1978-11-03,W,CH,VERHEIRATET,B24,Hausfrau / Hausmann,False,de,CH,PRIVAT,2016-07-01,AKTIV,,true,true,pfefferminz,HAPO,HH-000024,false,2016-07-01T09:00:00Z,2016-07-01T09:00:00Z
PTR-00000027,NATUERLICH,Herr,,Leon,Flückiger,,,,1983-06-02,M,RS,VERHEIRATET,B13,Treuhänderin / Treuhänder,False,de,CH,PRIVAT,2025-01-01,AKTIV,,false,true,pfefferminz,MINT,HH-000024,false,2025-01-01T09:00:00Z,2025-01-01T09:00:00Z
PTR-00000028,NATUERLICH,Herr,,Maximilian,Schubert,,,,1984-01-03,M,DE,VERHEIRATET,B06,Elektroinstallateurin / Elektroinstallateur,False,de,DE,PRIVAT,2020-07-01,AKTIV,,false,true,minzia,MINT,HH-000025,false,2020-07-01T09:00:00Z,2020-07-01T09:00:00Z
PTR-00000029,NATUERLICH,Frau,,Annika,Arnold,,,,1994-09-09,W,DE,PARTNERSCHAFT,B33,Apothekerin / Apotheker,False,de,DE,PRIVAT,2015-02-01,INAKTIV,,true,false,pfefferminz,HAPO,HH-000026,false,2015-02-01T09:00:00Z,2015-02-01T09:00:00Z
PTR-00000030,NATUERLICH,Herr,,Henry,Beck,,,,1976-11-22,M,DE,LEDIG,B35,Verwaltungsangestellte / Verwaltungsangestellter,False,de,DE,PRIVAT,2007-04-01,INAKTIV,,true,false,pfefferminz,VERA,HH-000027,false,2007-04-01T09:00:00Z,2007-04-01T09:00:00Z
PTR-00000031,NATUERLICH,Frau,,Carla,Patel,,,,1988-08-22,W,CH,LEDIG,B25,Mechanikerin / Mechaniker,False,de,CH,PRIVAT,2025-02-01,AKTIV,,true,false,minzia,MINT,HH-000028,false,2025-02-01T09:00:00Z,2025-02-01T09:00:00Z
PTR-00000032,NATUERLICH,Frau,,Lucie,Rouiller,,,,1992-10-16,W,CH,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,fr,CH,PRIVAT,2018-06-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000029,false,2018-06-01T09:00:00Z,2018-06-01T09:00:00Z
PTR-00000033,NATUERLICH,Herr,,Pascal,Rouiller,,,,1988-11-08,M,CH,VERHEIRATET,B13,Treuhänderin / Treuhänder,False,fr,CH,PRIVAT,2022-09-01,AKTIV,,false,true,pfefferminz,VERA,HH-000029,false,2022-09-01T09:00:00Z,2022-09-01T09:00:00Z
PTR-00000034,NATUERLICH,Frau,,Stefanie,Graf,,,,1971-01-08,W,DE,LEDIG,B32,Malerin / Maler,False,de,DE,PRIVAT,2015-01-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000030,false,2015-01-01T09:00:00Z,2015-01-01T09:00:00Z
PTR-00000035,NATUERLICH,Frau,,Milica,Oliveira,,,,1983-03-20,W,CH,VERHEIRATET,B13,Treuhänderin / Treuhänder,False,de,CH,PRIVAT,2011-04-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000031,false,2011-04-01T09:00:00Z,2011-04-01T09:00:00Z
PTR-00000036,NATUERLICH,Frau,,Sandra,Oliveira,,,,1978-04-17,W,CH,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,CH,PREMIUM,2002-02-01,AKTIV,,true,false,pfefferminz,VERA,HH-000031,false,2002-02-01T09:00:00Z,2002-02-01T09:00:00Z
PTR-00000037,NATUERLICH,Herr,,Reto,Oliveira,,,,2007-06-03,M,TR,LEDIG,B23,Rentnerin / Rentner,False,de,CH,PRIVAT,2025-07-01,AKTIV,,true,true,pfefferminz,MINT,HH-000031,false,2025-07-01T09:00:00Z,2025-07-01T09:00:00Z
PTR-00000038,NATUERLICH,Herr,,Torsten,Klein,,,,1996-12-20,M,DE,PARTNERSCHAFT,B26,Logistikerin / Logistiker,False,de,DE,PRIVAT,2024-08-01,AKTIV,,true,true,minzia,MINT,HH-000032,false,2024-08-01T09:00:00Z,2024-08-01T09:00:00Z
PTR-00000039,NATUERLICH,Frau,,Johanna,Becker,,,,1997-01-14,W,DE,PARTNERSCHAFT,B21,Beraterin / Berater,True,de,DE,PRIVAT,2020-08-01,AKTIV,,false,true,minzia,MINT,HH-000032,false,2020-08-01T09:00:00Z,2020-08-01T09:00:00Z
PTR-00000040,NATUERLICH,Herr,,Hanspeter,Hunziker,,,,1967-05-21,M,CH,VERWITWET,B06,Elektroinstallateurin / Elektroinstallateur,False,de,CH,PRIVAT,2018-06-01,AKTIV,,false,false,pfefferminz,HAPO,HH-000033,false,2018-06-01T09:00:00Z,2018-06-01T09:00:00Z
PTR-00000041,NATUERLICH,Herr,Dr.,Yann,Voisard,,,,1969-08-14,M,CH,VERHEIRATET,B11,Ärztin / Arzt,False,fr,CH,PRIVAT,2011-07-01,INAKTIV,,true,true,pfefferminz,VERA,HH-000034,false,2011-07-01T09:00:00Z,2011-07-01T09:00:00Z
PTR-00000042,NATUERLICH,Frau,,Émilie,Voisard,,,,1970-03-17,W,DE,VERHEIRATET,B05,Verkäuferin / Verkäufer,False,fr,CH,PRIVAT,,AKTIV,,true,true,pfefferminz,HAPO,HH-000034,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000043,NATUERLICH,Herr,,Jan,Bächtold,,,,1991-03-18,M,DE,PARTNERSCHAFT,B23,Rentnerin / Rentner,False,de,CH,PRIVAT,2017-07-01,AKTIV,,true,true,pfefferminz,HAPO,HH-000035,false,2017-07-01T09:00:00Z,2017-07-01T09:00:00Z
PTR-00000044,NATUERLICH,Frau,,Jasmin,Bächtold,,,,1994-05-03,W,CH,PARTNERSCHAFT,B02,Informatikerin / Informatiker,False,de,CH,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000035,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000045,NATUERLICH,Frau,,Lena,Bächtold,,,,2007-06-11,W,CH,LEDIG,B22,Studentin / Student,False,de,CH,PRIVAT,,AKTIV,,false,true,pfefferminz,HAPO,HH-000035,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000046,NATUERLICH,Frau,,Livia,Bächtold,,,,2007-07-16,W,CH,LEDIG,B22,Studentin / Student,False,de,CH,PRIVAT,2025-12-01,AKTIV,,true,false,pfefferminz,MINT,HH-000035,false,2025-12-01T09:00:00Z,2025-12-01T09:00:00Z
PTR-00000047,NATUERLICH,Herr,,Jan,Ernst,,,,1982-01-09,M,DE,PARTNERSCHAFT,B02,Informatikerin / Informatiker,False,de,DE,PRIVAT,2021-06-01,AKTIV,,true,true,minzia,MINT,HH-000036,false,2021-06-01T09:00:00Z,2021-06-01T09:00:00Z
PTR-00000048,NATUERLICH,Frau,,Ivana,Ernst,,,,1987-01-12,W,DE,PARTNERSCHAFT,B26,Logistikerin / Logistiker,False,de,DE,PRIVAT,,AKTIV,,true,false,minzia,MINT,HH-000036,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000049,NATUERLICH,Herr,,Leon,Schmidt,,,,2000-01-21,M,DE,GESCHIEDEN,B03,Lehrerin / Lehrer,False,de,DE,PRIVAT,2022-09-01,AKTIV,,false,true,minzia,MINT,HH-000037,false,2022-09-01T09:00:00Z,2022-09-01T09:00:00Z
PTR-00000050,NATUERLICH,Frau,,Lina,Schneider,,,,1995-12-04,W,DE,VERHEIRATET,B25,Mechanikerin / Mechaniker,False,de,DE,PRIVAT,2016-02-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000038,false,2016-02-01T09:00:00Z,2016-02-01T09:00:00Z
PTR-00000051,NATUERLICH,Herr,,Henry,Vollmer,,,,1999-09-25,M,RO,VERHEIRATET,B05,Verkäuferin / Verkäufer,False,de,DE,PRIVAT,2025-12-01,AKTIV,,true,false,pfefferminz,MINT,HH-000038,false,2025-12-01T09:00:00Z,2025-12-01T09:00:00Z
PTR-00000052,NATUERLICH,Herr,,Luis,Keller,,,,1995-07-08,M,DE,VERHEIRATET,B02,Informatikerin / Informatiker,False,de,DE,PRIVAT,2021-02-01,INAKTIV,,true,false,minzia,MINT,HH-000039,false,2021-02-01T09:00:00Z,2021-02-01T09:00:00Z
PTR-00000053,JURISTISCH,Firma,,,,Werra Dachdeckerei KG,KG,HRB 71745,1989-05-01,UNBEKANNT,DE,UNBEKANNT,,,,de,DE,KMU,2025-01-01,AKTIV,,true,false,minzia,MINT,,false,2025-01-01T09:00:00Z,2025-01-01T09:00:00Z
PTR-00000054,NATUERLICH,Herr,,Arthur,Bugnon,,,,1995-04-04,M,DE,VERHEIRATET,B35,Verwaltungsangestellte / Verwaltungsangestellter,False,fr,CH,PREMIUM,2013-05-01,AKTIV,,true,false,pfefferminz,VERA,HH-000041,false,2013-05-01T09:00:00Z,2013-05-01T09:00:00Z
PTR-00000055,NATUERLICH,Frau,,Inès,Bugnon,,,,1991-12-02,W,CH,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,fr,CH,PRIVAT,2016-12-01,INAKTIV,,true,false,pfefferminz,VERA,HH-000041,false,2016-12-01T09:00:00Z,2016-12-01T09:00:00Z
PTR-00000056,NATUERLICH,Frau,,Alice,Bugnon,,,,2007-06-26,W,PT,LEDIG,B04,Pflegefachfrau / Pflegefachmann,False,fr,CH,PRIVAT,,AKTIV,,true,true,pfefferminz,HAPO,HH-000041,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000057,NATUERLICH,Frau,,Jade,Bugnon,,,,2007-02-12,W,CH,LEDIG,B22,Studentin / Student,False,fr,CH,PRIVAT,,AKTIV,,false,true,pfefferminz,HAPO,HH-000041,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000058,NATUERLICH,Herr,,Matthias,Lorenz,,,,1976-03-06,M,DE,VERHEIRATET,B02,Informatikerin / Informatiker,True,de,DE,PRIVAT,2007-10-01,INAKTIV,,false,false,pfefferminz,HAPO,HH-000042,false,2007-10-01T09:00:00Z,2007-10-01T09:00:00Z
PTR-00000059,NATUERLICH,Frau,,Ute,Lorenz,,,,1973-04-19,W,DE,VERHEIRATET,B23,Rentnerin / Rentner,False,de,DE,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000042,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000060,NATUERLICH,Frau,,Petra,Hartmann,,,,1959-03-01,W,TR,VERHEIRATET,B23,Rentnerin / Rentner,False,de,DE,PRIVAT,1996-02-01,INAKTIV,,true,false,pfefferminz,VERA,HH-000043,false,1996-02-01T09:00:00Z,1996-02-01T09:00:00Z
PTR-00000061,NATUERLICH,Herr,,Oliver,Hoffmann,,,,1984-08-16,M,DE,VERHEIRATET,B21,Beraterin / Berater,False,de,DE,PRIVAT,2014-03-01,INAKTIV,,true,false,pfefferminz,HAPO,HH-000044,false,2014-03-01T09:00:00Z,2014-03-01T09:00:00Z
PTR-00000062,NATUERLICH,Frau,,Charlotte,Hoffmann,,,,1984-04-12,W,IT,VERHEIRATET,B04,Pflegefachfrau / Pflegefachmann,False,de,DE,PRIVAT,,AKTIV,,true,false,pfefferminz,HAPO,HH-000044,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000063,NATUERLICH,Frau,,Hanna,Hoffmann,,,,2007-04-22,W,DE,LEDIG,B11,Ärztin / Arzt,True,de,DE,PRIVAT,,AKTIV,,true,false,pfefferminz,HAPO,HH-000044,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000064,NATUERLICH,Herr,,Leon,Hofmann,,,,2007-09-15,M,DE,LEDIG,B05,Verkäuferin / Verkäufer,False,de,DE,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000044,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000065,NATUERLICH,Herr,,Jan,Graf,,,,2004-02-09,M,CH,LEDIG,B26,Logistikerin / Logistiker,False,de,CH,PRIVAT,2023-03-01,AKTIV,,true,false,minzia,MINT,HH-000045,false,2023-03-01T09:00:00Z,2023-03-01T09:00:00Z
PTR-00000066,NATUERLICH,Herr,,Thomas,Friedrich,,,,1967-02-25,M,DE,VERHEIRATET,B23,Rentnerin / Rentner,False,de,DE,PRIVAT,2023-03-01,AKTIV,,false,true,minzia,MINT,HH-000046,false,2023-03-01T09:00:00Z,2023-03-01T09:00:00Z
PTR-00000067,NATUERLICH,Frau,,Svetlana,Friedrich,,,,1966-02-06,W,DE,VERHEIRATET,B32,Malerin / Maler,False,de,DE,PRIVAT,,AKTIV,,false,true,minzia,MINT,HH-000046,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000068,NATUERLICH,Herr,,Dirk,Kolbe,,,,1996-11-06,M,IT,VERHEIRATET,B08,Schreinerin / Schreiner,False,de,DE,PRIVAT,2018-12-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000047,false,2018-12-01T09:00:00Z,2018-12-01T09:00:00Z
PTR-00000069,NATUERLICH,Herr,,Luis,Berger,,,,1991-07-28,M,DE,VERHEIRATET,B03,Lehrerin / Lehrer,False,de,DE,PRIVAT,2013-08-01,AKTIV,,true,true,pfefferminz,VERA,HH-000047,false,2013-08-01T09:00:00Z,2013-08-01T09:00:00Z
PTR-00000070,NATUERLICH,Frau,,Stéphanie,Gilliéron,,,,1970-08-05,W,FR,VERHEIRATET,B27,Grafikerin / Grafiker,True,fr,CH,PRIVAT,2025-01-01,AKTIV,,false,false,pfefferminz,MINT,HH-000048,false,2025-01-01T09:00:00Z,2025-01-01T09:00:00Z
PTR-00000071,NATUERLICH,Herr,,Patrick,Chappuis,,,,1969-12-19,M,DE,VERHEIRATET,B23,Rentnerin / Rentner,False,fr,CH,PREMIUM,2007-01-01,AKTIV,,false,false,pfefferminz,VERA,HH-000048,false,2007-01-01T09:00:00Z,2007-01-01T09:00:00Z
PTR-00000072,NATUERLICH,Herr,,Antoine,Gilliéron,,,,2007-04-01,M,CH,LEDIG,B35,Verwaltungsangestellte / Verwaltungsangestellter,False,fr,CH,PRIVAT,,AKTIV,,true,true,pfefferminz,HAPO,HH-000048,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000073,NATUERLICH,Frau,,Emma,Rey,,,,2005-06-15,W,CH,LEDIG,B23,Rentnerin / Rentner,False,fr,CH,PRIVAT,2024-11-01,AKTIV,,false,false,pfefferminz,VERA,HH-000048,false,2024-11-01T09:00:00Z,2024-11-01T09:00:00Z
PTR-00000074,NATUERLICH,Frau,,Lina,Schneider,,,,2001-08-11,W,RO,VERHEIRATET,B22,Studentin / Student,False,de,DE,PRIVAT,2020-04-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000049,false,2020-04-01T09:00:00Z,2020-04-01T09:00:00Z
PTR-00000075,NATUERLICH,Herr,,Finn,Schneider,,,,2001-10-18,M,DE,VERHEIRATET,B22,Studentin / Student,False,de,DE,PREMIUM,2019-11-01,AKTIV,,true,false,pfefferminz,VERA,HH-000049,false,2019-11-01T09:00:00Z,2019-11-01T09:00:00Z
PTR-00000076,NATUERLICH,Frau,,Hanna,Schneider,,,,2007-04-11,W,DE,LEDIG,B30,Forstwartin / Forstwart,False,de,DE,PRIVAT,2025-07-01,AKTIV,,true,false,pfefferminz,MINT,HH-000049,false,2025-07-01T09:00:00Z,2025-07-01T09:00:00Z
PTR-00000077,NATUERLICH,Frau,,Charlotte,Schneider,,,,2007-08-13,W,DE,LEDIG,B22,Studentin / Student,False,de,DE,PRIVAT,2025-10-01,AKTIV,,true,true,pfefferminz,MINT,HH-000049,false,2025-10-01T09:00:00Z,2025-10-01T09:00:00Z
PTR-00000078,NATUERLICH,Frau,,Stefanie,Horn,,,,1978-11-17,W,IT,VERHEIRATET,B20,Polizistin / Polizist,False,de,DE,PRIVAT,2024-07-01,AKTIV,,true,true,minzia,MINT,HH-000050,false,2024-07-01T09:00:00Z,2024-07-01T09:00:00Z
PTR-00000079,NATUERLICH,Frau,,Sarah,Schäfer,,,,1985-06-12,W,DE,PARTNERSCHAFT,B05,Verkäuferin / Verkäufer,False,de,DE,PRIVAT,2013-09-01,AKTIV,,true,false,pfefferminz,VERA,HH-000051,false,2013-09-01T09:00:00Z,2013-09-01T09:00:00Z
PTR-00000080,NATUERLICH,Herr,,Jonas,Schäfer,,,,1990-06-25,M,DE,PARTNERSCHAFT,B25,Mechanikerin / Mechaniker,False,de,DE,PRIVAT,,AKTIV,,true,true,pfefferminz,HAPO,HH-000051,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000081,NATUERLICH,Herr,,Emil,Schäfer,,,,2007-04-06,M,GR,LEDIG,B22,Studentin / Student,False,de,DE,PRIVAT,2025-08-01,AKTIV,,true,false,pfefferminz,MINT,HH-000051,false,2025-08-01T09:00:00Z,2025-08-01T09:00:00Z
PTR-00000082,NATUERLICH,Herr,,Paul,Schneider,,,,2007-03-06,M,DE,LEDIG,B22,Studentin / Student,False,de,DE,PRIVAT,2025-06-01,AKTIV,,false,false,pfefferminz,MINT,HH-000052,false,2025-06-01T09:00:00Z,2025-06-01T09:00:00Z
PTR-00000083,NATUERLICH,Frau,,Irene,Meier,,,,1962-05-21,W,CH,VERHEIRATET,B10,Ingenieurin / Ingenieur,False,de,CH,PRIVAT,2001-06-01,AKTIV,,true,false,pfefferminz,VERA,HH-000053,false,2001-06-01T09:00:00Z,2001-06-01T09:00:00Z
PTR-00000084,NATUERLICH,Herr,,Cédric,Crettaz,,,,1983-09-17,M,CH,GESCHIEDEN,B10,Ingenieurin / Ingenieur,False,fr,CH,PRIVAT,2020-09-01,AKTIV,,true,false,pfefferminz,HAPO,HH-000054,false,2020-09-01T09:00:00Z,2020-09-01T09:00:00Z
PTR-00000085,NATUERLICH,Herr,,Cyrill,Meyer,,,,1994-02-18,M,CH,GESCHIEDEN,B04,Pflegefachfrau / Pflegefachmann,False,de,CH,PRIVAT,2015-06-01,AKTIV,,true,true,pfefferminz,HAPO,HH-000055,false,2015-06-01T09:00:00Z,2015-06-01T09:00:00Z
PTR-00000086,NATUERLICH,Herr,,Florian,Ernst,,,,1984-08-26,M,DE,VERHEIRATET,B18,Physiotherapeutin / Physiotherapeut,False,de,DE,PRIVAT,2007-05-01,AKTIV,,false,true,pfefferminz,VERA,HH-000056,false,2007-05-01T09:00:00Z,2007-05-01T09:00:00Z
PTR-00000087,NATUERLICH,Frau,,Jessica,Ernst,,,,1983-12-02,W,DE,VERHEIRATET,B02,Informatikerin / Informatiker,False,de,DE,PRIVAT,,AKTIV,,true,true,pfefferminz,HAPO,HH-000056,false,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000088,NATUERLICH,Herr,,José,García,,,,1971-05-28,M,DE,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,DE,PREMIUM,1999-10-01,AKTIV,,true,false,pfefferminz,VERA,HH-000057,false,1999-10-01T09:00:00Z,1999-10-01T09:00:00Z
