adresse_id,partner_id,adresse_typ,strasse,hausnummer,plz,ort,region,land,tarifzone,gueltig_von,gueltig_bis,ist_aktuell
ADR-00000031,PTR-00000028,WOHNSITZ,Ackerdamm,134,42103,Wuppertal,NW,DE,2,2011-01-10,,true
ADR-00000032,PTR-00000029,WOHNSITZ,Traubenallee,109,86720,Nördlingen,BY,DE,3,2001-05-08,2025-06-19,false
ADR-00000033,PTR-00000029,WOHNSITZ,Falkenkamp,176,66333,Völklingen,SL,DE,3,2025-06-20,,true
ADR-00000034,PTR-00000030,WOHNSITZ,Rehring,57,08056,Zwickau,SN,DE,3,2012-04-01,,true
ADR-00000035,PTR-00000031,WOHNSITZ,Sattlerhof,78,9000,St. Gallen,SG,CH,1,2013-09-27,2024-11-19,false
ADR-00000036,PTR-00000031,WOHNSITZ,Fichtenhof,142,5620,Bremgarten AG,AG,CH,2,2024-11-20,,true
ADR-00000037,PTR-00000032,WOHNSITZ,Impasse des Lauriers,172,1201,Genève,GE,CH,1,2010-08-04,2023-06-04,false
ADR-00000038,PTR-00000032,WOHNSITZ,Impasse des Alouettes,73,1201,Genève,GE,CH,1,2023-06-05,,true
ADR-00000039,PTR-00000033,WOHNSITZ,Impasse des Alouettes,73,1201,Genève,GE,CH,1,2021-03-01,,true
ADR-00000040,PTR-00000034,WOHNSITZ,Kupfergasse,38a,01067,Dresden,SN,DE,2,1997-06-13,,true
ADR-00000041,PTR-00000035,WOHNSITZ,Sommerring,174,8604,Volketswil,ZH,CH,2,2013-01-24,2023-03-08,false
ADR-00000042,PTR-00000035,WOHNSITZ,Entensteig,49,8180,Bülach,ZH,CH,2,2023-03-09,,true
ADR-00000043,PTR-00000036,WOHNSITZ,Entensteig,49,8180,Bülach,ZH,CH,2,2014-12-10,,true
ADR-00000044,PTR-00000037,WOHNSITZ,Entensteig,49,8180,Bülach,ZH,CH,2,2012-07-17,,true
ADR-00000045,PTR-00000038,WOHNSITZ,Teichstraße,165,58095,Hagen,NW,DE,2,2016-02-27,,true
ADR-00000046,PTR-00000039,WOHNSITZ,Teichstraße,165,58095,Hagen,NW,DE,2,2015-08-21,,true
ADR-00000047,PTR-00000040,WOHNSITZ,Höhenmatte,155,3123,Belp,BE,CH,2,2019-09-20,2024-06-02,false
ADR-00000048,PTR-00000040,WOHNSITZ,Forellenplatz,105,4563,Gerlafingen,SO,CH,2,2024-06-03,,true
ADR-00000049,PTR-00000041,WOHNSITZ,Route des Hérons,20b,1205,Genève,GE,CH,1,1997-10-07,,true
ADR-00000050,PTR-00000042,WOHNSITZ,Route des Hérons,20b,1205,Genève,GE,CH,1,1999-08-11,,true
ADR-00000051,PTR-00000043,WOHNSITZ,Goldweg,79,8630,Rüti ZH,ZH,CH,2,1998-06-03,,true
ADR-00000052,PTR-00000044,WOHNSITZ,Goldweg,79,8630,Rüti ZH,ZH,CH,2,2018-09-18,,true
ADR-00000053,PTR-00000045,WOHNSITZ,Goldweg,79,8630,Rüti ZH,ZH,CH,2,2016-11-04,,true
ADR-00000054,PTR-00000046,WOHNSITZ,Goldweg,79,8630,Rüti ZH,ZH,CH,2,2020-11-15,,true
ADR-00000055,PTR-00000047,WOHNSITZ,Hopfenring,1,21423,Winsen (Luhe),NI,DE,3,2009-06-15,2023-06-12,false
ADR-00000056,PTR-00000047,WOHNSITZ,Müllerweg,66,40213,Düsseldorf,NW,DE,1,2023-06-13,,true
ADR-00000057,PTR-00000048,WOHNSITZ,Müllerweg,66,40213,Düsseldorf,NW,DE,1,2005-11-04,,true
ADR-00000058,PTR-00000049,WOHNSITZ,Schuldamm,79,46045,Oberhausen,NW,DE,2,2010-06-26,,true
ADR-00000059,PTR-00000050,WOHNSITZ,Bäckersteig,61,56564,Neuwied,RP,DE,3,2011-02-26,2024-06-27,false
ADR-00000060,PTR-00000050,WOHNSITZ,Seekamp,49,19053,Schwerin,MV,DE,2,2024-06-28,,true
ADR-00000061,PTR-00000051,WOHNSITZ,Seekamp,49,19053,Schwerin,MV,DE,2,2001-12-25,,true
ADR-00000062,PTR-00000052,WOHNSITZ,Wiesenallee,98,65183,Wiesbaden,HE,DE,2,1999-02-23,,true
ADR-00000063,PTR-00000053,GESCHAEFTSSITZ,Brückenallee,159,95444,Bayreuth,BY,DE,3,1989-05-01,,true
ADR-00000064,PTR-00000054,WOHNSITZ,Rue des Platanes,28,1052,Le Mont-sur-Lausanne,VD,CH,2,2008-11-23,2023-10-12,false
ADR-00000065,PTR-00000054,WOHNSITZ,Allée des Soleils,92,3960,Sierre,VS,CH,3,2023-10-13,,true
ADR-00000066,PTR-00000055,WOHNSITZ,Allée des Soleils,92,3960,Sierre,VS,CH,3,2023-02-24,,true
ADR-00000067,PTR-00000056,WOHNSITZ,Alpenrosenplatz,16,4053,Basel,BS,CH,1,2006-09-09,2025-02-17,false
ADR-00000068,PTR-00000056,WOHNSITZ,Allée des Soleils,92,3960,Sierre,VS,CH,3,2025-02-18,,true
ADR-00000069,PTR-00000057,WOHNSITZ,Heideacker,112,8005,Zürich,ZH,CH,1,2020-09-18,2024-11-04,false
ADR-00000070,PTR-00000057,WOHNSITZ,Allée des Soleils,92,3960,Sierre,VS,CH,3,2024-11-05,,true
ADR-00000071,PTR-00000058,WOHNSITZ,Sandplatz,154,38855,Wernigerode,ST,DE,3,2005-06-30,,true
ADR-00000072,PTR-00000059,WOHNSITZ,Birkensteig,126,60598,Frankfurt am Main,HE,DE,1,2004-06-17,2023-11-11,false
ADR-00000073,PTR-00000059,WOHNSITZ,Sandplatz,154,38855,Wernigerode,ST,DE,3,2023-11-12,,true
ADR-00000074,PTR-00000060,WOHNSITZ,Heidekamp,28,90402,Nürnberg,BY,DE,2,2003-02-15,,true
ADR-00000075,PTR-00000061,WOHNSITZ,Birkendamm,103,50667,Köln,NW,DE,1,2015-04-10,,true
ADR-00000076,PTR-00000062,WOHNSITZ,Tulpenring,142,89231,Neu-Ulm,BY,DE,3,2014-07-13,2024-08-19,false
ADR-00000077,PTR-00000062,WOHNSITZ,Birkendamm,103,50667,Köln,NW,DE,1,2024-08-20,,true
ADR-00000078,PTR-00000063,WOHNSITZ,Birkendamm,103,50667,Köln,NW,DE,1,2001-09-08,,true
ADR-00000079,PTR-00000064,WOHNSITZ,Birkendamm,103,50667,Köln,NW,DE,1,1999-12-12,,true
ADR-00000080,PTR-00000065,WOHNSITZ,Müllergasse,139,4600,Olten,SO,CH,2,2016-06-11,2023-07-08,false
ADR-00000081,PTR-00000065,WOHNSITZ,Feldhalde,81,4665,Oftringen,AG,CH,2,2023-07-09,,true
ADR-00000082,PTR-00000066,WOHNSITZ,Rathausweg,113,85521,Ottobrunn,BY,DE,3,2015-05-12,,true
ADR-00000083,PTR-00000067,WOHNSITZ,Veilchengasse,18,08056,Zwickau,SN,DE,3,2011-07-02,2023-03-16,false
ADR-00000084,PTR-00000067,WOHNSITZ,Rathausweg,113,85521,Ottobrunn,BY,DE,3,2023-03-17,,true
ADR-00000085,PTR-00000068,WOHNSITZ,Kalkkamp,160,67346,Speyer,RP,DE,3,2003-10-31,,true
ADR-00000086,PTR-00000069,WOHNSITZ,Kalkkamp,160,67346,Speyer,RP,DE,3,2023-02-27,,true
ADR-00000087,PTR-00000070,WOHNSITZ,Rue des Moulins,102,1003,Lausanne,VD,CH,1,2015-07-06,,true
ADR-00000088,PTR-00000071,WOHNSITZ,Rue des Moulins,102,1003,Lausanne,VD,CH,1,2020-10-21,,true
ADR-00000089,PTR-00000072,WOHNSITZ,Kirschweg,130,4410,Liestal,BL,CH,2,2011-06-17,2023-11-22,false
ADR-00000090,PTR-00000072,WOHNSITZ,Rue des Moulins,102,1003,Lausanne,VD,CH,1,2023-11-23,,true
ADR-00000091,PTR-00000073,WOHNSITZ,Rue des Moulins,102,1003,Lausanne,VD,CH,1,2022-10-28,,true
ADR-00000092,PTR-00000074,WOHNSITZ,Hügelhof,44,59494,Soest,NW,DE,3,1999-06-16,,true
ADR-00000093,PTR-00000075,WOHNSITZ,Klosterpfad,179c,70619,Stuttgart,BW,DE,1,2004-08-11,2024-09-05,false
ADR-00000094,PTR-00000075,WOHNSITZ,Hügelhof,44,59494,Soest,NW,DE,3,2024-09-06,,true
ADR-00000095,PTR-00000076,WOHNSITZ,Hügelhof,44,59494,Soest,NW,DE,3,2008-11-01,,true
ADR-00000096,PTR-00000077,WOHNSITZ,Hügelhof,44,59494,Soest,NW,DE,3,1999-01-01,,true
ADR-00000097,PTR-00000078,WOHNSITZ,Entensteig,65,44532,Lünen,NW,DE,3,1998-01-24,,true
ADR-00000098,PTR-00000079,WOHNSITZ,Bergring,57,24103,Kiel,SH,DE,2,2008-09-03,,true
ADR-00000099,PTR-00000080,WOHNSITZ,Bergring,57,24103,Kiel,SH,DE,2,1997-02-01,,true
ADR-00000100,PTR-00000081,WOHNSITZ,Bergring,57,24103,Kiel,SH,DE,2,2001-01-13,,true
ADR-00000101,PTR-00000082,WOHNSITZ,Kiesallee,51,21335,Lüneburg,NI,DE,3,2019-09-21,,true
ADR-00000102,PTR-00000083,WOHNSITZ,Nelkengasse,54,8001,Zürich,ZH,CH,1,2011-06-19,,true
ADR-00000103,PTR-00000084,WOHNSITZ,Place des Ormes,118,1950,Sion,VS,CH,3,2016-04-01,2022-05-10,false
ADR-00000104,PTR-00000084,WOHNSITZ,Avenue des Papillons,50,1207,Genève,GE,CH,1,2022-05-11,,true
ADR-00000105,PTR-00000085,WOHNSITZ,Sternenplatz,27,8400,Winterthur,ZH,CH,1,2005-04-05,,true
ADR-00000106,PTR-00000086,WOHNSITZ,Flachsplatz,91,45127,Essen,NW,DE,2,2020-10-20,,true
ADR-00000107,PTR-00000087,WOHNSITZ,Flachsplatz,91,45127,Essen,NW,DE,2,1999-05-17,,true
ADR-00000108,PTR-00000088,WOHNSITZ,Sattlerstraße,79,08280,Aue-Bad Schlema,SN,DE,3,2003-04-02,,true
ADR-00000109,PTR-00000089,WOHNSITZ,Sattlerstraße,79,08280,Aue-Bad Schlema,SN,DE,3,1998-12-29,,true
ADR-00000110,PTR-00000090,WOHNSITZ,Sattlerstraße,79,08280,Aue-Bad Schlema,SN,DE,3,2013-03-09,,true
ADR-00000111,PTR-00000091,WOHNSITZ,Rosenstraße,161,70619,Stuttgart,BW,DE,1,2007-09-10,,true
ADR-00000112,PTR-00000092,WOHNSITZ,Eisensteig,138b,8057,Zürich,ZH,CH,1,2001-07-03,,true
ADR-00000113,PTR-00000093,WOHNSITZ,Pappelstraße,121,41460,Neuss,NW,DE,2,2002-01-27,,true
ADR-00000114,PTR-00000094,WOHNSITZ,Bachweg,8,15890,Eisenhüttenstadt,BB,DE,3,2018-08-12,2024-11-25,false
ADR-00000115,PTR-00000094,WOHNSITZ,Pappelstraße,121,41460,Neuss,NW,DE,2,2024-11-26,,true
ADR-00000116,PTR-00000095,WOHNSITZ,Pappelstraße,121,41460,Neuss,NW,DE,2,2012-12-19,,true
ADR-00000117,PTR-00000096,WOHNSITZ,Bärenpfad,35,98544,Zella-Mehlis,TH,DE,3,2007-05-27,,true
ADR-00000118,PTR-00000097,WOHNSITZ,Chemin des Meuniers,70,1700,Fribourg,FR,CH,2,2001-06-16,,true
ADR-00000119,PTR-00000098,WOHNSITZ,Chemin des Meuniers,70,1700,Fribourg,FR,CH,2,2011-06-02,,true
ADR-00000120,PTR-00000099,WOHNSITZ,Impasse des Crépuscules,76,1207,Genève,GE,CH,1,2005-09-15,,true
ADR-00000121,PTR-00000100,WOHNSITZ,Impasse des Crépuscules,76,1207,Genève,GE,CH,1,2000-04-04,,true
ADR-00000122,PTR-00000101,WOHNSITZ,Impasse des Crépuscules,76,1207,Genève,GE,CH,1,2018-06-01,,true
ADR-00000123,PTR-00000102,WOHNSITZ,Rosenring,29,93047,Regensburg,BY,DE,2,2004-10-29,,true
ADR-00000124,PTR-00000103,WOHNSITZ,Bäckergasse,26,3000,Bern,BE,CH,1,2011-12-18,,true
ADR-00000125,PTR-00000104,WOHNSITZ,Promenade des Narcisses,8,1870,Monthey,VS,CH,3,2004-04-26,,true
ADR-00000126,PTR-00000105,WOHNSITZ,Promenade des Narcisses,8,1870,Monthey,VS,CH,3,2010-04-26,,true
ADR-00000127,PTR-00000106,WOHNSITZ,Schmetterlingsdamm,157,06886,Lutherstadt Wittenberg,ST,DE,3,2009-04-25,,true
ADR-00000128,PTR-00000107,WOHNSITZ,Schmetterlingsdamm,157,06886,Lutherstadt Wittenberg,ST,DE,3,2008-05-22,,true
ADR-00000129,PTR-00000108,WOHNSITZ,Schmetterlingsdamm,157,06886,Lutherstadt Wittenberg,ST,DE,3,2023-08-19,,true
ADR-00000130,PTR-00000109,WOHNSITZ,Gartenring,3,95444,Bayreuth,BY,DE,3,2009-06-10,,true
ADR-00000131,PTR-00000110,WOHNSITZ,Markthof,23,53111,Bonn,NW,DE,2,2017-03-19,,true
ADR-00000132,PTR-00000111,WOHNSITZ,Markthof,23,53111,Bonn,NW,DE,2,2018-01-30,,true
ADR-00000133,PTR-00000112,WOHNSITZ,Müllergasse,18,40699,Erkrath,NW,DE,3,2016-09-05,2024-12-09,false
ADR-00000134,PTR-00000112,WOHNSITZ,Schmiedeplatz,165,09456,Annaberg-Buchholz,SN,DE,3,2024-12-10,,true
ADR-00000135,PTR-00000113,WOHNSITZ,Schmiedeplatz,165,09456,Annaberg-Buchholz,SN,DE,3,1996-08-21,,true
ADR-00000136,PTR-00000114,WOHNSITZ,Gartenring,83,47798,Krefeld,NW,DE,2,2021-06-29,2025-06-07,false
ADR-00000137,PTR-00000114,WOHNSITZ,Schmetterlingsweg,106,42853,Remscheid,NW,DE,2,2025-06-08,,true
ADR-00000138,PTR-00000115,WOHNSITZ,Schmetterlingsweg,106,42853,Remscheid,NW,DE,2,2007-10-22,,true
ADR-00000139,PTR-00000116,WOHNSITZ,Kalkkamp,130,58452,Witten,NW,DE,3,1997-11-22,,true
ADR-00000140,PTR-00000117,WOHNSITZ,Morgenmatte,164,9500,Wil SG,SG,CH,2,2018-06-07,2025-09-27,false
ADR-00000141,PTR-00000117,WOHNSITZ,Fichtenhof,79,5507,Mellingen,AG,CH,2,2025-09-28,,true
ADR-00000142,PTR-00000118,WOHNSITZ,Fichtenhof,79,5507,Mellingen,AG,CH,2,2006-07-01,,true
ADR-00000143,PTR-00000119,WOHNSITZ,Adlerhof,81,06366,Köthen (Anhalt),ST,DE,3,2018-09-03,,true
ADR-00000144,PTR-00000120,WOHNSITZ,Adlerhof,81,06366,Köthen (Anhalt),ST,DE,3,2005-11-11,,true
ADR-00000145,PTR-00000121,WOHNSITZ,Westacker,52,3250,Lyss,BE,CH,2,2011-05-05,,true
ADR-00000146,PTR-00000122,WOHNSITZ,Brückenallee,102,04357,Leipzig,SN,DE,2,2013-07-18,2024-04-16,false
ADR-00000147,PTR-00000122,WOHNSITZ,Storchengasse,28,24768,Rendsburg,SH,DE,3,2024-04-17,,true
ADR-00000148,PTR-00000123,WOHNSITZ,Mühlesteig,28,8001,Zürich,ZH,CH,1,2008-06-11,,true
ADR-00000149,PTR-00000124,WOHNSITZ,Mühlesteig,28,8001,Zürich,ZH,CH,1,2012-03-31,,true
ADR-00000150,PTR-00000125,WOHNSITZ,Schmiedegasse,38,56130,Bad Ems,RP,DE,3,2023-11-19,,true
ADR-00000151,PTR-00000126,WOHNSITZ,Schmiedegasse,38,56130,Bad Ems,RP,DE,3,2001-09-28,,true
ADR-00000152,PTR-00000127,WOHNSITZ,Uferplatz,140a,3053,Münchenbuchsee,BE,CH,2,2023-05-18,,true
ADR-00000153,PTR-00000128,WOHNSITZ,Apfelstrasse,85b,3627,Heimberg,BE,CH,2,2015-04-11,,true
ADR-00000154,PTR-00000129,WOHNSITZ,Apfelstrasse,85b,3627,Heimberg,BE,CH,2,2004-02-09,,true
ADR-00000155,PTR-00000130,WOHNSITZ,Stegring,175,66111,Saarbrücken,SL,DE,2,2017-04-28,,true
ADR-00000156,PTR-00000131,WOHNSITZ,Stegring,175,66111,Saarbrücken,SL,DE,2,2007-10-25,,true
ADR-00000157,PTR-00000132,WOHNSITZ,Stegring,175,66111,Saarbrücken,SL,DE,2,2017-03-20,,true
ADR-00000158,PTR-00000133,WOHNSITZ,Kastanienpfad,45,45127,Essen,NW,DE,2,2018-12-31,2025-05-23,false
ADR-00000159,PTR-00000133,WOHNSITZ,Stegring,175,66111,Saarbrücken,SL,DE,2,2025-05-24,,true
ADR-00000160,PTR-00000134,WOHNSITZ,Adleracker,89,8355,Aadorf,TG,CH,2,2012-06-30,2022-09-30,false
ADR-00000161,PTR-00000134,WOHNSITZ,Abendsteig,77,3600,Thun,BE,CH,2,2022-10-01,,true
ADR-00000162,PTR-00000135,WOHNSITZ,Wintersteig,175,56564,Neuwied,RP,DE,3,2010-07-19,,true
ADR-00000163,PTR-00000136,WOHNSITZ,Eisenplatz,66,18055,Rostock,MV,DE,2,2006-07-13,,true
ADR-00000164,PTR-00000137,GESCHAEFTSSITZ,Falkendamm,145b,39104,Magdeburg,ST,DE,2,1992-07-01,,true
ADR-00000165,PTR-00000138,WOHNSITZ,Sommerallee,15,21073,Hamburg,HH,DE,1,2020-11-03,,true
ADR-00000166,PTR-00000139,WOHNSITZ,Sommerallee,15,21073,Hamburg,HH,DE,1,2024-11-02,,true
ADR-00000167,PTR-00000140,WOHNSITZ,Brückenkamp,160,69115,Heidelberg,BW,DE,2,2020-11-16,,true
ADR-00000168,PTR-00000141,WOHNSITZ,Marktpfad,166,68159,Mannheim,BW,DE,2,2016-03-27,2024-10-18,false
ADR-00000169,PTR-00000141,WOHNSITZ,Brückenkamp,160,69115,Heidelberg,BW,DE,2,2024-10-19,,true
ADR-00000170,PTR-00000142,WOHNSITZ,Uferdamm,130,73033,Göppingen,BW,DE,3,2012-05-18,2022-07-16,false
ADR-00000171,PTR-00000142,WOHNSITZ,Brückenkamp,160,69115,Heidelberg,BW,DE,2,2022-07-17,,true
ADR-00000172,PTR-00000143,WOHNSITZ,Brückenkamp,160,69115,Heidelberg,BW,DE,2,2024-04-17,,true
ADR-00000173,PTR-00000144,WOHNSITZ,Frühlingsacker,49,8750,Glarus,GL,CH,3,2003-10-15,2023-05-10,false
ADR-00000174,PTR-00000144,WOHNSITZ,Fuchsacker,109,3053,Münchenbuchsee,BE,CH,2,2023-05-11,,true
ADR-00000175,PTR-00000145,WOHNSITZ,Fuchsacker,109,3053,Münchenbuchsee,BE,CH,2,2010-09-16,,true
ADR-00000176,PTR-00000146,WOHNSITZ,Heidesteig,149,20457,Hamburg,HH,DE,1,2021-08-07,,true
ADR-00000177,PTR-00000147,WOHNSITZ,Goldpfad,42c,14469,Potsdam,BB,DE,2,2010-06-11,2025-06-05,false
ADR-00000178,PTR-00000147,WOHNSITZ,Heidesteig,149,20457,Hamburg,HH,DE,1,2025-06-06,,true
ADR-00000179,PTR-00000148,WOHNSITZ,Brunnenacker,104,8005,Zürich,ZH,CH,1,2015-09-25,2025-11-16,false
ADR-00000180,PTR-00000148,WOHNSITZ,Lerchenplatz,21,9500,Wil SG,SG,CH,2,2025-11-17,,true
ADR-00000181,PTR-00000149,WOHNSITZ,Nordplatz,134,4500,Solothurn,SO,CH,2,2018-04-11,2024-06-27,false
ADR-00000182,PTR-00000149,WOHNSITZ,Lerchenplatz,21,9500,Wil SG,SG,CH,2,2024-06-28,,true
ADR-00000183,PTR-00000150,WOHNSITZ,Salzring,162c,49808,Lingen (Ems),NI,DE,3,2007-02-06,2025-04-21,false
ADR-00000184,PTR-00000150,WOHNSITZ,Storchenpfad,57,30625,Hannover,NI,DE,2,2025-04-22,,true
ADR-00000185,PTR-00000151,WOHNSITZ,Storchenpfad,57,30625,Hannover,NI,DE,2,2009-07-24,,true
ADR-00000186,PTR-00000152,WOHNSITZ,Kiessteig,25,49716,Meppen,NI,DE,3,2020-02-22,,true
ADR-00000187,PTR-00000153,WOHNSITZ,Promenade des Clochers,117,1212,Grand-Lancy,GE,CH,1,2004-11-05,,true
ADR-00000188,PTR-00000154,WOHNSITZ,Bachhof,10,3000,Bern,BE,CH,1,2012-12-20,2024-01-27,false
ADR-00000189,PTR-00000154,WOHNSITZ,Promenade des Clochers,117,1212,Grand-Lancy,GE,CH,1,2024-01-28,,true
ADR-00000190,PTR-00000155,WOHNSITZ,Hopfenstraße,55,22083,Hamburg,HH,DE,1,2016-03-31,2022-06-17,false
ADR-00000191,PTR-00000155,WOHNSITZ,Pappelsteig,72,20144,Hamburg,HH,DE,1,2022-06-18,,true
ADR-00000192,PTR-00000156,WOHNSITZ,Stegweg,108,49074,Osnabrück,NI,DE,2,2015-03-13,,true
ADR-00000193,PTR-00000157,GESCHAEFTSSITZ,Wintersteig,62,41061,Mönchengladbach,NW,DE,2,1991-02-01,,true
ADR-00000194,PTR-00000158,WOHNSITZ,Kastanienring,81,24103,Kiel,SH,DE,2,2018-10-27,,true
ADR-00000195,PTR-00000159,WOHNSITZ,Kastanienring,81,24103,Kiel,SH,DE,2,2017-08-31,,true
ADR-00000196,PTR-00000160,WOHNSITZ,Salzsteig,86,30880,Laatzen,NI,DE,3,2014-04-15,2025-07-23,false
ADR-00000197,PTR-00000160,WOHNSITZ,Kastanienring,81,24103,Kiel,SH,DE,2,2025-07-24,,true
ADR-00000198,PTR-00000161,WOHNSITZ,Kastanienring,81,24103,Kiel,SH,DE,2,2010-07-30,,true
ADR-00000199,PTR-00000162,WOHNSITZ,Kastanienring,81,24103,Kiel,SH,DE,2,2006-10-16,,true
ADR-00000200,PTR-00000163,WOHNSITZ,Eisenplatz,75,23552,Lübeck,SH,DE,2,2019-04-28,,true
ADR-00000201,PTR-00000164,WOHNSITZ,Eisenplatz,75,23552,Lübeck,SH,DE,2,2011-08-20,,true
ADR-00000202,PTR-00000165,WOHNSITZ,Pappelstrasse,8,4058,Basel,BS,CH,1,2017-10-03,,true
ADR-00000203,PTR-00000166,WOHNSITZ,Gerbergasse,117c,3000,Bern,BE,CH,1,2020-12-10,2024-04-10,false
ADR-00000204,PTR-00000166,WOHNSITZ,Schwanenacker,124,8200,Schaffhausen,SH,CH,2,2024-04-11,,true
ADR-00000205,PTR-00000167,WOHNSITZ,Nelkenkamp,135,17389,Anklam,MV,DE,3,2001-04-03,2024-06-23,false
ADR-00000206,PTR-00000167,WOHNSITZ,Brunnendamm,169,69469,Weinheim,BW,DE,3,2024-06-24,,true
ADR-00000207,PTR-00000168,WOHNSITZ,Gartendamm,179,81241,München,BY,DE,1,2018-08-26,2022-06-18,false
ADR-00000208,PTR-00000168,WOHNSITZ,Zunftkamp,170b,49477,Ibbenbüren,NW,DE,3,2022-06-19,,true
ADR-00000209,PTR-00000169,WOHNSITZ,Stegpfad,164,01159,Dresden,SN,DE,2,2009-01-13,2022-04-27,false
ADR-00000210,PTR-00000169,WOHNSITZ,Zunftkamp,170b,49477,Ibbenbüren,NW,DE,3,2022-04-28,,true
ADR-00000211,PTR-00000170,WOHNSITZ,Sternenhalde,146b,8630,Rüti ZH,ZH,CH,2,2005-06-30,2022-05-15,false
ADR-00000212,PTR-00000170,WOHNSITZ,Apfelstrasse,154,2540,Grenchen,SO,CH,2,2022-05-16,,true
ADR-00000213,PTR-00000171,WOHNSITZ,Allée des Écoles,142,2013,Colombier NE,NE,CH,2,2001-07-16,,true
ADR-00000214,PTR-00000172,WOHNSITZ,Rebenring,48,44787,Bochum,NW,DE,2,2002-05-14,,true
ADR-00000215,PTR-00000173,WOHNSITZ,Bergrain,12,7000,Chur,GR,CH,3,2005-04-25,2023-06-27,false
ADR-00000216,PTR-00000173,WOHNSITZ,Enzianplatz,125,7320,Sargans,SG,CH,2,2023-06-28,,true
ADR-00000217,PTR-00000174,WOHNSITZ,Morgensteig,54,5000,Aarau,AG,CH,2,2005-05-30,2025-03-30,false
ADR-00000218,PTR-00000174,WOHNSITZ,Enzianplatz,125,7320,Sargans,SG,CH,2,2025-03-31,,true
