kontakt_id,partner_id,kontakt_typ,wert,ist_primaer
KON-00000097,PTR-00000063,MOBIL,+49 152 28817 363,true
KON-00000098,PTR-00000064,EMAIL,leon.hofmann07@bluemail.example,true
KON-00000099,PTR-00000064,MOBIL,+49 152 28817 643,true
KON-00000100,PTR-00000065,EMAIL,jan.graf@post.example,true
KON-00000101,PTR-00000065,MOBIL,+41 44 000 86 35,true
KON-00000102,PTR-00000066,EMAIL,thomas54@post.example,true
KON-00000103,PTR-00000066,MOBIL,+49 152 28817 124,true
KON-00000104,PTR-00000067,EMAIL,friedrich.svetlana@mail.example,true
KON-00000105,PTR-00000067,MOBIL,+49 152 28817 967,true
KON-00000106,PTR-00000068,MOBIL,+49 152 28817 139,true
KON-00000107,PTR-00000069,EMAIL,luis22@mail.example,true
KON-00000108,PTR-00000069,MOBIL,+49 152 28817 912,true
KON-00000109,PTR-00000070,MOBIL,+41 44 000 09 25,true
KON-00000110,PTR-00000071,EMAIL,patrick.chappuis@bluemail.example,true
KON-00000111,PTR-00000071,MOBIL,+41 44 000 47 10,true
KON-00000112,PTR-00000072,EMAIL,gillieron.antoine@web.example,true
KON-00000113,PTR-00000072,MOBIL,+41 44 000 85 17,true
KON-00000114,PTR-00000073,EMAIL,emma75@bluemail.example,true
KON-00000115,PTR-00000073,MOBIL,+41 44 000 97 30,true
KON-00000116,PTR-00000074,EMAIL,schneider.lina@mail.example,true
KON-00000117,PTR-00000074,MOBIL,+49 152 28817 623,true
KON-00000118,PTR-00000075,EMAIL,finn.schneider01@post.example,true
KON-00000119,PTR-00000075,MOBIL,+49 152 28817 112,true
KON-00000120,PTR-00000076,EMAIL,hanna.schneider@web.example,true
KON-00000121,PTR-00000076,MOBIL,+49 152 28817 455,true
KON-00000122,PTR-00000077,EMAIL,charlotte.schneider07@post.example,true
KON-00000123,PTR-00000077,MOBIL,+49 152 28817 812,true
KON-00000124,PTR-00000078,EMAIL,horn.stefanie@web.example,true
KON-00000125,PTR-00000078,MOBIL,+49 152 28817 726,true
KON-00000126,PTR-00000079,EMAIL,sarah.schaefer@bluemail.example,true
KON-00000127,PTR-00000079,MOBIL,+49 152 28817 719,true
KON-00000128,PTR-00000080,EMAIL,jonas14@bluemail.example,true
KON-00000129,PTR-00000080,MOBIL,+49 152 28817 774,true
KON-00000130,PTR-00000081,EMAIL,emil.schaefer@post.example,true
KON-00000131,PTR-00000081,MOBIL,+49 152 28817 578,true
KON-00000132,PTR-00000082,EMAIL,paul.schneider07@mail.example,true
KON-00000133,PTR-00000082,MOBIL,+49 152 28817 121,true
KON-00000134,PTR-00000083,EMAIL,imeier@web.example,true
KON-00000135,PTR-00000083,MOBIL,+41 44 000 02 28,true
KON-00000136,PTR-00000084,EMAIL,cedric43@web.example,true
KON-00000137,PTR-00000084,MOBIL,+41 44 000 01 12,true
KON-00000138,PTR-00000085,EMAIL,cmeyer@post.example,true
KON-00000139,PTR-00000085,MOBIL,+41 44 000 08 97,true
KON-00000140,PTR-00000086,EMAIL,ernst.florian@web.example,true
KON-00000141,PTR-00000086,MOBIL,+49 152 28817 839,true
KON-00000142,PTR-00000087,EMAIL,jessica84@bluemail.example,true
KON-00000143,PTR-00000087,MOBIL,+49 152 28817 039,true
KON-00000144,PTR-00000088,EMAIL,jgarcia@post.example,true
KON-00000145,PTR-00000088,MOBIL,+49 152 28817 032,true
KON-00000146,PTR-00000089,EMAIL,tgarcia@web.example,true
KON-00000147,PTR-00000089,MOBIL,+49 152 28817 278,true
KON-00000148,PTR-00000090,EMAIL,leon92@web.example,true
KON-00000149,PTR-00000090,MOBIL,+49 152 28817 704,true
KON-00000150,PTR-00000091,EMAIL,lkessler@bluemail.example,true
KON-00000151,PTR-00000091,MOBIL,+49 152 28817 418,true
KON-00000152,PTR-00000092,EMAIL,elena8@web.example,true
KON-00000153,PTR-00000092,MOBIL,+41 44 000 87 10,true
KON-00000154,PTR-00000093,EMAIL,sbeck@post.example,true
KON-00000155,PTR-00000093,MOBIL,+49 152 28817 496,true
KON-00000156,PTR-00000094,MOBIL,+49 152 28817 250,true
KON-00000157,PTR-00000095,EMAIL,notto@post.example,true
KON-00000158,PTR-00000095,MOBIL,+49 152 28817 503,true
KON-00000159,PTR-00000096,EMAIL,elke53@post.example,true
KON-00000160,PTR-00000096,MOBIL,+49 152 28817 487,true
KON-00000161,PTR-00000097,MOBIL,+41 44 000 03 25,true
KON-00000162,PTR-00000098,MOBIL,+41 44 000 37 83,true
KON-00000163,PTR-00000099,EMAIL,arthur5@post.example,true
KON-00000164,PTR-00000099,MOBIL,+41 44 000 31 54,true
KON-00000165,PTR-00000100,EMAIL,aurelie95@bluemail.example,true
KON-00000166,PTR-00000100,MOBIL,+41 44 000 01 11,true
KON-00000167,PTR-00000101,EMAIL,thomas.comte07@web.example,true
KON-00000168,PTR-00000101,MOBIL,+41 44 000 97 66,true
KON-00000169,PTR-00000102,EMAIL,schulte.matthias@web.example,true
KON-00000170,PTR-00000102,MOBIL,+49 152 28817 032,true
KON-00000171,PTR-00000103,EMAIL,bruno8@mail.example,true
KON-00000172,PTR-00000103,MOBIL,+41 44 000 99 78,true
KON-00000173,PTR-00000104,EMAIL,manon23@mail.example,true
KON-00000174,PTR-00000104,MOBIL,+41 44 000 40 80,true
KON-00000175,PTR-00000105,EMAIL,nicolas59@web.example,true
KON-00000176,PTR-00000105,MOBIL,+41 44 000 56 82,true
KON-00000177,PTR-00000106,EMAIL,juergen.baumann89@mail.example,true
KON-00000178,PTR-00000106,MOBIL,+49 152 28817 258,true
KON-00000179,PTR-00000107,EMAIL,wieczorek.laura@mail.example,true
KON-00000180,PTR-00000107,MOBIL,+49 152 28817 816,true
KON-00000181,PTR-00000108,EMAIL,twolff@web.example,true
KON-00000182,PTR-00000108,MOBIL,+49 152 28817 277,true
KON-00000183,PTR-00000109,EMAIL,voigt.andreas@post.example,true
KON-00000184,PTR-00000109,MOBIL,+49 152 28817 830,true
KON-00000185,PTR-00000110,EMAIL,akoehler@post.example,true
KON-00000186,PTR-00000110,MOBIL,+49 152 28817 301,true
KON-00000187,PTR-00000111,EMAIL,mkoehler@mail.example,true
KON-00000188,PTR-00000111,MOBIL,+49 152 28817 259,true
KON-00000189,PTR-00000112,EMAIL,mgruber@web.example,true
KON-00000190,PTR-00000112,MOBIL,+49 152 28817 896,true
KON-00000191,PTR-00000113,EMAIL,rboehm@bluemail.example,true
KON-00000192,PTR-00000113,MOBIL,+49 152 28817 596,true
KON-00000193,PTR-00000114,EMAIL,jennifer82@mail.example,true
KON-00000194,PTR-00000114,MOBIL,+49 152 28817 139,true
KON-00000195,PTR-00000115,EMAIL,holger.braun89@bluemail.example,true
KON-00000196,PTR-00000115,MOBIL,+49 152 28817 292,true
KON-00000197,PTR-00000116,EMAIL,dirk.frank@web.example,true
KON-00000198,PTR-00000116,MOBIL,+49 152 28817 134,true
KON-00000199,PTR-00000117,MOBIL,+41 44 000 80 22,true
KON-00000200,PTR-00000118,EMAIL,felix73@post.example,true
KON-00000201,PTR-00000118,TELEFON,+41 44 000 05 42,true
KON-00000202,PTR-00000119,EMAIL,fischer.milan@post.example,true
KON-00000203,PTR-00000119,MOBIL,+49 152 28817 812,true
KON-00000204,PTR-00000120,EMAIL,franziska.fischer@mail.example,true
KON-00000205,PTR-00000120,MOBIL,+49 152 28817 362,true
KON-00000206,PTR-00000121,EMAIL,dzimmermann@web.example,true
KON-00000207,PTR-00000121,MOBIL,+41 44 000 78 97,true
KON-00000208,PTR-00000122,EMAIL,schmidt.birgit@mail.example,true
KON-00000209,PTR-00000122,MOBIL,+49 152 28817 986,true
KON-00000210,PTR-00000123,EMAIL,elena7@bluemail.example,true
KON-00000211,PTR-00000123,MOBIL,+41 44 000 15 00,true
KON-00000212,PTR-00000124,EMAIL,patrick.hess@post.example,true
KON-00000213,PTR-00000124,MOBIL,+41 44 000 57 36,true
KON-00000214,PTR-00000125,EMAIL,sauer.sophia@post.example,true
KON-00000215,PTR-00000125,MOBIL,+49 152 28817 081,true
KON-00000216,PTR-00000126,EMAIL,jonas.sauer90@post.example,true
KON-00000217,PTR-00000126,MOBIL,+49 152 28817 423,true
KON-00000218,PTR-00000127,EMAIL,mmeier@bluemail.example,true
KON-00000219,PTR-00000127,MOBIL,+41 44 000 16 54,true
KON-00000220,PTR-00000128,EMAIL,mueller.sara@post.example,true
KON-00000221,PTR-00000128,MOBIL,+41 44 000 39 15,true
KON-00000222,PTR-00000129,EMAIL,cportmann@bluemail.example,true
KON-00000223,PTR-00000129,MOBIL,+41 44 000 58 76,true
KON-00000224,PTR-00000130,MOBIL,+49 152 28817 364,true
KON-00000225,PTR-00000131,EMAIL,jgraf@web.example,true
KON-00000226,PTR-00000131,MOBIL,+49 152 28817 976,true
KON-00000227,PTR-00000132,EMAIL,ldemir@post.example,true
KON-00000228,PTR-00000132,MOBIL,+49 152 28817 301,true
KON-00000229,PTR-00000133,EMAIL,ddogan@web.example,true
KON-00000230,PTR-00000133,MOBIL,+49 152 28817 928,true
KON-00000231,PTR-00000134,EMAIL,werner.suter@web.example,true
KON-00000232,PTR-00000134,TELEFON,+41 44 000 10 60,true
KON-00000233,PTR-00000135,EMAIL,carsten.brandt63@mail.example,true
KON-00000234,PTR-00000135,MOBIL,+49 152 28817 555,true
KON-00000235,PTR-00000136,EMAIL,anke94@web.example,true
KON-00000236,PTR-00000136,MOBIL,+49 152 28817 468,true
KON-00000237,PTR-00000137,EMAIL,info@taunus-zimmerei.example,true
KON-00000238,PTR-00000137,TELEFON,+49 30 23125 112,true
KON-00000239,PTR-00000138,EMAIL,katharina.rauch@mail.example,true
KON-00000240,PTR-00000138,MOBIL,+49 152 28817 589,true
KON-00000241,PTR-00000139,EMAIL,miguel94@web.example,true
KON-00000242,PTR-00000139,MOBIL,+49 152 28817 860,true
KON-00000243,PTR-00000140,EMAIL,sebastian.schneider73@post.example,true
KON-00000244,PTR-00000140,MOBIL,+49 152 28817 332,true
KON-00000245,PTR-00000141,EMAIL,martina.krause70@mail.example,true
KON-00000246,PTR-00000141,MOBIL,+49 152 28817 110,true
KON-00000247,PTR-00000142,EMAIL,moritz91@post.example,true
KON-00000248,PTR-00000142,MOBIL,+49 152 28817 939,true
KON-00000249,PTR-00000143,EMAIL,torsten.schneider97@mail.example,true
KON-00000250,PTR-00000143,MOBIL,+49 152 28817 711,true
KON-00000251,PTR-00000144,EMAIL,miguel31@mail.example,true
KON-00000252,PTR-00000144,MOBIL,+41 44 000 73 83,true
KON-00000253,PTR-00000145,EMAIL,karin.lehmann@mail.example,true
KON-00000254,PTR-00000145,MOBIL,+41 44 000 12 70,true
KON-00000255,PTR-00000146,EMAIL,lange.dagmar@web.example,true
KON-00000256,PTR-00000146,MOBIL,+49 152 28817 455,true
KON-00000257,PTR-00000147,EMAIL,moritz.pohl@mail.example,true
KON-00000258,PTR-00000147,MOBIL,+49 152 28817 748,true
KON-00000259,PTR-00000148,EMAIL,ali.mensah70@mail.example,true
KON-00000260,PTR-00000148,MOBIL,+41 44 000 98 31,true
KON-00000261,PTR-00000149,EMAIL,irene.eggenberger76@post.example,true
KON-00000262,PTR-00000149,MOBIL,+41 44 000 34 95,true
KON-00000263,PTR-00000150,EMAIL,melanie95@mail.example,true
KON-00000264,PTR-00000150,MOBIL,+49 152 28817 743,true
KON-00000265,PTR-00000151,EMAIL,michael.jaeger79@mail.example,true
KON-00000266,PTR-00000151,MOBIL,+49 152 28817 796,true
KON-00000267,PTR-00000152,EMAIL,mwerner@web.example,true
KON-00000268,PTR-00000152,MOBIL,+49 152 28817 118,true
KON-00000269,PTR-00000153,EMAIL,robert.daniel@bluemail.example,true
KON-00000270,PTR-00000153,MOBIL,+41 44 000 59 37,true
KON-00000271,PTR-00000154,EMAIL,vrobert@web.example,true
KON-00000272,PTR-00000154,MOBIL,+41 44 000 13 91,true
KON-00000273,PTR-00000155,EMAIL,jarslan@post.example,true
KON-00000274,PTR-00000155,MOBIL,+49 152 28817 560,true
KON-00000275,PTR-00000156,EMAIL,volker.schreiber68@bluemail.example,true
KON-00000276,PTR-00000156,MOBIL,+49 152 28817 711,true
KON-00000277,PTR-00000157,EMAIL,info@spree-planung.example,true
KON-00000278,PTR-00000157,TELEFON,+49 30 23125 560,true
KON-00000279,PTR-00000158,MOBIL,+49 152 28817 248,true
KON-00000280,PTR-00000159,MOBIL,+49 152 28817 201,true
KON-00000281,PTR-00000160,EMAIL,julia73@bluemail.example,true
KON-00000282,PTR-00000160,MOBIL,+49 152 28817 828,true
KON-00000283,PTR-00000161,EMAIL,eklein@post.example,true
KON-00000284,PTR-00000161,MOBIL,+49 152 28817 101,true
KON-00000285,PTR-00000162,EMAIL,lang.charlotte@web.example,true
KON-00000286,PTR-00000162,MOBIL,+49 152 28817 596,true
KON-00000287,PTR-00000163,EMAIL,weber.tim@web.example,true
KON-00000288,PTR-00000163,MOBIL,+49 152 28817 671,true
KON-00000289,PTR-00000164,EMAIL,markus58@mail.example,true
KON-00000290,PTR-00000164,MOBIL,+49 152 28817 357,true
KON-00000291,PTR-00000165,EMAIL,samuel75@web.example,true
KON-00000292,PTR-00000165,MOBIL,+41 44 000 74 26,true
KON-00000293,PTR-00000166,EMAIL,marcel87@bluemail.example,true
KON-00000294,PTR-00000166,MOBIL,+41 44 000 47 96,true
KON-00000295,PTR-00000167,EMAIL,franziska92@web.example,true
KON-00000296,PTR-00000167,TELEFON,+49 30 23125 063,true
KON-00000297,PTR-00000168,EMAIL,markus.klein87@post.example,true
KON-00000298,PTR-00000168,MOBIL,+49 152 28817 642,true
KON-00000299,PTR-00000169,EMAIL,lisa.klein@web.example,true
KON-00000300,PTR-00000169,MOBIL,+49 152 28817 876,true
KON-00000301,PTR-00000170,EMAIL,fabienne.schmid83@mail.example,true
KON-00000302,PTR-00000170,MOBIL,+41 44 000 75 47,true
KON-00000303,PTR-00000171,EMAIL,maria-jose.diallo@mail.example,true
KON-00000304,PTR-00000171,MOBIL,+41 44 000 85 40,true
KON-00000305,PTR-00000172,EMAIL,philipp13@bluemail.example,true
KON-00000306,PTR-00000172,MOBIL,+49 152 28817 937,true
KON-00000307,PTR-00000173,TELEFON,+41 44 000 49 03,true
KON-00000308,PTR-00000174,EMAIL,fatma98@post.example,true
KON-00000309,PTR-00000174,MOBIL,+41 44 000 08 47,true
KON-00000310,PTR-00000175,EMAIL,czbinden@bluemail.example,true
KON-00000311,PTR-00000175,MOBIL,+41 44 000 26 46,true
KON-00000312,PTR-00000176,EMAIL,weber.marcel@bluemail.example,true
KON-00000313,PTR-00000176,MOBIL,+41 44 000 77 98,true
KON-00000314,PTR-00000177,EMAIL,lehmann.oliver@post.example,true
KON-00000315,PTR-00000177,MOBIL,+49 152 28817 331,true
KON-00000316,PTR-00000178,EMAIL,christoph88@post.example,true
KON-00000317,PTR-00000178,MOBIL,+41 44 000 84 06,true
KON-00000318,PTR-00000179,EMAIL,hans-juergen.schmitt@web.example,true
KON-00000319,PTR-00000179,MOBIL,+49 152 28817 539,true
KON-00000320,PTR-00000180,EMAIL,schmitt.anke@mail.example,true
KON-00000321,PTR-00000180,MOBIL,+49 152 28817 761,true
KON-00000322,PTR-00000181,EMAIL,klaus.mueller69@web.example,true
KON-00000323,PTR-00000181,MOBIL,+49 152 28817 804,true
KON-00000324,PTR-00000182,EMAIL,mmueller@post.example,true
KON-00000325,PTR-00000182,MOBIL,+49 152 28817 417,true
KON-00000326,PTR-00000183,EMAIL,amir.mueller@post.example,true
KON-00000327,PTR-00000183,MOBIL,+49 152 28817 936,true
KON-00000328,PTR-00000184,EMAIL,tobias.schneider71@bluemail.example,true
KON-00000329,PTR-00000184,MOBIL,+49 152 28817 869,true
KON-00000330,PTR-00000185,EMAIL,bbaumann@web.example,true
KON-00000331,PTR-00000185,MOBIL,+49 152 28817 035,true
KON-00000332,PTR-00000186,EMAIL,eberisha@bluemail.example,true
KON-00000333,PTR-00000186,MOBIL,+49 152 28817 079,true
KON-00000334,PTR-00000187,EMAIL,bjoern31@web.example,true
KON-00000335,PTR-00000187,MOBIL,+49 152 28817 122,true
KON-00000336,PTR-00000188,EMAIL,elke.lindner@web.example,true
KON-00000337,PTR-00000188,MOBIL,+49 152 28817 050,true
KON-00000338,PTR-00000189,EMAIL,jennifer37@post.example,true
KON-00000339,PTR-00000189,MOBIL,+49 152 28817 532,true
KON-00000340,PTR-00000190,MOBIL,+49 152 28817 121,true
KON-00000341,PTR-00000191,EMAIL,lisa6@bluemail.example,true
KON-00000342,PTR-00000191,MOBIL,+49 152 28817 482,true
KON-00000343,PTR-00000192,EMAIL,urs.odermatt70@post.example,true
KON-00000344,PTR-00000192,MOBIL,+41 44 000 76 49,true
KON-00000345,PTR-00000193,EMAIL,vodermatt@bluemail.example,true
KON-00000346,PTR-00000193,TELEFON,+41 44 000 11 22,true
KON-00000347,PTR-00000194,EMAIL,srohrer@bluemail.example,true
KON-00000348,PTR-00000194,MOBIL,+41 44 000 52 07,true
KON-00000349,PTR-00000195,EMAIL,roger.graf@mail.example,true
KON-00000350,PTR-00000195,TELEFON,+41 44 000 05 27,true
KON-00000351,PTR-00000196,EMAIL,fgraf@web.example,true
KON-00000352,PTR-00000196,MOBIL,+41 44 000 44 29,true
KON-00000353,PTR-00000197,EMAIL,pohl.lisa@mail.example,true
KON-00000354,PTR-00000197,MOBIL,+49 152 28817 074,true
KON-00000355,PTR-00000198,EMAIL,marco7@post.example,true
KON-00000356,PTR-00000198,TELEFON,+49 30 23125 901,true
KON-00000357,PTR-00000199,MOBIL,+49 152 28817 334,true
KON-00000358,PTR-00000200,EMAIL,tanja.baumann80@web.example,true
KON-00000359,PTR-00000200,MOBIL,+49 152 28817 713,true
KON-00000360,PTR-00000201,EMAIL,corinne.hofer80@web.example,true
KON-00000361,PTR-00000201,MOBIL,+41 44 000 36 72,true
KON-00000362,PTR-00000202,EMAIL,meier.felix@post.example,true
KON-00000363,PTR-00000202,MOBIL,+41 44 000 06 03,true
KON-00000364,PTR-00000203,EMAIL,daniel.hofer@bluemail.example,true
KON-00000365,PTR-00000203,MOBIL,+41 44 000 28 18,true
KON-00000366,PTR-00000204,EMAIL,jonas.heinrich@post.example,true
KON-00000367,PTR-00000204,MOBIL,+49 152 28817 934,true
KON-00000368,PTR-00000205,EMAIL,murat17@web.example,true
KON-00000369,PTR-00000205,MOBIL,+49 152 28817 726,true
KON-00000370,PTR-00000206,EMAIL,andrea.da-silva75@web.example,true
KON-00000371,PTR-00000206,TELEFON,+49 30 23125 269,true
KON-00000372,PTR-00000207,EMAIL,seidel.paul@mail.example,true
KON-00000373,PTR-00000207,MOBIL,+49 152 28817 620,true
KON-00000374,PTR-00000208,EMAIL,greta.weber@post.example,true
KON-00000375,PTR-00000208,TELEFON,+49 30 23125 517,true
KON-00000376,PTR-00000209,EMAIL,ueli.meier@web.example,true
KON-00000377,PTR-00000209,MOBIL,+41 44 000 38 40,true
KON-00000378,PTR-00000210,EMAIL,lena.wenger@web.example,true
KON-00000379,PTR-00000210,MOBIL,+41 44 000 05 04,true
KON-00000380,PTR-00000211,EMAIL,berger.gian@bluemail.example,true
KON-00000381,PTR-00000211,MOBIL,+41 44 000 49 93,true
KON-00000382,PTR-00000212,EMAIL,roger49@web.example,true
KON-00000383,PTR-00000212,MOBIL,+41 44 000 07 47,true
KON-00000384,PTR-00000213,EMAIL,roth.nadine@mail.example,true
KON-00000385,PTR-00000213,MOBIL,+41 44 000 60 71,true
KON-00000386,PTR-00000214,EMAIL,roth.ladina@bluemail.example,true
KON-00000387,PTR-00000214,MOBIL,+41 44 000 91 94,true
KON-00000388,PTR-00000215,EMAIL,lena.roth@bluemail.example,true
KON-00000389,PTR-00000215,MOBIL,+41 44 000 79 22,true
KON-00000390,PTR-00000216,EMAIL,dragan.roth84@mail.example,true
KON-00000391,PTR-00000216,MOBIL,+41 44 000 91 09,true
KON-00000392,PTR-00000217,EMAIL,slorenz@mail.example,true
KON-00000393,PTR-00000217,MOBIL,+49 152 28817 373,true
KON-00000394,PTR-00000218,EMAIL,ute34@web.example,true
KON-00000395,PTR-00000218,MOBIL,+49 152 28817 709,true
KON-00000396,PTR-00000219,EMAIL,lorenz.elias@post.example,true
KON-00000397,PTR-00000219,MOBIL,+49 152 28817 905,true
KON-00000398,PTR-00000220,EMAIL,hans-juergen.wagner79@web.example,true
KON-00000399,PTR-00000220,TELEFON,+49 30 23125 130,true
KON-00000400,PTR-00000221,EMAIL,regula.brunner@bluemail.example,true
KON-00000401,PTR-00000221,MOBIL,+41 44 000 66 38,true
KON-00000402,PTR-00000222,EMAIL,rolf.brunner77@mail.example,true
KON-00000403,PTR-00000222,MOBIL,+41 44 000 42 52,true
KON-00000404,PTR-00000223,MOBIL,+41 44 000 87 07,true
KON-00000405,PTR-00000224,EMAIL,luis.schmidt03@mail.example,true
KON-00000406,PTR-00000224,MOBIL,+49 152 28817 707,true
KON-00000407,PTR-00000225,EMAIL,nschmidt@post.example,true
KON-00000408,PTR-00000225,MOBIL,+49 152 28817 930,true
KON-00000409,PTR-00000226,EMAIL,dwagner@post.example,true
KON-00000410,PTR-00000226,MOBIL,+49 152 28817 777,true
