partner_id,vorname,nachname,geschlecht,land,sprache,geburtsjahr,typ
PART-00059,Pascal,Widmer,M,CH,de,1989,Person
PART-00060,Brigitte,Berger,W,CH,de,1948,Person
PART-00061,Markus,Braun,M,DE,de,1941,Person
PART-00062,Lisa,Mayer,W,DE,de,1983,Person
PART-00063,Stefanie,Müller,W,CH,de,1978,Person
PART-00064,Carlos,Kovačević,M,CH,de,1985,Person
PART-00065,Melanie,Ludwig,W,DE,de,1988,Person
PART-00066,Selina,Merz,W,CH,de,1997,Person
PART-00067,Jürgen,Klein,M,DE,de,1963,Person
PART-00068,Carmen,Weber,W,CH,de,1971,Person
PART-00069,Pascal,Gerber,M,CH,de,1980,Person
PART-00070,Ben,Schumacher,M,DE,de,1998,Person
PART-00071,Esther,Zimmermann,W,CH,de,1941,Person
PART-00072,Ben,Weber,M,DE,de,1994,Person
PART-00073,Seraina,Mettler,W,CH,de,2005,Person
PART-00074,Tanja,Werner,W,DE,de,1989,Person
PART-00075,Mehmet,Richter,M,DE,de,1943,Person
PART-00076,Florian,Zimmermann,M,DE,de,1952,Person
PART-00077,Elias,Ebner,M,DE,de,2003,Person
PART-00078,Murat,Horvat,M,CH,de,1949,Person
PART-00079,Jan,Weber,M,DE,de,1988,Person
PART-00080,Bettina,Christen,W,CH,de,1980,Person
PART-00081,Piotr,Möller,M,DE,de,1965,Person
PART-00082,Sara,Burkhalter,W,CH,de,1962,Person
PART-00083,Stefan,Franke,M,DE,de,1975,Person
PART-00084,Franziska,Meyer,W,DE,de,1997,Person
PART-00085,Tamara,Widmer,W,CH,de,1990,Person
PART-00086,Torsten,Meier,M,DE,de,1994,Person
PART-00087,Andrea,Böhm,W,DE,de,1976,Person
PART-00088,Christian,Schmid,M,CH,de,1969,Person
PART-00089,Elif,García,W,CH,de,1981,Person
PART-00090,Bettina,Meier,W,CH,de,1972,Person
PART-00091,Bettina,Bader,W,CH,de,1992,Person
PART-00092,Anke,Müller,W,DE,de,1984,Person
PART-00093,Patrick,Lüthi,M,CH,de,1964,Person
PART-00094,Sebastian,Zimmermann,M,DE,de,1977,Person
PART-00095,Finn,Meyer,M,DE,de,1980,Person
PART-00096,Verena,Zimmermann,W,CH,de,1975,Person
PART-00097,Sophia,Kaiser,W,DE,de,2002,Person
PART-00098,Matthias,Haas,M,CH,de,1993,Person
PART-00099,Jessica,Becker,W,DE,de,1983,Person
PART-00100,Andreas,Kern,M,DE,de,1970,Person
PART-00101,Amira,Yilmaz,W,CH,de,1990,Person
PART-00102,Michael,Wolf,M,DE,de,1966,Person
PART-00103,Lisa,Lorenz,W,DE,de,1993,Person
PART-00104,Marco,Krause,M,DE,de,1987,Person
PART-00105,Irene,Brunner,W,CH,de,1952,Person
PART-00106,Heike,Herrmann,W,DE,de,1973,Person
PART-00107,Roman,Zehnder,M,CH,de,1964,Person
PART-00108,Markus,Baumann,M,CH,de,1945,Person
PART-00109,Adrian,Bösch,M,CH,de,2000,Person
PART-00110,Heike,Richter,W,DE,de,1986,Person
PART-00111,Wilhelm,Meier,M,DE,de,1942,Person
PART-00112,Thomas,Meyer,M,CH,de,1945,Person
PART-00113,Manuela,Wolff,W,DE,de,1978,Person
PART-00114,Vanessa,Fischer,W,DE,de,1982,Person
PART-00115,Flurina,Hunziker,W,CH,de,1974,Person
PART-00116,Karin,Vollmer,W,DE,de,1971,Person
PART-00117,Igor,Demirci,M,DE,de,1982,Person
PART-00118,Ruedi,Keller,M,CH,de,1940,Person
PART-00119,Henry,Sommer,M,DE,de,2002,Person
PART-00120,Eleni,Papadopoulos,W,CH,de,1980,Person
PART-00121,Paul,Koch,M,DE,de,1985,Person
PART-00122,Petra,Neumann,W,DE,de,1942,Person
PART-00123,Simone,Schneider,W,CH,de,1960,Person
PART-00124,Karin,Gerber,W,CH,de,1983,Person
PART-00125,Lukas,Krüger,M,DE,de,1993,Person
PART-00126,Leon,Rudolf,M,CH,de,2004,Person
PART-00127,Lina,Martin,W,DE,de,2001,Person
PART-00128,Katrin,Roth,W,DE,de,1977,Person
PART-00129,Laura,Zumstein,W,CH,de,1970,Person
PART-00130,Alina,Nussbaumer,W,CH,de,1985,Person
PART-00131,Ben,Schulz,M,DE,de,1994,Person
PART-00132,Niklas,Roth,M,DE,de,1993,Person
PART-00133,Jelena,Kuznetsov,W,DE,de,1985,Person
PART-00134,Lea,Trachsel,W,CH,de,1985,Person
PART-00135,Vesna,Demir,W,DE,de,1941,Person
PART-00136,Christina,Engel,W,DE,de,1980,Person
PART-00137,Birgit,Franke,W,DE,de,1963,Person
PART-00138,Thomas,Hartmann,M,DE,de,1959,Person
PART-00139,Marco,Fuchs,M,DE,de,1975,Person
PART-00140,Hildegard,Weber,W,DE,de,1941,Person
PART-00141,Leon,Maier,M,DE,de,2003,Person
PART-00142,Peter,Koch,M,CH,de,1950,Person
PART-00143,Mehmet,Pereira,M,DE,de,1945,Person
PART-00144,Luka,Haas,M,CH,de,1992,Person
PART-00145,Andrea,Stucki,W,CH,de,1950,Person
PART-00146,Stefan,Aebi,M,CH,de,1970,Person
PART-00147,Kevin,Hartmann,M,DE,de,1985,Person
PART-00148,Rolf,Winkler,M,CH,de,1959,Person
PART-00149,Lars,Schäfer,M,DE,de,2003,Person
PART-00150,Anja,Vollmer,W,DE,de,1972,Person
PART-00151,Maximilian,Sommer,M,DE,de,1987,Person
PART-00152,Elisabeth,Locher,W,CH,de,1959,Person
PART-00153,Heinz,Schmid,M,CH,de,1943,Person
PART-00154,Elena,Scherrer,W,CH,de,2005,Person
PART-00155,Monika,Kissling,W,CH,de,1988,Person
PART-00156,Brigitte,Wagner,W,DE,de,1965,Person
PART-00157,Oliver,Strobel,M,DE,de,1966,Person
PART-00158,Fabian,Studer,M,CH,de,1993,Person
PART-00159,Jan,Bieri,M,CH,de,2002,Person
PART-00160,Stefanie,Brunner,W,CH,de,1987,Person
PART-00161,Thomas,Schulz,M,DE,de,1969,Person
PART-00162,Gabriele,Zander,W,DE,de,1978,Person
PART-00163,Priska,Keller,W,CH,de,1968,Person
PART-00164,Christoph,Imhof,M,CH,de,1980,Person
PART-00165,Brigitte,Werner,W,DE,de,1949,Person
PART-00166,Seraina,Egli,W,CH,de,1992,Person
PART-00167,Cornelia,Marx,W,DE,de,1965,Person
PART-00168,Tim,Voigt,M,DE,de,1986,Person
PART-00169,Dirk,Wilhelm,M,DE,de,1981,Person
PART-00170,Urs,Wyss,M,CH,de,1966,Person
PART-00171,Anja,Walder,W,CH,de,1988,Person
PART-00172,Ali,Demir,M,DE,de,1978,Person
PART-00173,Wolfgang,Lange,M,DE,de,1958,Person
PART-00174,Charlotte,Müller,W,DE,de,2001,Person
PART-00175,Werner,Schneider,M,CH,de,1964,Person
PART-00176,Beatrice,Kunz,W,CH,de,1967,Person
PART-00177,Thomas,Studer,M,CH,de,1970,Person
PART-00178,Maria José,Kim,W,DE,de,1949,Person
PART-00179,Livia,Gerber,W,CH,de,2004,Person
PART-00180,Wolfgang,Ziegler,M,DE,de,1972,Person
PART-00181,Bettina,Gloor,W,CH,de,1945,Person
PART-00182,Goran,Şahin,M,DE,de,1993,Person
PART-00183,Lukas,Maier,M,DE,de,2001,Person
PART-00184,Heidi,Graf,W,CH,de,1965,Person
PART-00185,Fabienne,Merz,W,CH,de,1981,Person
PART-00186,Alina,Peter,W,CH,de,1986,Person
PART-00187,Maria José,Çelik,W,CH,de,1950,Person
PART-00188,Ute,Roth,W,DE,de,1959,Person
PART-00189,Christian,Studer,M,CH,de,1958,Person
PART-00190,Torsten,Schröder,M,DE,de,1953,Person
PART-00191,Jana,Petersen,W,DE,de,1989,Person
PART-00192,Daniel,Kowalski,M,DE,de,1989,Person
PART-00193,Hildegard,Müller,W,DE,de,1956,Person
PART-00194,Urs,Lüthi,M,CH,de,1941,Person
PART-00195,Florian,Dietrich,M,DE,de,2004,Person
PART-00196,Irene,Kuhn,W,CH,de,1944,Person
PART-00197,Ralf,Meyer,M,DE,de,1964,Person
PART-00198,Karin,Frei,W,CH,de,1974,Person
PART-00199,Annemarie,Gehrig,W,CH,de,1941,Person
PART-00200,Maximilian,Neumann,M,DE,de,1980,Person
PART-00201,Marco,Schumacher,M,DE,de,1999,Person
PART-00202,Carsten,Schwarz,M,DE,de,1956,Person
PART-00203,Simone,Sigrist,W,CH,de,1966,Person
PART-00204,Jonas,Stoll,M,CH,de,1991,Person
PART-00205,Moritz,Janssen,M,DE,de,1994,Person
PART-00206,Dominik,Arnold,M,CH,de,2003,Person
PART-00207,Carsten,Zander,M,DE,de,1981,Person
PART-00208,Stefanie,Haas,W,CH,de,1975,Person
PART-00209,Sofia,Oliveira,W,CH,de,1996,Person
PART-00210,Bernd,Thiel,M,DE,de,1995,Person
PART-00211,Adrian,Staub,M,CH,de,1975,Person
PART-00212,Lukas,Huber,M,DE,de,1983,Person
PART-00213,Reinhard,Schröder,M,DE,de,1971,Person
PART-00214,Nina,Stalder,W,CH,de,1982,Person
PART-00215,Mia,Steiner,W,CH,de,1983,Person
PART-00216,Andreas,Pfister,M,CH,de,1966,Person
PART-00217,Zeynep,Wiśniewski,W,DE,de,2002,Person
PART-00218,Maria José,Đorđević,W,CH,de,1958,Person
PART-00219,Mehmet,Şahin,M,DE,de,1949,Person
PART-00220,Dieter,König,M,DE,de,1967,Person
PART-00221,Carmen,Marti,W,CH,de,1993,Person
PART-00222,Brigitte,Brägger,W,CH,de,1946,Person
PART-00223,Franziska,Weber,W,CH,de,1991,Person
PART-00224,Helmut,Voss,M,DE,de,1951,Person
PART-00225,Leonie,Hartmann,W,DE,de,2005,Person
PART-00226,Esther,Trachsel,W,CH,de,1949,Person
PART-00227,Heinz,Steiner,M,CH,de,1944,Person
PART-00228,Hansruedi,Jenni,M,CH,de,1953,Person
PART-00229,Carmen,Frei,W,CH,de,1978,Person
PART-00230,Ben,Werner,M,DE,de,1996,Person
PART-00231,Nadine,Koch,W,DE,de,2000,Person
PART-00232,Dominik,Frei,M,CH,de,1981,Person
PART-00233,Reto,Rüegg,M,CH,de,1970,Person
PART-00234,Carmen,Locher,W,CH,de,1963,Person
PART-00235,Ralf,Schmitz,M,DE,de,1945,Person
PART-00236,Frank,Lange,M,DE,de,1974,Person
PART-00237,Franziska,Wyss,W,CH,de,1960,Person
PART-00238,Brigitte,Kühni,W,CH,de,1965,Person
PART-00239,Katarzyna,Ivanov,W,CH,de,1961,Person
PART-00240,Felix,Berger,M,DE,de,1983,Person
PART-00241,Anja,Wild,W,CH,de,1981,Person
PART-00242,Silke,Köhler,W,DE,de,1952,Person
PART-00243,Adrian,Thommen,M,CH,de,1971,Person
PART-00244,Markus,Voigt,M,DE,de,1979,Person
PART-00245,Dragan,Demir,M,CH,de,1947,Person
PART-00246,Adrian,Frei,M,CH,de,1996,Person
PART-00247,Werner,Zürcher,M,CH,de,1988,Person
PART-00248,Igor,Şahin,M,DE,de,1949,Person
PART-00249,Elisabeth,Zürcher,W,CH,de,1960,Person
PART-00250,Marco,Janssen,M,DE,de,1971,Person
PART-00251,Amir,López,M,CH,de,1970,Person
PART-00252,Nico,Kunz,M,CH,de,1983,Person
PART-00253,Patrick,Stucki,M,CH,de,1960,Person
PART-00254,Jan,Walter,M,DE,de,2002,Person
PART-00255,Sepp,Hofer,M,CH,de,1954,Person
PART-00256,Pascal,Mettler,M,CH,de,1982,Person
PART-00257,Charlotte,Ludwig,W,DE,de,1999,Person
PART-00258,Katrin,Schmitz,W,DE,de,1981,Person
PART-00259,Maximilian,Schäfer,M,DE,de,2000,Person
PART-00260,Jelena,Doğan,W,CH,de,1982,Person
PART-00261,Dominik,Haas,M,CH,de,1978,Person
PART-00262,Felix,Gehrig,M,CH,de,1998,Person
PART-00263,Carmen,Stoll,W,CH,de,1983,Person
PART-00264,Sara,Stadler,W,CH,de,1979,Person
PART-00265,Tim,Staub,M,CH,de,1999,Person
PART-00266,Nadine,Tanner,W,CH,de,1983,Person
PART-00267,Simone,Brunner,W,CH,de,1990,Person
PART-00268,Anja,Schulte,W,DE,de,1987,Person
PART-00269,Daniel,Hunziker,M,CH,de,1973,Person
PART-00270,Daniel,Jensen,M,DE,de,1962,Person
PART-00271,Samuel,Krasniqi,M,CH,de,1991,Person
PART-00272,Lara,Meier,W,CH,de,1973,Person
PART-00273,Irene,Koch,W,CH,de,1964,Person
PART-00274,Martin,Bachmann,M,CH,de,1969,Person
PART-00275,Svenja,Kraus,W,DE,de,2004,Person
PART-00276,Noemi,Steiner,W,CH,de,1987,Person
PART-00277,Jürg,Keller,M,CH,de,1977,Person
PART-00278,Horst,Zimmermann,M,DE,de,1963,Person
PART-00279,Sarah,Jäger,W,DE,de,1955,Person
PART-00280,Karin,Fischer,W,CH,de,1953,Person
PART-00281,Andrea,Keller,W,DE,de,1977,Person
PART-00282,Jan,Gfeller,M,CH,de,1975,Person
PART-00283,Lea,Gerber,W,CH,de,2004,Person
PART-00284,Christian,Meyer,M,CH,de,1983,Person
PART-00285,Brigitte,Bergmann,W,DE,de,1951,Person
PART-00286,Michael,Lehmann,M,DE,de,1971,Person
PART-00287,Ben,Eichenberger,M,CH,de,1997,Person
PART-00288,Karin,Bürgi,W,CH,de,1947,Person
PART-00289,Igor,Doğan,M,DE,de,1992,Person
PART-00290,Brigitte,Keller,W,CH,de,1969,Person
PART-00291,Silvia,Schmid,W,CH,de,1990,Person
PART-00292,Carmen,Schaffner,W,CH,de,1996,Person
PART-00293,Yvonne,Steiner,W,CH,de,1958,Person
PART-00294,Lukas,Heiniger,M,CH,de,1985,Person
PART-00295,Simon,Nussbaumer,M,CH,de,1995,Person
PART-00296,Gabriele,Vogt,W,DE,de,1940,Person
PART-00297,Dominik,Mettler,M,CH,de,1967,Person
PART-00298,Igor,Aydın,M,DE,de,1994,Person
PART-00299,Fabienne,Ammann,W,CH,de,1991,Person
PART-00300,Michelle,García,W,CH,de,1993,Person
PART-00301,Helga,Ziegler,W,DE,de,1945,Person
PART-00302,Jessica,Schäfer,W,DE,de,1990,Person
PART-00303,Gian,Schmid,M,CH,de,2000,Person
PART-00304,Christian,Baumann,M,CH,de,1992,Person
PART-00305,Dominik,Bühler,M,CH,de,1990,Person
PART-00306,Martina,Becker,W,DE,de,1970,Person
PART-00307,Jürgen,Kolbe,M,DE,de,1960,Person
PART-00308,Daniel,Kälin,M,CH,de,1981,Person
PART-00309,Nico,Hofer,M,CH,de,1983,Person
PART-00310,Regula,Keller,W,CH,de,1989,Person
PART-00311,Sabine,Vogel,W,DE,de,1969,Person
PART-00312,Ralf,Scholz,M,DE,de,1986,Person
PART-00313,Norbert,Franke,M,DE,de,1965,Person
PART-00314,Bernd,Schneider,M,DE,de,1944,Person
PART-00315,Michael,Vollmer,M,DE,de,1941,Person
PART-00316,Lara,Pfister,W,CH,de,1993,Person
PART-00317,René,Steiner,M,CH,de,1947,Person
PART-00318,Tim,Bergmann,M,DE,de,1985,Person
PART-00319,Bernd,Meyer,M,DE,de,1978,Person
PART-00320,Wolfgang,Möller,M,DE,de,1947,Person
PART-00321,Manuela,Egli,W,CH,de,1979,Person
PART-00322,Stefanie,Lorenz,W,DE,de,1991,Person
PART-00323,Trudi,Graf,W,CH,de,1951,Person
PART-00324,Can,Horvat,M,DE,de,1998,Person
PART-00325,Jan,Braun,M,DE,de,1965,Person
PART-00326,Manuela,Berger,W,DE,de,1959,Person
PART-00327,Bettina,Maurer,W,CH,de,1979,Person
PART-00328,Volker,Schmitt,M,DE,de,1957,Person
PART-00329,Florian,Lindner,M,DE,de,1972,Person
PART-00330,Thomas,Egli,M,CH,de,1960,Person
PART-00331,Sabine,Oswald,W,DE,de,1970,Person
PART-00332,Jasmin,Maurer,W,CH,de,1992,Person
PART-00333,Omar,Franke,M,DE,de,1995,Person
PART-00334,Vreni,Bachmann,W,CH,de,1950,Person
PART-00335,Cyrill,Roth,M,CH,de,1985,Person
PART-00336,Marlies,Amrein,W,CH,de,1951,Person
PART-00337,Selina,Bürgi,W,CH,de,2005,Person
PART-00338,Andrea,Imhof,W,CH,de,1976,Person
PART-00339,Michael,Nowak,M,DE,de,1971,Person
PART-00340,Silke,Schneider,W,DE,de,1984,Person
PART-00341,Irmgard,Weber,W,DE,de,1952,Person
PART-00342,Elias,Horn,M,DE,de,1997,Person
PART-00343,Emre,Bürgi,M,CH,de,1991,Person
PART-00344,Ivana,Lienhard,W,CH,de,1957,Person
PART-00345,Martin,Schmid,M,CH,de,1984,Person
PART-00346,Marco,Strobel,M,DE,de,2001,Person
PART-00347,Stefan,Schmitz,M,DE,de,1997,Person
PART-00348,Martina,Albrecht,W,DE,de,1977,Person
PART-00349,Barbara,Keller,W,CH,de,1943,Person
PART-00350,Goran,Nowak,M,DE,de,1960,Person
PART-00351,Maximilian,Hofmann,M,DE,de,2002,Person
PART-00352,Manuel,Meier,M,CH,de,1977,Person
PART-00353,Lina,Brandt,W,DE,de,2004,Person
PART-00354,Manuel,Ryser,M,CH,de,1970,Person
PART-00355,Matthias,Waser,M,CH,de,1951,Person
PART-00356,Hans,Studer,M,CH,de,1943,Person
PART-00357,Franziska,Ryser,W,CH,de,1967,Person
PART-00358,Brigitte,Trachsel,W,CH,de,1945,Person
PART-00359,Bruno,Brunner,M,CH,de,1949,Person
PART-00360,Flurina,Schärer,W,CH,de,2003,Person
PART-00361,Lea,Baumann,W,CH,de,2004,Person
PART-00362,Olga,Patel,W,DE,de,1970,Person
PART-00363,Heike,Peters,W,DE,de,1970,Person
PART-00364,Reinhard,Günther,M,DE,de,1944,Person
PART-00365,Franziska,Tanner,W,CH,de,1998,Person
PART-00366,Stefan,Rickli,M,CH,de,1990,Person
PART-00367,Beat,Meier,M,CH,de,1941,Person
PART-00368,Margrit,Dietiker,W,CH,de,1949,Person
PART-00369,Moritz,Keller,M,DE,de,1999,Person
PART-00370,Monika,Schäfer,W,DE,de,1962,Person
PART-00371,Rosmarie,Sägesser,W,CH,de,1949,Person
PART-00372,Susanne,Cordes,W,DE,de,1948,Person
PART-00373,Christoph,Schneider,M,CH,de,1952,Person
PART-00374,Heinrich,Bauer,M,DE,de,1940,Person
PART-00375,Matthias,Hoffmann,M,DE,de,1951,Person
PART-00376,Svetlana,Novak,W,CH,de,1965,Person
PART-00377,Aylin,Jovanović,W,DE,de,2002,Person
PART-00378,Martina,Huber,W,DE,de,1976,Person
PART-00379,Markus,Huber,M,CH,de,1951,Person
PART-00380,Simon,Meier,M,CH,de,1984,Person
PART-00381,Carla,Petrović,W,DE,de,2000,Person
PART-00382,Esther,Frey,W,CH,de,1941,Person
PART-00383,Fabienne,Gasser,W,CH,de,2005,Person
PART-00384,Waltraud,Lüders,W,DE,de,1942,Person
PART-00385,Köbi,Fischer,M,CH,de,1981,Person
PART-00386,Meryem,Nowak,W,CH,de,1992,Person
PART-00387,Volker,Lehmann,M,DE,de,1985,Person
PART-00388,Vesna,Hassan,W,CH,de,1946,Person
PART-00389,Thomas,Aebi,M,CH,de,1964,Person
PART-00390,Luis,König,M,DE,de,1993,Person
PART-00391,Can,Papadopoulos,M,DE,de,2003,Person
PART-00392,Marco,Ivanov,M,DE,de,1976,Person
PART-00393,Yvonne,Sägesser,W,CH,de,1977,Person
PART-00394,Eleni,Frank,W,DE,de,1999,Person
PART-00395,Bettina,Müller,W,CH,de,2001,Person
PART-00396,Bruno,Amstutz,M,CH,de,1942,Person
PART-00397,Werner,Baumann,M,CH,de,1940,Person
PART-00398,Alina,Hauser,W,CH,de,1991,Person
PART-00399,Sabine,Schäfer,W,DE,de,1983,Person
PART-00400,Volker,Voss,M,DE,de,1949,Person
PART-00401,Lisa,Schulz,W,DE,de,1979,Person
PART-00402,Christian,Günther,M,DE,de,1973,Person
PART-00403,Claudia,Bättig,W,CH,de,1983,Person
PART-00404,Torsten,Kim,M,DE,de,1952,Person
PART-00405,Levin,Zbinden,M,CH,de,2000,Person
PART-00406,Niklas,Schubert,M,DE,de,1982,Person
PART-00407,Sepp,Bertschi,M,CH,de,1958,Person
PART-00408,Flurina,Bossard,W,CH,de,1996,Person
PART-00409,Maren,Kern,W,DE,de,1985,Person
PART-00410,Corinne,Zürcher,W,CH,de,1973,Person
PART-00411,Manuel,Müller,M,CH,de,1954,Person
PART-00412,Katrin,Bauer,W,DE,de,1968,Person
PART-00413,Marlies,Dietiker,W,CH,de,1963,Person
PART-00414,Margrit,Müller,W,CH,de,1951,Person
PART-00415,Norbert,Vogt,M,DE,de,1948,Person
PART-00416,Noemi,Stalder,W,CH,de,2000,Person
PART-00417,Moritz,Klein,M,DE,de,1981,Person
PART-00418,Ruth,Imhof,W,CH,de,1944,Person
PART-00419,Melanie,Furrer,W,CH,de,1990,Person
PART-00420,Felix,Reber,M,CH,de,1988,Person
PART-00421,Hans-Jürgen,Nowak,M,DE,de,1963,Person
PART-00422,Ute,Hansen,W,DE,de,1957,Person
PART-00423,Rainer,Lorenz,M,DE,de,1947,Person
PART-00424,Ben,Müller,M,DE,de,1980,Person
PART-00425,Ruth,Ammann,W,CH,de,1946,Person
PART-00426,Walter,Tanner,M,CH,de,1942,Person
PART-00427,Norbert,Otto,M,DE,de,1971,Person
PART-00428,Sabine,Berger,W,DE,de,1952,Person
PART-00429,Karin,Pfister,W,CH,de,1951,Person
PART-00430,Thomas,Weber,M,CH,de,1982,Person
PART-00431,Lea,Gasser,W,CH,de,2001,Person
PART-00432,Urs,Gloor,M,CH,de,1945,Person
PART-00433,Torsten,Baumann,M,DE,de,1954,Person
PART-00434,Uwe,Hoffmann,M,DE,de,1951,Person
PART-00435,Adrian,Gloor,M,CH,de,1979,Person
PART-00436,Urs,Nussbaumer,M,CH,de,1963,Person
PART-00437,Beatrice,Frey,W,CH,de,1943,Person
PART-00438,Heinrich,Mayer,M,DE,de,1956,Person
PART-00439,Christine,Schmid,W,CH,de,1947,Person
PART-00440,Priya,Petrov,W,DE,de,2003,Person
PART-00441,Priska,Gerber,W,CH,de,1953,Person
PART-00442,Sebastian,Schmidt,M,DE,de,1965,Person
PART-00443,Johanna,Weber,W,DE,de,1987,Person
PART-00444,Ali,Demirci,M,CH,de,1970,Person
PART-00445,Ralf,Braun,M,DE,de,1953,Person
PART-00446,Petra,Berger,W,DE,de,1947,Person
PART-00447,Barbara,Bächtold,W,CH,de,1950,Person
PART-00448,Karl,Krause,M,DE,de,1945,Person
PART-00449,Dagmar,Klein,W,DE,de,1945,Person
PART-00450,Silke,Werner,W,DE,de,1966,Person
PART-00451,Ali,Doğan,M,DE,de,2000,Person
PART-00452,Kerstin,Braun,W,DE,de,1999,Person
PART-00453,Kerstin,Lutz,W,DE,de,1976,Person
PART-00454,Christa,Müller,W,DE,de,1944,Person
PART-00455,Andreas,Hürlimann,M,CH,de,1947,Person
PART-00456,Nils,Bühler,M,CH,de,1993,Person
PART-00457,Marlies,Fankhauser,W,CH,de,1953,Person
PART-00458,Christa,Graf,W,DE,de,1965,Person
PART-00459,Milan,Da Silva,M,CH,de,1976,Person
PART-00460,Nadine,Iten,W,CH,de,1986,Person
PART-00461,Karl,Koch,M,DE,de,1941,Person
PART-00462,Sabine,Frank,W,DE,de,1946,Person
PART-00463,Hanspeter,Meyer,M,CH,de,1942,Person
PART-00464,Ladina,Schmid,W,CH,de,2005,Person
PART-00465,Samuel,Tran,M,DE,de,1998,Person
PART-00466,Sara,Widmer,W,CH,de,1998,Person
PART-00467,Ralf,Kowalczyk,M,DE,de,1980,Person
PART-00468,Noah,Pohl,M,DE,de,2000,Person
PART-00469,Sara,Fuchs,W,CH,de,1993,Person
PART-00470,Svenja,Hofmann,W,DE,de,2005,Person
PART-00471,Rolf,Hofer,M,CH,de,1977,Person
PART-00472,Stefan,Schumacher,M,DE,de,1970,Person
PART-00473,Sven,Wolff,M,DE,de,1996,Person
PART-00474,Irmgard,Schneider,W,DE,de,1942,Person
PART-00475,Daniela,Vogel,W,CH,de,1949,Person
PART-00476,Rosmarie,Kälin,W,CH,de,1940,Person
PART-00477,Günter,Schäfer,M,DE,de,1963,Person
PART-00478,Silvia,Zwahlen,W,CH,de,1976,Person
PART-00479,Ana,Patel,W,DE,de,1953,Person
PART-00480,Jennifer,Dietrich,W,DE,de,1990,Person
PART-00481,Priya,Singh,W,DE,de,1982,Person
PART-00482,Sven,Kaiser,M,DE,de,1964,Person
PART-00483,Ralf,Wessel,M,DE,de,1943,Person
