PARTNR;NAME1;NAME2;GEBDAT;GESCHL;ZIVST;ADR1;ADR2;ADR3;LANDKZ;SPRACHE;TEL;EMAIL;BERUF;KDSEIT;AENDDAT;BEMERK
10000013;ROUILLER LUCIE;;16.10.92;2;2;IMPASSE DES ALOUETTES 73;;1201 GENEVE;756;F;+41 44 000 81 58;;KAUFMAENNISCHE ANGES;01.06.18;01.07.23;
10000014;ROUILLER PASCAL;;08.11.88;1;2;IMPASSE DES ALOUETTES 73;;1201 GENEVE;756;F;+41 44 000 95 65;pascal.rouiller@web.example;TREUHAENDERIN;01.09.22;31.12.25;
10000015;OLIVEIRA SANDRA;;17.04.78;2;2;ENTENSTEIG 49;;8180 BUELACH;756;D;+41 44 000 15 27;;KAUFMAENNISCHE ANGES;01.02.02;31.12.25;
10000016;VOISARD YANN;;14.08.69;1;2;ROUTE DES HERONS 20B;;1205 GENEVE;756;F;+41 44 000 14 43;;AERZTIN;01.07.11;01.08.24;VN TEL. ANGEFR., RR BIS 15.3.
10000017;VOISARD E.;;17.03.70;2;2;ROUTE DES HERONS 20B;;1205 GENEVE;756;F;+41 44 000 63 41;;VERKAEUFERIN;;01.12.23;
10000018;BAECHTOLD J.;;18.03.91;1;5;GOLDWEG 79;;8630 RUETI ZH;756;D;+41 44 000 57 43;;RENTNERIN;01.07.17;01.11.19;
10000019;BAECHTOLD JASMIN;;03.05.94;2;5;GOLDWEG 79;;8630 RUETI ZH;756;D;+41 44 000 28 13;;INFORMATIKERIN;;01.08.21;
10000020;BAECHTOLD LENA;;11.06.07;2;1;GOLDWEG 79;;8630 RUETI ZH;756;D;+41 44 000 51 23;;STUDENTIN;;01.12.15;
10000021;BäCHTOLD L.;;16.07.07;2;1;GOLDWEG 79;;8630 RUETI ZH;756;D;+41 44 000 84 86;baechtold.livia@web.example;STUDENTIN;01.12.25;01.08.17;
10000022;BUGNON ARTHUR;;04.04.95;1;2;ALLEE DES SOLEILS 92;;3960 SIERRX;756;F;+41 44 000 05 45;;VERWALTUNGSANGESTELL;01.05.13;31.12.25;
10000023;BUGNON I.;;02.12.91;2;2;ALLEE DES SOLEILS 92;;3960 SIERRE;756;F;;;KAUFMAENNISCHE ANGES;01.12.16;31.12.25;
10000024;BUGNON A.;;26.06.07;2;1;ALPENROSENPLATZ 16;;4053 BASEL;756;F;+41 44 000 67 95;;PFLEGEFACHFRAU;;01.10.18;
10000025;BUGNON JADE;;12.02.07;2;1;ALLEE DES SOLEILS 92;;3960 SIERRX;756;F;+41 44 000 00 67;;STUDENTIN;;01.08.23;DUBLETTE? S. PVS-L
10000026;HARTMANN PETRA;;01.03.59;2;2;HEIDEKAMP 28;;90402 NUERNBERG;276;D;;;RENTNERIN;01.02.96;01.08.18;
10000027;BERGER LUIS;;28.07.91;1;2;KALKKAMP 160;;67346 SPEYER;276;D;+49 152 28817 91;luis22@mail.example;LEHRERIN;01.08.13;01.12.17;
10000028;CHAPPUIS PATRICK;;19.12.69;1;2;RUE DES MOULINS 102;;1003 LAUSANNE;756;F;+41 44 000 47 10;patrick.chappuis@bluemail.example;RENTNERIN;01.01.07;31.12.25;
10000029;REY EMMA;;15.06.05;2;1;RUE DES MOULINS 102;;1003 LAUSANNE;756;F;+41 44 000 97 30;emma75@bluemail.example;RENTNERIN;01.11.24;31.12.25;
10000030;SCHNEIDER FINN;;18.10.01;1;2;HUEGELHOF 44;;59494 SOEST;276;D;;finn.schneider01@post.example;STUDENTIN;01.11.19;01.10.17;
10000031;SCHAEFER SARAH;;12.06.85;2;5;BERGRING 57;;24103 KIEL;276;D;+49 152 28817 71;;VERKAEUFERIN;01.09.13;31.12.25;
10000032;SCHAEFER J.;;25.06.90;1;5;BERGRING 57;;24103 KIEL;276;D;;;MECHANIKERIN;;01.11.15;
10000033;SCHAEFER EMIL;;06.04.07;1;1;BERGRING 57;;24103 KIEL;276;D;+49 152 28817 57;emil.schaefer@post.example;STUDENTIN;01.08.25;01.04.16;
10000034;MEIER IRENE;;21.05.62;2;2;NELKENGASSE 54;;8001 ZUERICH;756;D;;imeier@web.example;INGENIEURIN;01.06.01;01.12.19;
10000035;MEYER CYRILL;;18.02.94;1;3;STERNENPLATZ 27;;8400 WINTERTHUR;756;D;+41 44 000 08 97;;PFLEGEFACHFRAU;01.06.15;31.12.25;
10000036;ERNST FLORIAN;;26.08.84;1;2;FLACHSPLATZ 91;;45127 ESSEN;276;D;+49 152 28817 83;ernst.florian@web.example;PHYSIOTHERAPEUTIN;01.05.07;01.01.15;RUECKRUF ERBETEN
10000037;ERNST JESSICA;;02.12.83;2;2;FLACHSPLATZ;91;45127 ESSEX;276;D;;;INFORMATIKERIN;;01.09.15;
10000038;GARCIA JOSE;;28.05.71;1;2;SATTLERSTRASSE 79;;08280 AUE-BAD SCHLEMA;276;D;;;KAUFMAENNISCHE ANGES;01.10.99;31.12.25;KUNDE WUENSCHT KEINE WERBUNG
10000039;GARCIA TANJA;;05.02.75;2;2;SATTLERSTRASSE 79;;08280 AUE-BAD SCHLEMA;276;D;+49 152 28817 27;;SCHREINERIN;01.07.13;31.12.25;
10000040;GARCIA LEON;;08.07.03;1;1;SATTLERSTRASSE 79;;08280 AUE-BAD SCHLEMA;276;D;;leon92@web.example;STUDENTIN;01.07.22;31.12.25;
10000041;SCHREIBER CORNELIA;;23.12.75;2;2;PAPPELSTRASSE 121;;41460 NEUSS;276;D;+49 152 28817 25;;SCHREINERIN;01.05.04;01.11.21;
10000042;BLANC NICOLAS;;17.05.94;1;2;PROMENADE DES NARCISSES 8;;1870 MONTHEY;756;F;+41 44 000 56 82;;PFLEGEFACHFRAU;01.12.14;01.10.16;
10000043;BAUMANN JUERGEN;;;1;2;SCHMETTERLINGSDAMM 157;;06886 LUTHERSTADT WITTENBERG;276;D;+49 152 28817 25;;BERATERIN;01.02.18;01.05.20;
10000044;WIECZOREK LAURA;;04.03.84;2;2;SCHMETTERLINGSDAMM 157;;06886 LUTHERSTADT WITTENBERG;276;D;+49 152 28817 81;;LEHRERIN;;01.04.24;
10000045;WOLFF TOBIAS;;01.01.00;1;1;SCHMETTERLINGSDAMM 157;;06886 LUTHERSTADT WITTENBERG;276;D;+49 152 28817 27;twolff@web.example;ELEKTROINSTALLATEURI;;31.12.25;
10000046;FRANK DIRK;;18.10.76;1;3;KALKKAMP 130;;58452 WITTEN;276;D;+49 152 28817 13;dirk.frank@web.example;SCHREINERIN;01.05.01;01.06.19;
10000047;REBER LAURA;;24.03.87;2;2;FICHTENHOF 79;;5507 MELLINGEN;756;D;+41 44 000 80 22;;JURISTIN;01.05.05;01.10.17;
10000048;REBER FELIX;;14.02.92;1;2;FICHTENHOF 79;;5507 MELLINGEN;756;D;+41 44 000 05 42;felix73@post.example;MALERIN;01.11.10;01.08.20;
10000049;SAUER JONAS;;10.03.90;1;5;SCHMIEDEGASSE 38;;56130 BAD EMS;276;D;+49 152 28817 42;;RENTNERIN;01.09.12;01.12.16;
10000050;MEIER M.;;23.05.69;1;2;UFERPLATZ 140A;;3053 MUENCHENBUCHSEE;756;D;;;HAUSFRAU;01.11.88;01.01.23;
10000051;MUELLER SARA;;17.06.90;2;2;APFELSTRASSE 85B;;3627 HEIMBERG;756;D;+41 44 000 39 15;mueller.sara@post.example;LEHRERIN;01.12.11;31.12.25;
10000052;PORTMANN CYRILL;;19.04.86;1;2;APFELSTRASSE 85B;;3627 HEIMBERG;756;D;;cportmann@bluemail.example;RENTNERIN;;01.10.23;
10000053;SUTER WERNER;;04.05.59;1;2;ABENDSTEIG 77;;3600 THUN;756;D;+41 44 000 10 60;;RENTNERIN;01.12.06;31.12.25;
10000054;RAUCH KATHARINA;;15.01.82;2;2;SOMMERALLEE 15;;21073 HAMBURG;276;D;+49 152 28817 58;;KAUFMAENNISCHE ANGES;01.06.07;01.07.19;
10000055;RAUCH M.;;15.01.81;1;2;SOMMERALLEE 15;;21073 HAMBURG;276;D;+49 152 28817 86;;RENTNERIN;01.03.06;01.01.20;
10000056;SCHNEIDER SEBASTIAN;;28.03.73;1;2;BRUECKENKAMP 160;;69115 HEIDELBERG;276;D;+49 152 28817 33;sebastian.schneider73@post.example;INFORMATIKERIN;01.09.13;01.05.16;
10000057;KRAUSE MARTINA;;18.12.70;2;2;BRUECKENKAMP 160;;69115 HEIDELBERG;276;D;+49 152 28817 11;martina.krause70@mail.example;MALERIN;01.10.05;01.02.22;
10000058;SCHNEIDER MORITZ;;25.01.07;1;1;BRUECKENKAMP 160;;69115 HEIDELBERG;276;D;+49 152 28817 93;;PFLEGEFACHFRAU;;01.02.17;
10000059;SCHNEIDER TORSTEN;;09.12.97;1;1;BRUECKENKAMP;160;69115 HEIDELBERG;276;D;+49 152 28817 71;torsten.schneider97@mail.example;VERWALTUNGSANGESTELL;;01.11.18;
10000060;LEHMANN K.;;12.09.63;2;2;FUCHSACKER 109;;3053 MUENCHENBUCHSEE;756;D;+41 44 000 12 70;;BERATERIN;01.01.99;01.01.20;
10000061;MENSAH ALI;;13.11.70;1;2;LERCHENPLATZ 21;;9500 WIL SG;756;D;+41 44 000 98 31;ali.mensah70@mail.example;LOGISTIKERIN;01.06.11;31.12.25;
10000062;EGGENBERGER IRENE;;14.12.76;2;2;LERCHENPLATZ 21;;9500 WIL SG;756;D;;;RENTNERIN;;31.12.25;
10000063;LANG DENNIS;;28.04.80;1;2;KASTANIENRING 81;;24103 KIEL;276;D;+49 152 28817 24;;HAUSFRAU;01.12.05;01.07.19;
10000064;LANG MIA;;02.04.83;2;2;KASTANIENRING;81;24103 KIEL;276;D;+49 152 28817 20;;GRAFIKERIN;01.08.11;01.01.24;
10000065;LANG JULIA;;16.03.04;2;1;KASTANIENRING 81;;24103 KIEL;276;D;;;INGENIEURIN;01.05.23;01.08.16;
10000066;KLEIN EMILIA;;10.01.07;2;1;KASTANIENRING 81;;24103 KIEL;276;D;+49 152 28817 10;;SANITAERINSTALLATEUR;;01.04.19;
10000067;LANG C.;;14.11.04;2;1;KASTANIENRING 81;;24103 KIEL;276;D;+49 152 28817 59;;KOECHIN;01.01.25;01.09.23;
10000068;KLEIN M.;;11.12.87;1;2;GARTENDAMM 179;;81241 MUENCHEN;276;D;;;INFORMATIKERIN;01.11.16;01.05.18;
10000069;KLEIN LISA;;23.07.88;2;2;ZUNFTKAMP;170B;49477 IBBENBUEREN;276;D;+49 152 28817 87;;CHAUFFEUSE;;31.12.25;
10000070;DIALLO MARIA JOSE;;21.03.79;2;2;ALLEE DES ECOLES 142;;2013 COLOMBIER NE;756;F;+41 44 000 85 40;maria-jose.diallo@mail.example;AERZTIN;01.12.09;31.12.25;
10000071;NIEDERBERGER KURT;;27.08.54;1;5;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 49 03;;RENTNERIN;01.04.13;01.07.21;
10000072;GEORGIOU FATMA;;07.04.57;2;5;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 08 47;fatma98@post.example;RENTNERIN;01.10.07;31.12.25;
10000073;ZBINDEN CLAUDIA;;16.01.88;2;1;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 26 46;;VERKAEUFERIN;01.09.18;01.11.18;
10000074;WEBER MARCEL;;27.12.81;1;1;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 77 98;;PFLEGEFACHFRAU;;01.07.24;
10000075;MUELLER KLAUS;;;1;2;ESCHENRING 30;;74072 HEILBRONN;276;D;+49 152 28817 80;;VERWALTUNGSANGESTELL;01.03.14;01.01.21;DUBLETTE? S. PVS-L
10000076;MUELLER M.;;13.08.64;2;2;MORGENGASSE 25;;45127 ESSEN;276;D;+49 152 28817 41;;HAUSFRAU;01.01.15;01.12.24;
10000077;MUELLER AMIR;;01.11.07;1;1;ESCHENRING 30;;74072 HEILBRONN;276;D;;amir.mueller@post.example;STUDENTIN;;01.01.18;
10000078;SCHNEIDER TOBIAS;;25.07.71;1;3;HOEHENDAMM 54;;65183 WIESBADEN;276;D;+49 152 28817 86;tobias.schneider71@bluemail.example;KUNSTSCHAFFENDE;01.09.05;01.05.20;
10000079;BAUMANN BEN;;16.09.91;1;2;TEICHDAMM 130;;80331 MUENCHEN;276;D;+49 152 28817 03;bbaumann@web.example;VERKAEUFERIN;01.12.21;01.02.19;
10000080;BERISHA ELENI;;24.06.88;2;2;TEICHDAMM 130;;80331 MUENCHEN;276;D;+49 152 28817 07;eberisha@bluemail.example;KAUFMAENNISCHE ANGES;;01.12.17;
10000081;ROHRER SAMUEL;;07.09.05;1;1;HANGWEG 139;;8400 WINTERTHUR;756;D;+41 44 000 52 07;srohrer@bluemail.example;STUDENTIN;01.04.24;01.08.22;
10000082;POHL L.;;12.08.90;2;2;HIRSCHALLEE 51;;28779 BREMEN;276;D;+49 152 28817 07;;KOECHIN;01.05.13;01.11.23;
10000083;POHL MARCO;;21.12.91;1;2;HIRSCHALLEE 51;;28779 BREMEN;276;D;+49 30 23125 901;marco7@post.example;VERKAEUFERIN;;01.12.15;
10000084;POHL HENRY;;15.12.07;1;1;HIRSCHALLEE;51;28779 BREMEN;276;D;+49 152 28817 33;;STUDENTIN;;01.07.23;
10000085;HOFER CORINNE;;12.12.80;2;2;VEILCHENSTRASSE 123;;8001 ZUERICH;756;D;+41 44 000 36 72;;KAUFMAENNISCHE ANGES;01.05.99;31.12.25;
10000086;MEIER FELIX;;16.10.77;1;2;VEILCHENSTRASSE 123;;8001 ZUERICH;756;D;+41 44 000 06 03;meier.felix@post.example;PFLEGEFACHFRAU;;01.01.24;
10000087;HOFER DANIEL;;11.01.07;1;1;VEILCHENSTRASSE 123;;8001 ZUERICH;756;D;+41 44 000 28 18;daniel.hofer@bluemail.example;STUDENTIN;;01.03.24;
10000088;MEIER UELI;;12.05.59;1;2;ROGGENACKER 170;;8001 ZUERICH;756;D;+41 44 000 38 40;;RENTNERIN;01.02.95;01.11.23;
10000089;WENGER LENA;;21.12.01;2;2;WIESENRAIN 84;;8610 USTER;756;D;;;STUDENTIN;01.10.20;01.11.20;
10000090;BERGER G.;;28.04.00;1;2;WIESENRAIN 84;;8610 USTER;756;D;+41 44 000 49 93;;KAUFMAENNISCHE ANGES;01.08.25;01.06.22;
10000091;ROTH ROGER;;22.08.60;1;2;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 07 47;roger49@web.example;RENTNERIN;01.01.14;01.11.24;
10000092;ROTH NADINE;;20.10.60;2;2;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 60 71;;RENTNERIN;;01.01.24;
10000093;ROTH LADINA;;14.03.86;2;1;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;;;KAUFMAENNISCHE ANGES;01.07.11;01.02.23;
10000094;ROTH LENA;;22.02.99;2;1;KORNGASSE;42;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 79 22;;ARCHITEKTIN;01.05.25;01.05.24;
10000095;ROTH D.;;04.08.84;1;1;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 91 09;;RENTNERIN;;01.08.24;
10000096;LORENZ SVEN;;20.12.83;1;2;INSELGASSE 168;;20249 HAMBURG;276;D;+49 152 28817 37;;SCHREINERIN;01.08.16;31.12.25;
10000097;LORENZ UTE;;05.03.81;2;2;INSELGASSE 168;;20249 HAMBURG;276;D;+49 152 28817 70;ute34@web.example;VERWALTUNGSANGESTELL;01.02.25;01.04.16;
10000098;LORENZ ELIAS;;05.12.07;1;1;INSELGASSE 168;;20249 HAMBURG;276;D;+49 152 28817 90;;STUDENTIN;;01.09.19;
10000099;SCHMIDT LUIS;;26.01.03;9;2;RATHAUSKAMP 2;;01219 DRESDEN;276;D;+49 152 28817 70;luis.schmidt03@mail.example;GRAFIKERIN;01.04.24;31.12.25;
10000100;SCHMIDT NIKOLA;;03.09.04;1;2;RATHAUSKAMP 2;;01219 DRESDEN;276;D;+49 152 28817 93;;LOGISTIKERIN;;31.12.25;
10000101;WAGNER DAGMAR;;10.02.76;2;5;BAECKERSTEIG 21;;38440 WOLFSBURG;276;D;+49 152 28817 77;dwagner@post.example;STUDENTIN;01.04.15;01.06.15;
10000102;DOGAN DRAGAN;;11.12.77;1;2;FICHTENSTEIG 160;;93047 REGENSBURG;276;D;+49 152 28817 70;dragan.dogan@post.example;CHAUFFEUSE;01.01.96;31.12.25;
10000103;SCHMIDT L.;;23.01.75;2;2;FICHTENSTEIG 160;;93047 REGENSBURG;276;D;+49 152 28817 72;lina.schmidt75@post.example;KAUFMAENNISCHE ANGES;;31.12.25;
10000104;WEISS FRANZISKA;;23.01.07;2;1;FICHTENSTEIG;160;93047 REGENSBURG;276;D;+49 152 28817 79;;STUDENTIN;01.11.25;01.11.15;
10000105;GAILLARD PATRICK;;12.11.71;1;2;CHEMIN DES VIOLETTES 126;;1201 GENEVE;756;F;+41 44 000 64 05;patrick.gaillard@web.example;LEHRERIN;01.04.09;01.03.20;
10000106;THOMAS SVEN;;21.08.68;1;2;HOEHENHOF 129;;22587 HAMBURG;276;D;+49 152 28817 93;;BERATERIN;01.03.04;31.12.25;
10000107;ZUMSTEIN H.;;06.01.56;2;5;OSTMATTE 63;;9100 HERISAU;756;D;+41 44 000 63 69;;RENTNERIN;01.05.04;01.06.21;
10000108;ZUMSTEIN RUEDI;;19.01.52;1;5;OSTMATTE 63;;9100 HERISAU;756;D;+41 44 000 36 77;;RENTNERIN;;01.08.17;
10000109;ZUMSTEIN SIMON;;02.03.93;1;1;OSTMATTE 63;;9100 HERISAU;756;D;+41 44 000 88 95;zumstein.simon@post.example;SCHREINERIN;01.02.19;01.10.21;
10000110;BOVET CELINE;;20.12.69;2;2;AVENUE DES OEILLETS 114;;1205 GENEVE;756;F;+41 44 000 44 26;celine.bovet69@post.example;LEHRERIN;01.06.02;01.08.21;
10000111;BOVET THOMAS;;21.10.73;1;2;AVENUE DES OEILLETS 114;;1205 GENEVE;756;F;;;DACHDECKERIN;01.05.99;01.07.17;
10000112;PATEL KATARZYNA;;04.11.88;2;2;MORGENKAMP 57;;57072 SIEGEN;276;D;;;BERATERIN;01.12.06;01.11.16;
10000113;PATEL S.;;25.02.87;1;2;MORGENKAMP 57;;57072 SIEGEN;276;D;+49 152 28817 15;patel.sebastian@mail.example;JURISTIN;;01.09.18;
10000114;HAENNI S.;;12.05.96;1;1;ROGGENHALDE 53;;5630 MURI AG;756;D;+41 44 000 14 38;;SELBSTAENDIGE UNTERN;01.01.17;01.07.19;VERST. 27.04.24
10000115;ITEN SILVIA;;01.04.72;2;2;METZGERWEG 83;;3600 THUN;756;D;;silvia89@bluemail.example;RENTNERIN;01.05.15;31.12.25;
10000116;HESS SERAINA;;21.08.99;2;1;METZGERWEG 83;;3600 THUN;756;D;+41 44 000 63 40;;SELBSTAENDIGE UNTERN;01.03.19;01.02.24;
10000117;NUSSBAUMER LARA;;19.12.83;2;2;MUEHLEPLATZ 48;;5080 LAUFENBURG;756;D;+41 44 000 16 44;;GRAFIKERIN;01.09.13;01.07.21;
10000118;GASSER ANNEMARIE;;05.08.53;2;2;HASENSTEIG 109;;3014 BERN;756;D;+41 44 000 22 79;;RENTNERIN;01.10.16;01.01.18;
10000119;GASSER MELANIE;;16.11.87;2;1;HASENSTEIG 109;;3014 BERN;756;D;+41 44 000 15 64;mgasser@post.example;RENTNERIN;01.06.06;01.07.17;ADR. LT. POST GEAENDERT
10000120;JENNI LEVIN;;02.12.75;1;2;STORCHENRING;142;8400 WINTERTHUR;756;D;+41 44 000 61 90;levin21@web.example;GERUESTBAUERIN;01.01.10;01.10.20;
10000121;NIKOLIC LEILA;;05.12.78;1;2;KUPFERHOF 169A;;3250 LYSS;756;D;+41 44 000 59 85;;SCHREINERIN;01.09.08;01.12.17;
10000122;FREI MELANIE;;21.03.86;2;5;ZIEGELMATTE 130;;4657 DULLIKEN;756;D;+41 44 000 66 75;;COIFFEUSE;01.11.09;01.03.15;
10000123;FREI STEFAN;;17.01.80;1;5;ZIEGELMATTE 130;;4657 DULLIKEN;756;D;+41 44 000 55 77;stefan.frei80@bluemail.example;KAUFMAENNISCHE ANGES;01.03.08;31.12.25;
10000124;BIANCHI FRANCESCO;;20.10.90;1;5;VIA DEI VIGNE 179;;6600 LOCARNO;756;I;+41 44 000 89 00;francesco97@bluemail.example;VERWALTUNGSANGESTELL;01.07.11;01.04.21;
10000125;BIANCHI AURORA;;10.03.91;2;5;VIA DEI VIGNE 179;;6600 LOCARNO;756;I;+41 44 000 03 28;aurora97@mail.example;KOECHIN;01.04.24;01.12.18;
10000126;BERTSCHI SARA;;19.12.84;2;2;STEINACKER 91;;8001 ZUERICH;756;D;+41 44 000 80 56;;MECHANIKERIN;01.11.05;01.11.20;MAHNUNG 1 VERSANDT
10000127;DEMIR MIGUEL;;22.01.93;1;1;WEBERRAIN;176;4051 BASEL;756;D;+41 44 000 33 90;mdemir@mail.example;SELBSTAENDIGE UNTERN;01.12.16;01.09.15;ADR. LT. POST GEAENDERT
10000128;JANSSEN M.;;26.08.76;2;5;SANDRING 69;;50226 FRECHEN;276;D;+49 152 28817 12;;ELEKTROINSTALLATEURI;01.03.05;01.08.23;
10000129;JANSSEN T.;;18.02.82;1;5;SANDRING 69;;50226 FRECHEN;276;D;+49 152 28817 81;;RENTNERIN;01.09.12;01.11.23;
10000130;BECKER PHILIPP;;22.03.86;1;2;HEIDEALLEE 149;;26382 WILHELMSHAVEX;276;D;+49 152 28817 21;;BERATERIN;01.06.24;01.02.20;
10000131;NOWAK AYSE;;26.06.89;2;2;HEIDEALLEE 149;;26382 WILHELMSHAVEN;276;D;+49 152 28817 07;;RENTNERIN;;31.12.25;
10000132;ORTLEPP P.;;07.12.80;1;2;BUCHENHOF 127;;04275 LEIPZIG;276;D;+49 152 28817 28;philipp.ortlepp80@bluemail.example;INFORMATIKERIN;01.07.15;01.04.18;
10000133;KUHN DENNIS;;23.12.96;1;1;SILBERSTRASSE 145;;53111 BONN;276;D;+49 30 23125 365;dkuhn@web.example;RENTNERIN;01.04.17;31.12.25;
10000134;ROTH LARISSA;;07.05.81;2;2;WEBERHALDE 155;;8853 LACHEN SZ;756;D;+41 44 000 95 84;;INGENIEURIN;01.11.02;01.07.24;
10000135;ROTH NIKOLA;;07.02.78;1;2;WEBERHALDE 155;;8853 LACHEN SZ;756;D;+41 44 000 33 47;nikola.roth78@web.example;LEHRERIN;;01.05.19;
10000136;ROTH EMMA;;05.09.07;2;1;WEBERHALDE 155;;8853 LACHEN SZ;756;D;+41 44 000 87 35;;STUDENTIN;;01.11.15;
10000137;ROTH PATRICK;;09.09.07;1;1;WEBERHALDE 155;;8853 LACHEN SZ;756;D;+41 44 000 76 44;;APOTHEKERIN;;01.06.24;
10000138;STALDER TAMARA;;01.01.00;2;1;WEBERHALDE 155;;8853 LACHEN SZ;756;D;+41 44 000 33 65;stalder.tamara@post.example;STUDENTIN;;01.01.15;
10000139;MOTTIER FREDERIC;;20.11.76;1;2;ROUTE DES HERONS 100;;1003 LAUSANNE;756;F;+41 44 000 37 76;;LEHRERIN;01.04.04;31.12.25;
10000140;GERBER ALINA;;10.09.93;2;2;SCHULSTEIG 28;;6052 HERGISWIL NW;756;D;+41 44 000 54 29;alina16@post.example;VERWALTUNGSANGESTELL;01.11.11;01.02.16;
10000141;GERBER TOBIAS;;05.12.99;1;2;SCHULSTEIG 28;;6052 HERGISWIL NW;756;D;+41 44 000 22 28;;PFLEGEFACHFRAU;01.08.25;31.12.25;
10000142;MEYER ANNA;;01.01.00;2;5;HASENMATTE 162;;4132 MUTTENZ;756;D;;;MAURERIN;01.04.14;01.03.22;
10000143;MEYER RAPHAEL;;18.07.79;1;5;HASENMATTE 162;;4132 MUTTENZ;756;D;+41 44 000 29 54;raphael.meyer79@web.example;STUDENTIN;01.12.01;01.02.19;
10000144;MEYER ELENA;;09.04.04;2;1;HASENMATTE 162;;4132 MUTTENZ;756;D;+41 44 000 66 07;emeyer@post.example;STUDENTIN;;01.12.17;
10000145;SUTTER BEATRICE;;10.02.61;2;2;HERBSTMATTE 67;;8050 ZUERICH;756;D;+41 44 000 40 16;;LEHRERIN;01.11.88;01.04.18;
10000146;SUTTER LIVIA;;26.10.91;2;1;HERBSTMATTE 67;;8050 ZUERICX;756;D;+41 44 000 28 60;;INGENIEURIN;01.02.11;01.01.15;
10000147;SUTTER EMMA;;21.05.88;2;1;HERBSTMATTE 67;;8050 ZUERICH;756;D;+41 44 000 90 71;sutter.emma@mail.example;CHAUFFEUSE;01.10.18;31.12.25;
10000148;BRINKMANN LISA;;05.03.93;2;4;SCHWALBENSTEIG 11;;06120 HALLE (SAALE);276;D;+49 152 28817 95;;SELBSTAENDIGE UNTERN;01.06.14;01.10.19;
10000149;ROTH BRUNO;;09.04.70;1;5;FRUEHLINGSMATTE 77;;2500 BIEL/BIENNE;756;D;+41 44 000 88 09;bruno88@bluemail.example;TREUHAENDERIN;01.07.14;01.05.17;
10000150;ROTH FABIENNE;;04.02.69;2;5;FRUEHLINGSMATTE 77;;2500 BIEL/BIENNE;756;D;+41 44 000 39 59;;STUDENTIN;;31.12.25;
10000151;SUTER T.;;10.07.95;2;2;BRUNNENRING 88;;8708 MAENNEDORF;756;D;+41 44 000 12 70;;CHAUFFEUSE;01.10.15;01.07.16;
10000152;SUTER AMIR;;01.01.00;1;2;BRUNNENRING 88;;8708 MAENNEDORF;756;D;+41 44 000 82 84;amir.suter96@mail.example;GRAFIKERIN;;01.07.19;
