VERTRNR;PARTNR;SPARTE;TARIF;BEGDAT;ENDDAT;PRAEM;ZAHLWS;STATUS;STORNOGRD;STORNODAT;LANDKZ;VERMNR;VERMNR_ALT;SUMME;ZUSATZ1;ZUSATZ2;AENDDAT;BEMERK
40.000.060-6;20000248;10;PFM-M;01.11.19;;9960;1;S;ZZ;15.05.25;276;56243;61182;1000000000;;AUS;15.05.25;
40.000.061-4;20000449;10;PFM-M;01.08.14;;7756;1;S;01;01.05.19;276;89761;54269;1000000000;;AUS;01.05.19;
40.000.062-2;20000145;10;PFM-M;01.11.16;;9303;1;S;01;01.06.20;756;98920;42571;500000000;;;01.06.20;SANIERUNG UW
40.000.063-8;20000391;10;PFM-M;01.03.15;;16522;1;S;ZZ;15.05.25;756;29923;10517;500000000;;GEB;15.05.25;
40.000.064-3;20000291;10;PFM-M;01.04.17;;6740;4;S;02;01.08.20;276;83646;29364;1000000000;;KIN;01.08.20;
40.000.065-9;20000282;10;PFM-M;01.07.14;;15635;1;S;01;01.03.19;756;23684;93309;500000000;;;01.03.19;
40.000.066-7;20000409;10;PFM-M;01.07.15;;14851;1;S;01;01.05.19;276;22358;66572;1000000000;;GEB/AUS/SC;01.05.19;
40.000.067-5;20000151;10;PFM-M;01.01.17;;13760;1;S;05;02.07.24;756;91438;73494;500000000;;;02.07.24;
40.000.068-0;20000459;10;PFM-M;01.04.18;;11960;1;S;01;01.06.19;756;98920;42571;1000000000;;;01.06.19;
40.000.069-1;20000067;10;PFM-K;01.05.01;;4563;1;S;01;01.12.04;276;22358;66572;500000000;;;01.12.04;
40.000.070-9;20000053;10;PFM-M;01.06.15;;11372;1;S;01;01.02.24;756;98920;42571;500000000;;SCH;01.02.24;
40.000.071-7;20000416;10;PFM-K;01.11.11;;8689;2;S;ZZ;15.05.25;756;18636;66177;500000000;;;15.05.25;
40.000.072-5;20000301;10;PFM-M;01.01.14;;14852;2;S;ZZ;15.05.25;756;41148;22405;500000000;;;15.05.25;
40.000.073-0;20000060;10;PFM-M;01.03.20;;14070;2;S;ZZ;15.05.25;756;23684;93309;500000000;HUND;;15.05.25;
40.000.074-1;20000022;10;PFM-M;01.04.20;;11387;2;S;ZZ;15.05.25;756;86847;14447;1000000000;;;15.05.25;
40.000.075-6;20000052;10;PFM-M;01.09.20;;8400;12;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.076-4;20000177;10;PFM-M;01.07.15;;8362;1;S;01;01.01.21;276;98657;95795;2000000000;;AUS/KIN;01.01.21;
40.000.077-2;20000076;10;PFM-M;01.05.14;;21756;1;S;ZZ;15.05.25;756;86847;14447;1000000000;;;15.05.25;DECKUNG RUHT
40.000.078-8;20000507;10;PFM-M;01.11.14;;9707;4;S;ZZ;15.05.25;756;29923;10517;500000000;;;15.05.25;
40.000.079-3;20000312;10;PFM-M;01.04.16;;6584;1;S;ZZ;15.05.25;276;93662;80193;1000000000;;;15.05.25;
40.000.080-1;20000197;10;PFM-M;01.05.16;;12584;1;S;ZZ;15.05.25;756;98920;42571;1000000000;;SCH;15.05.25;
40.000.081-6;20000515;10;PFM-K;01.03.06;;8400;1;S;01;01.09.11;756;86847;14447;500000000;;;01.09.11;
40.000.082-4;20000445;10;PFM-K;01.02.12;;5580;2;S;01;01.10.14;276;93662;80193;500000000;;;01.10.14;
40.000.083-2;20000451;10;PFM-M;01.02.19;;11030;2;S;ZZ;15.05.25;276;16071;54431;2000000000;hund;;15.05.25;
40.000.084-8;20000254;10;PFM-M;01.05.20;;12585;1;S;02;01.11.22;276;76433;64344;500000000;;GEB;01.11.22;
40.000.085-3;20000229;10;PFM-K;01.01.02;;6620;1;S;01;01.10.05;276;93662;80193;500000000;;;01.10.05;KUENDIGUNG ERHALTEN, FRIST PRUEFEN
40.000.086-9;20000146;10;PFM-M;01.03.17;;13137;1;S;01;01.07.23;756;26180;86233;500000000;;;01.07.23;
40.000.087-7;20000330;10;PFM-M;01.07.15;;9382;1;S;01;01.06.24;756;41309;12814;500000000;;BAU;01.06.24;
40.000.088-5;20000083;10;PFM-K;01.01.09;;7441;4;S;01;01.02.17;276;69141;22978;500000000;;;01.02.17;
40.000.089-0;20000508;10;PFM-M;01.02.14;;22113;2;S;01;01.02.17;756;70360;55115;500000000;;GEB;01.02.17;
40.000.090-4;20000471;10;PFM-M;01.06.18;;24759;2;S;01;01.02.22;756;46014;68292;500000000;;GEB;01.02.22;
40.000.091-2;20000440;10;PFM-M;01.04.18;;9246;1;S;01;01.08.21;276;68857;57156;1000000000;;KIN;01.08.21;
40.000.092-8;20000038;10;PFM-M;01.03.14;;14279;2;S;01;01.09.19;276;22358;66572;1000000000;;GEB;01.09.19;
40.000.093-3;20000367;10;PFM-M;01.09.20;;7075;4;S;ZZ;15.05.25;276;55467;81339;2000000000;;;15.05.25;
40.000.094-9;20000526;10;PFM-M;01.11.19;;8770;1;S;ZZ;15.05.25;276;22358;66572;2000000000;;AUS/DRO;15.05.25;
40.000.095-7;20000363;10;PFM-M;01.11.18;;8082;1;S;01;01.07.20;276;14433;;1000000000;;BAU;01.07.20;
40.000.096-5;20000353;10;PFM-K;01.10.09;;12873;1;S;01;01.04.11;756;29923;10517;500000000;;;01.04.11;
40.000.097-0;20000450;10;PFM-M;01.08.16;;5464;1;S;01;01.11.17;276;22358;66572;500000000;;;01.11.17;
40.000.098-1;20000037;10;PFM-K;01.11.04;;5355;4;S;01;01.07.06;276;55467;81339;500000000;;;01.07.06;
40.000.099-6;20000554;10;PFM-K;01.12.08;;5355;1;S;01;01.01.13;276;56739;33967;500000000;;;01.01.13;
40.000.100-7;20000163;10;PFM-M;01.08.20;;16453;1;S;ZZ;15.05.25;756;86847;14447;1000000000;;SCH;15.05.25;
40.000.101-5;20000097;10;PFM-M;01.03.18;;14852;4;S;ZZ;15.05.25;756;98920;42571;500000000;;;15.05.25;MAHNUNG 2 VERSANDT
40.000.102-0;20000466;10;PFM-M;01.04.16;;15908;1;S;ZZ;15.05.25;756;18636;66177;500000000;;SCH;15.05.25;
40.000.103-1;20000057;10;PFM-K;01.03.09;;7673;1;S;05;01.07.12;276;92109;32569;300000000;;;01.07.12;
40.000.104-6;20000370;10;PFM-M;01.11.19;;17157;1;S;01;01.02.21;756;41309;12814;500000000;;;01.02.21;
40.000.105-4;20000023;10;PFM-M;01.11.15;;14774;2;S;01;01.07.17;756;23684;93309;500000000;;;01.07.17;
40.000.106-2;20000295;10;PFM-M;01.10.13;;16517;4;S;01;01.07.14;756;29923;10517;500000000;;SCH;01.07.14;
40.000.107-8;20000448;10;PFM-K;01.07.04;;8988;1;S;01;01.10.20;756;86847;14447;500000000;;;01.10.20;
40.000.108-3;20000213;10;PFM-M;01.04.18;;9386;1;S;01;01.12.22;276;91596;54738;1000000000;;;01.12.22;ADRESSAENDERUNG 01/23
40.000.109-9;20000019;10;PFM-M;01.07.19;;17981;4;S;ZZ;15.05.25;756;70360;55115;1000000000;;;15.05.25;
40.000.110-6;20000348;10;PFM-M;01.01.19;;14774;1;S;01;01.05.23;756;48269;69787;500000000;;;01.05.23;
40.000.111-4;20000389;10;PFM-M;01.01.14;;11394;1;S;01;01.05.21;276;91596;54738;1000000000;;GEB;01.05.21;
40.000.112-2;20000424;10;PFM-M;01.11.17;;9915;1;S;ZZ;15.05.25;756;86847;14447;500000000;;SCH;15.05.25;
40.000.113-8;20000569;10;PFM-M;01.05.15;;10421;2;S;ZZ;15.05.25;756;18636;66177;500000000;;;15.05.25;
40.000.114-3;20000417;10;PFM-M;01.04.14;;24175;1;S;01;01.05.17;276;96461;97811;2000000000;;TIE;01.05.17;
40.000.115-9;20000068;10;PFM-M;01.10.20;;19777;2;S;ZZ;15.05.25;756;70360;55115;1000000000;;;15.05.25;
40.000.116-7;20000095;10;PFM-M;01.07.16;;9901;2;S;ZZ;15.05.25;756;41148;22405;500000000;;;15.05.25;MAHNUNG 2 VERSANDT
40.000.117-5;20000432;10;PFM-M;01.01.13;;19871;2;S;ZZ;15.05.25;756;57109;52547;500000000;;GEB;15.05.25;
40.000.118-0;20000463;10;PFM-M;01.04.17;;8752;1;S;05;01.02.18;756;29923;10517;500000000;;;01.02.18;
40.000.119-1;20000205;10;PFM-M;01.10.19;;7230;1;S;01;01.07.22;276;26924;53449;500000000;;;01.07.22;
40.000.120-9;20000011;10;PFM-M;01.06.20;;18879;2;S;ZZ;15.05.25;756;29923;10517;500000000;;GEB;15.05.25;ADRESSAENDERUNG 01/23
40.000.121-7;20000298;10;PFM-M;01.11.15;;17650;2;S;01;01.08.19;756;91438;73494;1000000000;;;01.08.19;
40.000.122-5;20000499;10;PFM-K;01.12.09;;14026;1;S;01;01.02.16;756;70360;55115;500000000;;;01.02.16;
40.000.123-0;20000573;10;PFM-M;01.04.20;;6337;1;S;01;01.06.24;276;63144;15458;2000000000;;KIN;01.06.24;
40.000.124-1;20000155;10;PFM-K;01.10.06;;10007;1;S;01;01.04.22;756;86847;14447;500000000;;;01.04.22;
40.000.125-6;20000387;10;PFM-M;01.01.15;;13655;1;S;ZZ;15.05.25;756;70360;55115;500000000;;;15.05.25;
40.000.126-4;20000270;10;PFM-M;01.03.15;;9849;1;S;01;01.12.17;756;70360;55115;500000000;;;01.12.17;
40.000.127-2;20000512;10;PFM-M;01.08.15;;13828;1;S;01;01.02.22;756;86847;14447;500000000;;;01.02.22;KUENDIGUNG ERHALTEN, FRIST PRUEFEN
40.000.128-8;20000165;10;PFM-M;01.08.20;;16910;2;S;01;01.09.21;756;29923;10517;1000000000;;;01.09.21;
40.000.129-3;20000271;10;PFM-M;01.03.14;;18743;1;S;01;01.06.19;756;29923;10517;1000000000;;;01.06.19;
40.000.130-1;20000031;10;PFM-M;01.12.15;;23672;1;S;02;01.02.19;756;41309;12814;500000000;;GEB;01.02.19;
40.000.131-6;20000518;10;PFM-M;01.10.16;;8629;1;S;01;01.03.20;276;76433;64344;500000000;;;01.03.20;ADRESSAENDERUNG 01/23
40.000.132-4;20000106;10;PFM-M;01.08.16;;10680;1;S;05;01.11.22;276;68857;57156;1000000000;;KIN;01.11.22;
40.000.133-2;20000433;10;PFM-M;01.06.15;;17157;1;S;01;01.11.21;756;86847;14447;500000000;hund;;01.11.21;
40.000.134-8;20000346;10;PFM-M;01.09.16;;9881;1;S;01;01.10.21;756;29923;10517;500000000;;;01.10.21;ADRESSAENDERUNG 01/23
40.000.135-3;20000284;10;PFM-M;01.03.14;;15635;1;S;ZZ;15.05.25;756;48269;69787;500000000;;;15.05.25;
40.000.136-9;20000070;10;PFM-M;01.07.13;;21520;1;S;ZZ;15.05.25;756;41148;22405;500000000;;GEB;15.05.25;
40.000.137-7;20000054;10;PFM-M;01.03.15;;8938;1;S;01;01.10.17;276;56739;33967;2000000000;;;01.10.17;
40.000.138-5;20000457;10;PFM-M;01.07.16;;18060;1;S;01;01.11.24;756;98920;42571;500000000;;;01.11.24;
40.000.139-0;20000527;10;PFM-M;01.11.19;;9538;1;S;ZZ;15.05.25;276;16071;54431;1000000000;;AUS/KIN;15.05.25;KUENDIGUNG ERHALTEN, FRIST PRUEFEN
40.000.140-4;20000521;10;PFM-K;01.03.08;;11496;1;S;01;01.02.11;756;10517;;500000000;HUND;;01.02.11;
40.000.141-2;20000105;10;PFM-M;01.10.17;;5738;1;S;ZZ;15.05.25;276;22358;66572;1000000000;;;15.05.25;
40.000.142-8;20000401;10;PFM-M;01.02.14;;9901;2;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.143-3;20000220;10;PFM-M;01.12.14;;33931;4;S;01;01.01.19;756;29923;10517;1000000000;;TIE;01.01.19;VN TEL. ANGEFR., RR BIS 15.3.
40.000.144-9;20000422;10;PFM-M;01.02.15;;19378;1;S;ZZ;15.05.25;756;57109;52547;500000000;;GEB;15.05.25;
40.000.145-7;20000192;10;PFM-M;01.08.14;;14860;1;S;01;01.02.21;276;56243;61182;1000000000;HUND LABRAD;;01.02.21;
40.000.146-5;20000550;10;PFM-M;01.09.13;;15283;4;S;01;01.05.24;756;70360;55115;1000000000;;;01.05.24;
40.000.147-0;20000469;10;PFM-K;01.03.09;;12983;1;S;01;01.07.10;756;48269;69787;500000000;;;01.07.10;
40.000.148-1;20000445;10;PFM-M;01.07.17;;7466;1;S;ZZ;15.05.25;276;16071;54431;500000000;;BAU/SCH;15.05.25;
40.000.149-6;20000504;10;PFM-M;01.06.16;;19667;1;S;01;01.07.23;756;23684;93309;500000000;;GEB;01.07.23;
40.000.150-8;20000514;10;PFM-M;01.06.15;;9881;2;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.151-3;20000529;10;PFM-K;01.08.08;;8792;1;S;01;01.06.20;276;87406;65215;500000000;;;01.06.20;
40.000.152-9;20000572;10;PFM-M;01.08.13;;23536;4;S;01;01.03.14;756;86847;14447;500000000;;GEB;01.03.14;
40.000.153-7;20000322;10;PFM-M;01.05.17;;6131;1;S;05;01.08.18;276;56243;61182;500000000;;KIN;01.08.18;
40.000.154-5;20000323;10;PFM-M;01.01.15;;17083;1;S;ZZ;15.05.25;756;18636;66177;1000000000;;;15.05.25;DECKUNG RUHT
40.000.155-0;20000208;10;PFM-M;01.06.17;;14977;1;S;01;01.09.22;276;80193;;2000000000;HUND;AUS;01.09.22;MAHNUNG 2 VERSANDT
40.000.156-1;20000524;10;PFM-M;01.01.15;;16889;4;S;ZZ;15.05.25;756;18636;66177;500000000;;;15.05.25;
40.000.157-6;20000112;10;PFM-M;01.10.20;;10205;1;S;05;01.04.23;276;63144;15458;2000000000;;KIN;01.04.23;
40.000.158-4;20000241;10;PFM-M;01.01.20;;6378;1;S;ZZ;15.05.25;276;16071;54431;1000000000;;;15.05.25;
40.000.159-2;20000129;10;PFM-M;01.03.17;;7396;1;S;ZZ;15.05.25;276;98657;95795;1000000000;;AUS;15.05.25;
40.000.160-0;20000464;10;PFM-M;01.12.17;;12038;1;S;01;01.12.19;276;93662;80193;2000000000;;OEL/KIN;01.12.19;
40.000.161-1;20000432;10;PFM-K;01.06.02;;10899;1;S;01;01.11.08;756;29923;10517;500000000;;;01.11.08;
40.000.162-6;20000226;10;PFM-M;01.04.15;;5355;2;S;05;01.09.17;276;22358;66572;1000000000;;;01.09.17;
40.000.163-4;20000379;10;PFM-M;01.02.18;;15491;4;S;ZZ;15.05.25;276;63144;15458;2000000000;;GEB;15.05.25;
40.000.164-2;20000088;10;PFM-K;01.12.05;;8792;1;S;01;01.11.10;276;16616;28446;500000000;;;01.11.10;
40.000.165-8;20000362;10;PFM-M;01.03.19;;10759;2;S;01;01.11.20;276;56243;61182;1000000000;;GEB;01.11.20;
40.000.166-3;20000075;10;PFM-M;01.10.19;;11986;4;S;01;01.03.21;756;86847;14447;1000000000;;;01.03.21;
40.000.167-9;20000485;10;PFM-M;01.05.16;;17805;1;S;05;01.02.21;276;87406;65215;2000000000;HUND;AUS;01.02.21;
40.000.168-7;20000227;10;PFM-M;01.09.20;;15241;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;BAUSTEIN HUND NACHGEMELDET
40.000.169-5;20000042;10;PFM-M;01.12.18;;8506;1;S;ZZ;15.05.25;276;56243;61182;500000000;;KIN;15.05.25;
40.000.170-5;20000189;10;PFM-M;01.12.20;;11361;1;S;01;01.12.21;756;86847;14447;500000000;;;01.12.21;
40.000.171-0;20000029;10;PFM-M;01.02.16;;8688;1;S;ZZ;15.05.25;276;87406;65215;1000000000;;;15.05.25;
40.000.172-1;20000076;10;PFM-M;01.04.18;;22575;1;S;01;01.10.22;756;98920;42571;500000000;;BAU/GEB;01.10.22;
40.000.173-6;20000516;10;PFM-M;01.06.20;;14112;1;S;ZZ;15.05.25;756;14447;;500000000;;;15.05.25;
40.000.174-4;20000544;10;PFM-M;01.07.19;;13367;1;S;01;01.08.20;756;86847;14447;500000000;;;01.08.20;
40.000.175-2;20000048;10;PFM-M;01.01.19;;9343;1;S;01;01.01.20;276;65010;82714;500000000;;KIN;01.01.20;
40.000.176-8;20000078;10;PFM-M;01.08.20;;10146;1;S;01;01.02.22;276;16071;54431;1000000000;;KIN;01.02.22;
40.000.177-3;20000304;10;PFM-M;01.03.15;;9802;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.178-9;20000167;10;PFM-M;01.01.14;;23735;1;S;ZZ;15.05.25;756;70360;55115;1000000000;;BAU;15.05.25;
40.000.179-7;20000035;10;PFM-K;01.10.07;;5354;1;S;01;01.08.10;276;98657;95795;500000000;;;01.08.10;
40.000.180-2;20000246;10;PFM-K;01.04.11;;13724;1;S;ZZ;15.05.25;756;29923;10517;500000000;;;15.05.25;
40.000.181-8;20000015;10;PFM-M;01.01.15;;5355;2;S;01;01.09.24;276;16071;54431;1000000000;;;01.09.24;
40.000.182-3;20000438;10;PFM-M;01.09.16;;10868;1;S;01;01.01.22;756;86847;14447;500000000;;;01.01.22;
40.000.183-9;20000340;10;PFM-M;01.06.15;;9901;1;S;ZZ;15.05.25;756;48269;69787;500000000;;;15.05.25;
40.000.184-7;20000085;10;PFM-M;01.05.20;;14705;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.185-5;20000198;10;PFM-K;01.10.02;;13004;1;S;01;01.08.05;756;86847;14447;500000000;;;01.08.05;
40.000.186-0;20000492;10;PFM-K;01.04.06;;4490;2;S;01;01.08.12;276;69141;22978;500000000;;;01.08.12;
40.000.187-1;20000211;10;PFM-M;01.12.18;;17083;1;S;01;01.09.23;756;41148;22405;1000000000;;;01.09.23;
40.000.188-6;20000305;10;PFM-M;01.11.19;;16889;1;S;ZZ;15.05.25;756;91438;73494;500000000;;;15.05.25;
40.000.189-4;20000558;10;PFM-M;01.02.15;;27980;1;S;01;01.07.24;276;98657;95795;1000000000;;TIE/OEL;01.07.24;
40.000.190-3;20000404;10;PFM-M;01.09.16;;28376;1;S;ZZ;15.05.25;756;48269;69787;1000000000;;GEB;15.05.25;
40.000.191-9;20000187;10;PFM-M;01.10.16;;19383;4;S;01;01.10.21;756;91438;73494;1000000000;;;01.10.21;
40.000.192-7;20000239;10;PFM-M;01.02.20;;5404;1;S;05;01.10.23;276;16071;54431;1000000000;;;01.10.23;
40.000.193-5;20000156;10;PFM-M;01.03.14;;22654;1;S;01;01.08.23;756;91438;73494;1000000000;;;01.08.23;
40.000.194-0;20000064;10;PFM-M;01.02.18;;8125;4;S;01;01.07.19;276;29784;95640;500000000;;;01.07.19;
40.000.195-1;20000460;10;PFM-M;01.10.20;;11497;1;S;01;01.03.21;276;83646;29364;1000000000;;GEB/AUS;01.03.21;
40.000.196-6;20000149;10;PFM-K;01.01.11;;7261;1;S;02;01.01.12;276;68857;57156;500000000;;;01.01.12;
40.000.197-4;20000141;10;PFM-M;01.12.20;;12535;4;S;ZZ;15.05.25;276;68857;57156;500000000;;GEB/AUS;15.05.25;
40.000.198-2;20000016;10;PFM-M;01.10.19;;18879;1;S;ZZ;15.05.25;756;86847;14447;1000000000;HUND MISCHL;;15.05.25;
40.000.199-8;20000257;10;PFM-M;01.05.13;;18790;1;S;01;01.03.17;756;46014;68292;1000000000;;;01.03.17;
40.000.200-9;20000555;10;PFM-M;01.06.20;;17042;1;S;02;01.06.23;756;26180;86233;1000000000;;;01.06.23;
