PARTNR;NAME1;NAME2;GEBDAT;GESCHL;ZIVST;ADR1;ADR2;ADR3;LANDKZ;SPRACHE;TEL;EMAIL;BERUF;KDSEIT;AENDDAT;BEMERK
20000039;HOFFMANN CHARLOTTE;;12.04.84;2;2;BIRKENDAMM 103;;50667 KOELN;276;D;;;PFLEGEFACHFRAU;;31.12.25;
20000040;HOFFMANN HANNA;;22.04.07;2;1;BIRKENDAMM 103;;50667 KOELN;276;D;+49 152 28817 36;;AERZTIN;;31.12.25;
20000041;HOFMANN LEON;;15.09.07;1;1;BIRKENDAMM;103;50667 KOELN;276;D;+49 152 28817 64;leon.hofmann07@bluemail.example;VERKAEUFERIN;;01.06.20;
20000042;KOLBE DIRK;;06.11.96;1;2;KALKKAMP 160;;67346 SPEYER;276;D;+49 152 28817 13;;SCHREINERIN;01.12.18;01.10.18;
20000043;BERGER LUIS;;28.07.91;1;2;KALKKAMP 160;;67346 SPEYER;276;D;+49 152 28817 91;;LEHRERIN;01.08.13;31.12.25;
20000044;SCHNEIDER LINA;;11.08.01;2;2;HUEGELHOF 44;;59494 SOEST;276;D;+49 152 28817 62;;STUDENTIN;01.04.20;31.12.25;
20000045;SCHNEIDER FINN;;18.10.01;1;2;HUEGELHOF 44;;59494 SOEST;276;D;+49 152 28817 11;finn.schneider01@post.example;STUDENTIN;01.11.19;01.08.18;
20000046;SCHNEIDER HANNA;;11.04.07;2;1;HUEGELHOF 44;;59494 SOEST;276;D;+49 152 28817 45;;FORSTWARTIN;01.07.25;01.01.21;
20000047;SCHNEIDER CHARLOTTE;;13.08.07;2;1;HUEGELHOF 44;;59494 SOEST;276;D;;charlotte.schneider07@post.example;STUDENTIN;01.10.25;01.05.19;
20000048;SCHAEFER SARAH;;01.01.00;2;5;BERGRING;57;24103 KIEL;276;D;+49 152 28817 71;;VERKAEUFERIN;01.09.13;31.12.25;
20000049;SCHAEFER JONAS;;25.06.90;1;5;BERGRING 57;;24103 KIEL;276;D;+49 152 28817 77;jonas14@bluemail.example;MECHANIKERIN;;31.12.25;
20000050;SCHAEFER EMIL;;06.04.07;1;1;BERGRING 57;;24103 KIEL;276;D;+49 152 28817 57;;STUDENTIN;01.08.25;31.12.25;
20000051;MEIER IRENE;;21.05.62;2;2;NELKENGASSE 54;;8001 ZUERICH;756;D;+41 44 000 02 28;imeier@web.example;INGENIEURIN;01.06.01;01.01.19;
20000052;CRETTAZ CEDRIC;;17.09.83;1;3;AVENUE DES PAPILLONS 50;;1207 GENEVE;756;F;+41 44 000 01 12;cedric43@web.example;INGENIEURIN;01.09.20;31.12.25;
20000053;MEYER CYRILL;;18.02.94;1;3;STERNENPLATZ 27;;8400 WINTERTHUR;756;D;+41 44 000 08 97;cmeyer@post.example;PFLEGEFACHFRAU;01.06.15;01.12.21;
20000054;GARCIA JOSE;;01.01.00;1;2;SATTLERSTRASSE 79;;08280 AUE-BAD SCHLEMA;276;D;+49 152 28817 03;jgarcia@post.example;KAUFMAENNISCHE ANGES;01.10.99;01.09.22;
20000055;GARCIA TANJA;;05.02.75;2;2;SATTLERSTRASSE 79;;08280 AUE-BAD SCHLEMA;276;D;;;SCHREINERIN;01.07.13;01.07.24;
20000056;GARCIA LEON;;08.07.03;1;1;SATTLERSTRASSE 79;;08280 AUE-BAD SCHLEMA;276;D;+49 152 28817 70;;STUDENTIN;01.07.22;01.11.18;
20000057;BECK STEFAN;;08.06.81;1;2;PAPPELSTRASSE 121;;41460 NEUSX;276;D;;sbeck@post.example;KOECHIN;01.03.09;01.02.21;
20000058;SCHREIBER CORNELIA;;23.12.75;2;2;PAPPELSTRASSE 121;;41460 NEUSS;276;D;+49 152 28817 25;;SCHREINERIN;01.05.04;31.12.25;
20000059;OTTO NOAH;;;1;1;PAPPELSTRASSE 121;;41460 NEUSS;276;D;+49 152 28817 50;notto@post.example;STUDENTIN;;01.06.20;
20000060;VALLOTTON ANNE;;21.09.89;2;5;CHEMIN DES MEUNIERS 70;;1700 FRIBOURG;756;F;+41 44 000 03 25;;VERKAEUFERIN;01.08.15;31.12.25;
20000061;VALLOTTON MATHIEU;;21.10.95;1;5;CHEMIN DES MEUNIERS 70;;1700 FRIBOURG;756;F;+41 44 000 37 83;;POLIZISTIN;;01.09.15;
20000062;MONNIER MANON;;17.10.00;2;2;PROMENADE DES NARCISSES 8;;1870 MONTHEY;756;F;+41 44 000 40 80;manon23@mail.example;GASTWIRTIN;01.10.20;01.03.23;
20000063;BLANC NICOLAS;;17.05.94;1;2;PROMENADE DES NARCISSES 8;;1870 MONTHEY;756;F;+41 44 000 56 82;;PFLEGEFACHFRAU;01.12.14;31.12.25;
20000064;BAUMANN JUERGEN;;28.02.89;1;2;SCHMETTERLINGSDAMM 157;;06886 LUTHERSTADT WITTENBERG;276;D;;;BERATERIN;01.02.18;01.02.16;
20000065;WIECZOREK LAURA;;04.03.84;2;2;SCHMETTERLINGSDAMM 157;;06886 LUTHERSTADT WITTENBERG;276;D;+49 152 28817 81;wieczorek.laura@mail.example;LEHRERIN;;31.12.25;
20000066;WOLFF TOBIAS;;17.06.07;1;1;SCHMETTERLINGSDAMM 157;;06886 LUTHERSTADT WITTENBERG;276;D;+49 152 28817 27;twolff@web.example;ELEKTROINSTALLATEURI;;01.08.17;
20000067;FRANK DIRK;;18.10.76;1;3;KALKKAMP;130;58452 WITTEN;276;D;+49 152 28817 13;dirk.frank@web.example;SCHREINERIN;01.05.01;31.12.25;
20000068;REBER LAURA;;24.03.87;2;2;FICHTENHOF 79;;5507 MELLINGEN;756;D;+41 44 000 80 22;;JURISTIN;01.05.05;01.06.24;
20000069;REBER FELIX;;14.02.92;1;2;FICHTENHOF 79;;5507 MELLINGEN;756;D;+41 44 000 05 42;;MALERIN;01.11.10;01.12.20;
20000070;ZIMMERMANN DAVID;;06.03.90;1;2;WESTACKER 52;;3250 LYSS;756;D;+41 44 000 78 97;dzimmermann@web.example;HAUSFRAU;01.07.13;01.01.19;
20000071;HESS ELENA;;02.04.01;2;2;MUEHLESTEIG 28;;8001 ZUERICH;756;D;;;STUDENTIN;01.08.20;01.05.24;DUBLETTE? S. PVS-L
20000072;HESS PATRICK;;03.06.95;1;2;MUEHLESTEIG 28;;8001 ZUERICH;756;D;+41 44 000 57 36;;CHAUFFEUSE;;01.12.21;
20000073;SAUER SOPHIA;;19.12.92;2;5;SCHMIEDEGASSE 38;;56130 BAD EMS;276;D;+49 152 28817 08;sauer.sophia@post.example;VERKAEUFERIN;01.01.14;31.12.25;RUECKRUF ERBETEN
20000074;SAUER JONAS;;10.03.90;1;5;SCHMIEDEGASSE 38;;56130 BAD EMS;276;D;;;RENTNERIN;01.09.12;31.12.25;
20000075;MEIER MATTHIAS;;23.05.69;1;2;UFERPLATZ 140A;;3053 MUENCHENBUCHSEE;756;D;;;HAUSFRAU;01.11.88;01.01.22;
20000076;MUELLER SARA;;17.06.90;2;2;APFELSTRASSE 85B;;3627 HEIMBERG;756;D;+41 44 000 39 15;;LEHRERIN;01.12.11;01.10.24;
20000077;PORTMANN CYRILL;;01.01.00;1;2;APFELSTRASSE 85B;;3627 HEIMBERG;756;D;+41 44 000 58 76;;RENTNERIN;;01.12.19;
20000078;DOGAN LEILA;;16.02.97;2;2;STEGRING 175;;66111 SAARBRUECKEN;276;D;+49 152 28817 36;;LOGISTIKERIN;01.08.20;01.05.23;
20000079;GRAF JAN;;04.03.95;1;2;STEGRING 175;;66111 SAARBRUECKEN;276;D;;jgraf@web.example;VERKAEUFERIN;01.06.25;31.12.25;
20000080;DEMIR LUKA;;05.01.07;1;1;STEGRING;175;66111 SAARBRUECKEN;276;D;+49 152 28817 30;ldemir@post.example;STUDENTIN;01.05.25;01.06.17;
20000081;DOGAN DIRK;;16.10.07;1;1;STEGRING 175;;66111 SAARBRUECKEN;276;D;+49 152 28817 92;;SCHREINERIN;01.12.25;01.06.19;
20000082;SUTER WERNER;;04.05.59;1;2;ABENDSTEIG 77;;3600 THUN;756;D;+41 44 000 10 60;;RENTNERIN;01.12.06;01.08.24;
20000083;RAUCH KATHARINA;;15.01.82;2;2;SOMMERALLEE 15;;21073 HAMBURG;276;D;;;KAUFMAENNISCHE ANGES;01.06.07;31.12.25;
20000084;RAUCH MIGUEL;;;1;2;SOMMERALLEE 15;;21073 HAMBURG;276;D;+49 152 28817 86;;RENTNERIN;01.03.06;01.07.18;
20000085;NGUYEN MIGUEL;;21.12.66;1;2;FUCHSACKER 109;;3053 MUENCHENBUCHSEE;756;D;+41 44 000 73 83;;STUDENTIN;01.05.20;01.10.18;VN TEL. ANGEFR., RR BIS 15.3.
20000086;LEHMANN KARIN;;12.09.63;2;2;FUCHSACKER 109;;3053 MUENCHENBUCHSEE;756;D;+41 44 000 12 70;;BERATERIN;01.01.99;31.12.25;DUBLETTE? S. PVS-L
20000087;SPREE PLANUNG GMBH;GMBH;;0;0;WINTERSTEIG 62;;41061 MOENCHENGLADBACH;276;D;+49 30 23125 560;info@spree-planung.example;;01.07.05;01.07.24;
20000088;LANG DENNIS;;28.04.80;1;2;KASTANIENRING 81;;24103 KIEL;276;D;+49 152 28817 24;;HAUSFRAU;01.12.05;01.05.19;
20000089;LANG MIA;;02.04.83;2;2;KASTANIENRING 81;;24103 KIEL;276;D;+49 152 28817 20;;GRAFIKERIN;01.08.11;31.12.25;
20000090;LANG JULIA;;16.03.04;2;1;KASTANIENRING 81;;24103 KIEL;276;D;;;INGENIEURIN;01.05.23;01.07.16;
20000091;KLEIN EMILIA;;10.01.07;2;1;KASTANIENRING 81;;24103 KIEL;276;D;;eklein@post.example;SANITAERINSTALLATEUR;;01.11.24;
20000092;LANG CHARLOTTE;;14.11.04;2;1;KASTANIENRING;81;24103 KIEL;276;D;+49 152 28817 59;;KOECHIN;01.01.25;01.05.24;
20000093;KLEIN MARKUS;;11.12.87;1;2;ZUNFTKAMP 170B;;49477 IBBENBUEREN;276;D;+49 152 28817 64;;INFORMATIKERIN;01.11.16;01.06.16;
20000094;KLEIN LISA;;23.07.88;2;2;ZUNFTKAMP 170B;;49477 IBBENBUEREN;276;D;;;CHAUFFEUSE;;01.09.21;
20000095;SCHMID FABIENNE;;06.07.83;2;2;APFELSTRASSE 154;;2540 GRENCHEN;756;D;+41 44 000 75 47;fabienne.schmid83@mail.example;RENTNERIN;01.07.16;31.12.25;
20000096;DIALLO MARIA JOSE;;21.03.79;2;2;ALLEE DES ECOLES 142;;2013 COLOMBIER NE;756;F;+41 44 000 85 40;maria-jose.diallo@mail.example;AERZTIN;01.12.09;01.11.24;
20000097;NIEDERBERGER KURT;;27.08.54;1;5;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 49 03;;RENTNERIN;01.04.13;01.02.20;
20000098;GEORGIOU FATMA;;07.04.57;2;5;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 08 47;;RENTNERIN;01.10.07;01.01.16;
20000099;ZBINDEN CLAUDIA;;16.01.88;2;1;ENZIANPLATZ 125;;7320 SARGANS;756;D;+41 44 000 26 46;;VERKAEUFERIN;01.09.18;01.05.24;
20000100;WEBER MARCEL;;27.12.81;1;1;ENZIANPLATZ 125;;7320 SARGANS;756;D;;weber.marcel@bluemail.example;PFLEGEFACHFRAU;;31.12.25;DUBLETTE? S. PVS-L
20000101;ARNOLD CHRISTOPH;;21.12.73;1;1;FARNHALDE 143;;6390 ENGELBERG;756;D;+41 44 000 84 06;christoph88@post.example;PFLEGEFACHFRAU;01.07.14;31.12.25;
20000102;MUELLER KLAUS;;02.10.69;1;2;ESCHENRING;30;74072 HEILBRONN;276;D;+49 152 28817 80;;VERWALTUNGSANGESTELL;01.03.14;01.12.16;
20000103;MUELLER MELANIE;;13.08.64;2;2;ESCHENRING 30;;74072 HEILBRONX;276;D;+49 152 28817 41;mmueller@post.example;HAUSFRAU;01.01.15;01.02.15;
20000104;MUELLER AMIR;;01.11.07;1;1;ESCHENRING 30;;74072 HEILBRONN;276;D;;amir.mueller@post.example;STUDENTIN;;01.09.15;
20000105;SCHNEIDER TOBIAS;;25.07.71;1;3;HOEHENDAMM 54;;65183 WIESBADEN;276;D;+49 152 28817 86;tobias.schneider71@bluemail.example;KUNSTSCHAFFENDE;01.09.05;31.12.25;
20000106;BECKER JENNIFER;;13.08.96;2;2;BAERENGASSE 63;;76133 KARLSRUHE;276;D;+49 152 28817 53;jennifer37@post.example;DACHDECKERIN;01.08.16;01.12.16;
20000107;BECKER KEVIN;;09.04.92;1;2;BAERENGASSE 63;;76133 KARLSRUHE;276;D;+49 152 28817 12;;LEHRERIN;;31.12.25;
20000108;BECKER LISA;;11.09.07;2;1;BAERENGASSE 63;;76133 KARLSRUHE;276;D;;;STUDENTIN;;01.05.24;
20000109;ODERMATT URS;;23.05.70;1;2;HANGWEG 139;;8400 WINTERTHUR;756;D;+41 44 000 76 49;;MALERIN;01.02.19;31.12.25;MAHNUNG 1 VERSANDT
20000110;ODERMATT VERENA;;19.11.76;2;2;HANGWEG 139;;8400 WINTERTHUR;756;D;;;STUDENTIN;;01.08.16;
20000111;ROHRER SAMUEL;;07.09.05;1;1;HANGWEG 139;;8400 WINTERTHUR;756;D;;;STUDENTIN;01.04.24;01.05.24;
20000112;POHL LISA;;12.08.90;2;2;HIRSCHALLEE 51;;28779 BREMEN;276;D;+49 152 28817 07;;KOECHIN;01.05.13;01.10.21;
20000113;POHL MARCO;;21.12.91;1;2;HIRSCHALLEE 51;;28779 BREMEN;276;D;+49 30 23125 901;marco7@post.example;VERKAEUFERIN;;01.07.23;
20000114;POHL HENRY;;15.12.07;1;1;HIRSCHALLEE 51;;28779 BREMEN;276;D;+49 152 28817 33;;STUDENTIN;;31.12.25;
20000115;HOFER CORINNE;;12.12.80;2;2;VEILCHENSTRASSE 123;;8001 ZUERICH;756;D;;;KAUFMAENNISCHE ANGES;01.05.99;01.02.20;KUNDE WUENSCHT KEINE WERBUNG
20000116;MEIER FELIX;;16.10.77;1;2;VEILCHENSTRASSE 123;;8001 ZUERICH;756;D;+41 44 000 06 03;meier.felix@post.example;PFLEGEFACHFRAU;;01.05.18;
20000117;HOFER DANIEL;;11.01.07;1;1;VEILCHENSTRASSE 123;;8001 ZUERICX;756;D;+41 44 000 28 18;daniel.hofer@bluemail.example;STUDENTIN;;31.12.25;
20000118;WENGER LENA;;21.12.01;2;2;WIESENRAIN 84;;8610 USTEX;756;D;+41 44 000 05 04;;STUDENTIN;01.10.20;01.01.16;RUECKRUF ERBETEN
20000119;BERGER GIAN;;28.04.00;1;2;WIESENRAIN 84;;8610 USTER;756;D;+41 44 000 49 93;;KAUFMAENNISCHE ANGES;01.08.25;31.12.25;
20000120;ROTH ROGER;;22.08.60;1;2;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 07 47;;RENTNERIN;01.01.14;31.12.25;RUECKRUF ERBETEN
20000121;ROTH NADINE;;20.10.60;2;2;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 60 71;;RENTNERIN;;01.04.18;
20000122;ROTH LADINA;;14.03.86;2;1;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 91 94;;KAUFMAENNISCHE ANGES;01.07.11;01.05.18;
20000123;ROTH LENA;;22.02.99;2;1;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 79 22;;ARCHITEKTIN;01.05.25;01.01.17;VN TEL. ANGEFR., RR BIS 15.3.
20000124;ROTH DRAGAN;;04.08.84;1;1;KORNGASSE 42;;8212 NEUHAUSEN AM RHEINFALL;756;D;+41 44 000 91 09;dragan.roth84@mail.example;RENTNERIN;;01.11.19;
20000125;LORENZ SVEN;;20.12.83;1;2;INSELGASSE;168;20249 HAMBURG;276;D;;slorenz@mail.example;SCHREINERIN;01.08.16;01.08.16;
20000126;LORENZ UTE;;05.03.81;2;2;INSELGASSE 168;;20249 HAMBURG;276;D;+49 152 28817 70;;VERWALTUNGSANGESTELL;01.02.25;01.10.16;
20000127;LORENZ ELIAS;;05.12.07;1;1;INSELGASSE 168;;20249 HAMBURG;276;D;+49 152 28817 90;;STUDENTIN;;01.12.15;
20000128;WAGNER HANS-JUERGEN;;22.03.79;1;2;GARTENRING 169;;47051 DUISBURG;276;D;;;AERZTIN;01.08.14;01.05.21;
20000129;WAGNER DAGMAR;;10.02.76;2;5;BAECKERSTEIG 21;;38440 WOLFSBURG;276;D;;;STUDENTIN;01.04.15;01.01.18;
20000130;WIGGER GIPSEREI;EINZELFIRMA;;0;0;MUELLERWEG 18;;4132 MUTTENZ;756;D;+41 44 000 46 79;;;01.09.13;01.12.19;
20000131;DOGAN DRAGAN;;11.12.77;1;2;FICHTENSTEIG 160;;93047 REGENSBURG;276;D;+49 152 28817 70;;CHAUFFEUSE;01.01.96;01.07.21;
20000132;SCHMIDT LINA;;23.01.75;2;2;FICHTENSTEIG 160;;93047 REGENSBURG;276;D;+49 152 28817 72;;KAUFMAENNISCHE ANGES;;01.11.24;
20000133;WEISS FRANZISKA;;23.01.07;2;1;FICHTENSTEIG 160;;93047 REGENSBURG;276;D;+49 152 28817 79;fweiss@bluemail.example;STUDENTIN;01.11.25;01.03.20;
20000134;BAETTIG KURT;;28.10.68;1;2;MONDMATTE 31;;8630 RUETI ZH;756;D;+41 44 000 35 73;kbaettig@bluemail.example;VERWALTUNGSANGESTELL;01.05.18;31.12.25;
20000135;BAETTIG DANIEL;;27.12.73;1;2;MONDMATTE 31;;8630 RUETI ZH;756;D;+41 44 000 85 34;;VERWALTUNGSANGESTELL;;31.12.25;
20000136;HARZ DRUCK GMBH & CO. KG;KG;;0;0;FRUEHLINGSSTRASSE 144;;44135 DORTMUND;276;D;+49 30 23125 155;info@harz-druck.example;;01.03.19;01.09.19;
20000137;GAILLARD PATRICK;;12.11.71;1;2;CHEMIN DES VIOLETTES 126;;1201 GENEVE;756;F;+41 44 000 64 05;;LEHRERIN;01.04.09;01.09.21;
20000138;KLEIN LARS;;03.03.81;1;2;EISENKAMP 174C;;76829 LANDAU IN DER PFALZ;276;D;;lars.klein@web.example;VERKAEUFERIN;01.08.17;01.03.23;
20000139;SCHNEIDER MARGRIT;;09.05.69;2;2;METZGERSTEIG 90;;8610 USTER;756;D;+41 44 000 74 03;margrit64@bluemail.example;RENTNERIN;01.12.20;01.06.21;
20000140;BACHMANN SILVAN;;08.05.74;1;2;METZGERSTEIG 90;;8610 USTER;756;D;+41 44 000 28 59;;PFLEGEFACHFRAU;;01.11.21;
20000141;BOEHM MARKUS;;18.01.56;1;2;BAECKERSTEIG 150B;;93047 REGENSBURG;276;D;+49 30 23125 669;markus54@bluemail.example;RENTNERIN;01.12.19;01.10.20;
20000142;SCHERRER ROLF;;17.08.62;1;5;BAECKERPLATZ 160;;8640 RAPPERSWIL-JONA;756;D;+41 44 000 07 94;rscherrer@mail.example;RENTNERIN;01.05.13;01.04.24;
20000143;SCHERRER CARMEN;;09.11.65;2;5;BAECKERPLATZ 160;;8640 RAPPERSWIL-JONA;756;D;+41 44 000 71 13;cscherrer@mail.example;KAUFMAENNISCHE ANGES;;01.12.22;
20000144;THOMAS SVEN;;21.08.68;1;2;HOEHENHOF 129;;22587 HAMBURG;276;D;;;BERATERIN;01.03.04;31.12.25;
20000145;VETTERLI DANIEL;;23.07.74;1;1;SOMMERRAIN;104;8032 ZUERICH;756;D;+41 44 000 17 84;;VERKAEUFERIN;01.11.16;31.12.25;KUNDE WUENSCHT KEINE WERBUNG
20000146;ZUMSTEIN HEIDI;;06.01.56;2;5;OSTMATTE 63;;9100 HERISAU;756;D;+41 44 000 63 69;;RENTNERIN;01.05.04;31.12.25;
20000147;ZUMSTEIN RUEDI;;19.01.52;1;5;OSTMATTE 63;;9100 HERISAU;756;D;+41 44 000 36 77;;RENTNERIN;;31.12.25;
20000148;ZUMSTEIN SIMON;;02.03.93;1;1;OSTMATTE 63;;9100 HERISAU;756;D;;;SCHREINERIN;01.02.19;01.10.20;
20000149;PATEL KATARZYNA;;04.11.88;2;2;MORGENKAMP 57;;57072 SIEGEN;276;D;+49 152 28817 05;;BERATERIN;01.12.06;01.08.20;
20000150;PATEL SEBASTIAN;;25.02.87;1;2;MORGENKAMP 57;;57072 SIEGEN;276;D;+49 152 28817 15;;JURISTIN;;01.05.24;
20000151;HAENNI SIMON;;12.05.96;1;1;ROGGENHALDE 53;;5630 MURI AG;756;D;+41 44 000 14 38;haenni.simon@post.example;SELBSTAENDIGE UNTERN;01.01.17;01.11.18;VERST. 27.04.24
