quellsystem,tabelle,quell_id,feld,dq_regel,original,injiziert
HAPO,PARTNER,20000146,EMAIL,DQ-06,heidi.zumstein@bluemail.example,
HAPO,PARTNER,20000148,EMAIL,DQ-06,zumstein.simon@post.example,
HAPO,PARTNER,20000148,TEL,DQ-06,+41 44 000 88 95,
HAPO,PARTNER,20000150,EMAIL,DQ-06,patel.sebastian@mail.example,
HAPO,PARTNER,20000153,ADR2,DQ-13,,66
HAPO,PARTNER,20000154,ADR2,DQ-13,,77
HAPO,PARTNER,20000155,EMAIL,DQ-06,sandra.fischer@bluemail.example,
HAPO,PARTNER,20000155,TEL,DQ-06,+41 44 000 43 50,
HAPO,PARTNER,20000158,TEL,DQ-06,+41 44 000 06 65,
HAPO,PARTNER,20000160,EMAIL,DQ-06,raphael.gasser@web.example,
HAPO,PARTNER,20000160,TEL,DQ-06,+41 44 000 73 41,
HAPO,PARTNER,20000161,ADR2,DQ-13,,109
HAPO,PARTNER,20000161,EMAIL,DQ-06,mgasser@post.example,
HAPO,PARTNER,20000163,ADR2,DQ-13,,169A
HAPO,PARTNER,20000164,EMAIL,DQ-06,lnikolic@web.example,
HAPO,PARTNER,20000167,EMAIL,DQ-06,francesco97@bluemail.example,
HAPO,PARTNER,20000167,TEL,DQ-06,+41 44 000 89 00,
HAPO,PARTNER,20000168,EMAIL,DQ-06,aurora97@mail.example,
HAPO,PARTNER,20000169,TEL,DQ-06,+49 152 28817 329,
HAPO,PARTNER,20000170,GESCHL,DQ-26,1,2
HAPO,PARTNER,20000170,EMAIL,DQ-06,matthias52@post.example,
HAPO,PARTNER,20000171,ADR2,DQ-13,,91
HAPO,PARTNER,20000172,EMAIL,DQ-06,sghiringhelli@bluemail.example,
HAPO,PARTNER,20000173,EMAIL,DQ-06,info@léman-logistik.example,
HAPO,PARTNER,20000174,ADR3,DQ-27,87435 KEMPTEN (ALLGAEU),87435 KEMPTEN (ALLGAEUX
HAPO,PARTNER,20000174,TEL,DQ-06,+49 30 23125 716,
HAPO,PARTNER,20000175,ADR2,DQ-13,,69
HAPO,PARTNER,20000175,EMAIL,DQ-06,melanie42@web.example,
HAPO,PARTNER,20000176,EMAIL,DQ-06,janssen.tobias@bluemail.example,
HAPO,PARTNER,20000177,GEBDAT,DQ-05,19801207,00000000
HAPO,PARTNER,20000178,ADR3,DQ-27,53111 BONN,53111 BONNX
HAPO,PARTNER,20000178,EMAIL,DQ-06,dkuhn@web.example,
HAPO,PARTNER,20000182,EMAIL,DQ-06,roth.patrick@bluemail.example,
HAPO,PARTNER,20000182,TEL,DQ-06,+41 44 000 76 44,
HAPO,PARTNER,20000185,EMAIL,DQ-06,info@uetli-velo.example,
HAPO,PARTNER,20000187,EMAIL,DQ-06,alina16@post.example,
HAPO,PARTNER,20000188,EMAIL,DQ-06,tgerber@bluemail.example,
HAPO,PARTNER,20000188,TEL,DQ-06,+41 44 000 22 28,
HAPO,PARTNER,20000191,EMAIL,DQ-06,emeyer@post.example,
HAPO,PARTNER,20000194,EMAIL,DQ-06,lbecker@post.example,
HAPO,PARTNER,20000195,ADR2,DQ-13,,24
HAPO,PARTNER,20000196,EMAIL,DQ-06,tbecker@bluemail.example,
HAPO,PARTNER,20000198,ADR2,DQ-13,,67
HAPO,PARTNER,20000198,EMAIL,DQ-06,hanspeter.sutter61@post.example,
HAPO,PARTNER,20000199,ADR2,DQ-13,,67
HAPO,PARTNER,20000200,EMAIL,DQ-06,livia19@post.example,
HAPO,PARTNER,20000203,ADR3,DQ-27,8708 MAENNEDORF,8708 MAENNEDORX
HAPO,PARTNER,20000204,EMAIL,DQ-06,amir.suter96@mail.example,
HAPO,PARTNER,20000206,EMAIL,DQ-06,marie.baumann@mail.example,
HAPO,PARTNER,20000207,EMAIL,DQ-06,info@mosel-ingenieure.example,
HAPO,PARTNER,20000207,TEL,DQ-06,+49 30 23125 581,
HAPO,PARTNER,20000209,GEBDAT,DQ-05,19670202,00000000
HAPO,PARTNER,20000209,TEL,DQ-06,+49 152 28817 854,
HAPO,PARTNER,20000211,EMAIL,DQ-06,hansruedi.graf52@mail.example,
HAPO,PARTNER,20000212,EMAIL,DQ-06,graf.ursula@bluemail.example,
HAPO,PARTNER,20000214,TEL,DQ-06,+49 152 28817 344,
HAPO,PARTNER,20000215,EMAIL,DQ-06,wagner.ben@mail.example,
HAPO,PARTNER,20000216,EMAIL,DQ-06,emil.wagner@web.example,
HAPO,PARTNER,20000217,EMAIL,DQ-06,petra.ortlepp87@post.example,
HAPO,PARTNER,20000218,EMAIL,DQ-06,nowak.samuel@post.example,
HAPO,PARTNER,20000219,GEBDAT,DQ-05,20071005,19000101
HAPO,PARTNER,20000220,EMAIL,DQ-06,michelle44@web.example,
HAPO,PARTNER,20000223,EMAIL,DQ-06,katrin.schmitz@web.example,
HAPO,PARTNER,20000224,EMAIL,DQ-06,matthias.schmitz85@post.example,
HAPO,PARTNER,20000224,TEL,DQ-06,+49 152 28817 733,
HAPO,PARTNER,20000225,TEL,DQ-06,+41 44 000 95 73,
HAPO,PARTNER,20000227,GEBDAT,DQ-05,19731022,00000000
HAPO,PARTNER,20000227,EMAIL,DQ-06,christian.rudolf@web.example,
HAPO,PARTNER,20000228,GEBDAT,DQ-05,19771203,00000000
HAPO,PARTNER,20000229,ADR2,DQ-13,,40A
HAPO,PARTNER,20000229,EMAIL,DQ-06,jbraun@post.example,
HAPO,PARTNER,20000230,EMAIL,DQ-06,mherrmann@mail.example,
HAPO,PARTNER,20000230,TEL,DQ-06,+49 152 28817 555,
HAPO,PARTNER,20000233,ADR2,DQ-13,,139A
HAPO,PARTNER,20000234,EMAIL,DQ-06,dimitrios.rodriguez68@mail.example,
HAPO,PARTNER,20000234,TEL,DQ-06,+49 152 28817 783,
HAPO,PARTNER,20000239,TEL,DQ-06,+49 152 28817 371,
HAPO,PARTNER,20000240,EMAIL,DQ-06,info@pilatus-malerei.example,
HAPO,PARTNER,20000241,TEL,DQ-06,+49 152 28817 258,
HAPO,PARTNER,20000242,TEL,DQ-06,+49 152 28817 100,
HAPO,PARTNER,20000243,GEBDAT,DQ-05,19540425,19000101
HAPO,PARTNER,20000245,ADR2,DQ-13,,64
HAPO,PARTNER,20000246,ADR2,DQ-13,,157
HAPO,PARTNER,20000247,EMAIL,DQ-06,christiane.moret@bluemail.example,
HAPO,PARTNER,20000247,TEL,DQ-06,+41 44 000 21 71,
HAPO,PARTNER,20000251,EMAIL,DQ-06,dominik.frei@bluemail.example,
HAPO,PARTNER,20000252,EMAIL,DQ-06,elisabeth.frei57@web.example,
HAPO,PARTNER,20000254,EMAIL,DQ-06,anke.fischer85@mail.example,
HAPO,PARTNER,20000255,TEL,DQ-06,+49 152 28817 131,
HAPO,PARTNER,20000259,EMAIL,DQ-06,roth.nils@post.example,
HAPO,PARTNER,20000261,EMAIL,DQ-06,anke.kuehn@post.example,
HAPO,PARTNER,20000262,ADR2,DQ-13,,98
HAPO,PARTNER,20000262,EMAIL,DQ-06,finn83@mail.example,
HAPO,PARTNER,20000262,TEL,DQ-06,+49 152 28817 064,
HAPO,PARTNER,20000263,EMAIL,DQ-06,kevin.kuehn@post.example,
HAPO,PARTNER,20000264,EMAIL,DQ-06,gabriele.kuehn@mail.example,
HAPO,PARTNER,20000265,EMAIL,DQ-06,yhirt@post.example,
HAPO,PARTNER,20000268,GEBDAT,DQ-05,19760724,00000000
HAPO,PARTNER,20000268,ADR2,DQ-13,,86
HAPO,PARTNER,20000268,TEL,DQ-06,+41 44 000 31 03,
HAPO,PARTNER,20000270,ADR2,DQ-13,,67
HAPO,PARTNER,20000270,EMAIL,DQ-06,fabian30@bluemail.example,
HAPO,PARTNER,20000271,EMAIL,DQ-06,simon.burkhalter90@post.example,
HAPO,PARTNER,20000272,TEL,DQ-06,+41 44 000 29 63,
HAPO,PARTNER,20000275,TEL,DQ-06,+41 44 000 01 78,
HAPO,PARTNER,20000277,EMAIL,DQ-06,bauer.lars@bluemail.example,
HAPO,PARTNER,20000278,TEL,DQ-06,+41 44 000 81 80,
HAPO,PARTNER,20000279,GEBDAT,DQ-05,19720406,00000000
HAPO,PARTNER,20000283,ADR3,DQ-27,8212 NEUHAUSEN AM RHEINFALL,8212 NEUHAUSEN AM RHEINFALX
HAPO,PARTNER,20000283,EMAIL,DQ-06,vreni42@mail.example,
HAPO,PARTNER,20000283,TEL,DQ-06,+41 44 000 16 93,
HAPO,PARTNER,20000284,ADR2,DQ-13,,29
HAPO,PARTNER,20000284,EMAIL,DQ-06,tchristen@web.example,
HAPO,PARTNER,20000285,EMAIL,DQ-06,katarzyna.christen68@web.example,
HAPO,PARTNER,20000285,TEL,DQ-06,+41 44 000 28 00,
HAPO,PARTNER,20000287,EMAIL,DQ-06,lchristen@bluemail.example,
HAPO,PARTNER,20000288,EMAIL,DQ-06,ana.celik@bluemail.example,
HAPO,PARTNER,20000288,TEL,DQ-06,+49 152 28817 536,
HAPO,PARTNER,20000289,EMAIL,DQ-06,wagner.matthias@web.example,
HAPO,PARTNER,20000291,TEL,DQ-06,+49 152 28817 203,
HAPO,PARTNER,20000292,GEBDAT,DQ-05,19810920,19000101
HAPO,PARTNER,20000292,EMAIL,DQ-06,lorenz.michael@mail.example,
HAPO,PARTNER,20000293,EMAIL,DQ-06,peter.pascal@post.example,
HAPO,PARTNER,20000294,EMAIL,DQ-06,info@havelland-kinderkrippe.example,
HAPO,PARTNER,20000295,EMAIL,DQ-06,thommen.anna@web.example,
HAPO,PARTNER,20000296,ADR2,DQ-13,,125
HAPO,PARTNER,20000297,TEL,DQ-06,+41 44 000 45 25,
HAPO,PARTNER,20000298,EMAIL,DQ-06,fabienne86@web.example,
HAPO,PARTNER,20000299,ADR2,DQ-13,,137
HAPO,PARTNER,20000299,TEL,DQ-06,+41 44 000 49 83,
HAPO,PARTNER,20000300,EMAIL,DQ-06,thomas89@bluemail.example,
HAPO,PARTNER,20000301,EMAIL,DQ-06,murat.rodriguez@web.example,
HAPO,PARTNER,20000304,EMAIL,DQ-06,luca.meyer@mail.example,
HAPO,PARTNER,20000307,EMAIL,DQ-06,nina.rohrer07@bluemail.example,
HAPO,PARTNER,20000308,EMAIL,DQ-06,fabienne.rohrer07@post.example,
HAPO,PARTNER,20000309,ADR3,DQ-27,8001 ZUERICH,8001 ZUERICX
HAPO,PARTNER,20000309,EMAIL,DQ-06,huber.philipp@post.example,
HAPO,PARTNER,20000313,EMAIL,DQ-06,katrin.kraus@web.example,
HAPO,PARTNER,20000314,EMAIL,DQ-06,christina.hansen@web.example,
HAPO,PARTNER,20000315,TEL,DQ-06,+41 44 000 68 60,
HAPO,PARTNER,20000316,ADR2,DQ-13,,93
HAPO,PARTNER,20000317,EMAIL,DQ-06,berthoud.hugo@mail.example,
HAPO,PARTNER,20000318,EMAIL,DQ-06,isabelle98@mail.example,
HAPO,PARTNER,20000319,EMAIL,DQ-06,koch.priska@post.example,
HAPO,PARTNER,20000319,TEL,DQ-06,+41 44 000 95 85,
HAPO,PARTNER,20000320,EMAIL,DQ-06,info@rhein-garage.example,
HAPO,PARTNER,20000320,TEL,DQ-06,+49 30 23125 889,
HAPO,PARTNER,20000322,EMAIL,DQ-06,annika91@web.example,
HAPO,PARTNER,20000323,EMAIL,DQ-06,droz.frederic@web.example,
HAPO,PARTNER,20000324,TEL,DQ-06,+41 44 000 70 68,
HAPO,PARTNER,20000325,EMAIL,DQ-06,nathalie85@web.example,
HAPO,PARTNER,20000325,TEL,DQ-06,+41 44 000 68 39,
HAPO,PARTNER,20000326,EMAIL,DQ-06,matthey.thomas@mail.example,
HAPO,PARTNER,20000327,EMAIL,DQ-06,info@mittelland-metzgerei.example,
HAPO,PARTNER,20000328,EMAIL,DQ-06,info@taunus-kinderkrippe.example,
HAPO,PARTNER,20000329,EMAIL,DQ-06,chloe.blanc77@web.example,
HAPO,PARTNER,20000329,TEL,DQ-06,+41 44 000 68 54,
HAPO,PARTNER,20000332,EMAIL,DQ-06,elias.lorenz@web.example,
HAPO,PARTNER,20000332,TEL,DQ-06,+49 152 28817 440,
HAPO,PARTNER,20000334,ADR2,DQ-13,,164
HAPO,PARTNER,20000335,EMAIL,DQ-06,agnieszka59@post.example,
HAPO,PARTNER,20000336,TEL,DQ-06,+41 44 000 97 58,
HAPO,PARTNER,20000337,ADR2,DQ-13,,64
HAPO,PARTNER,20000337,EMAIL,DQ-06,rbader@post.example,
HAPO,PARTNER,20000338,EMAIL,DQ-06,david.rudolf@post.example,
HAPO,PARTNER,20000339,TEL,DQ-06,+41 44 000 04 95,
HAPO,PARTNER,20000341,EMAIL,DQ-06,esther.fischer@web.example,
HAPO,PARTNER,20000342,ADR2,DQ-13,,172
HAPO,PARTNER,20000343,ADR2,DQ-13,,35
HAPO,PARTNER,20000343,EMAIL,DQ-06,jmermoud@post.example,
HAPO,PARTNER,20000344,TEL,DQ-06,+41 44 000 52 37,
HAPO,PARTNER,20000345,EMAIL,DQ-06,fournier.maxime@post.example,
HAPO,PARTNER,20000345,TEL,DQ-06,+41 44 000 74 40,
HAPO,PARTNER,20000346,EMAIL,DQ-06,hess.regula@bluemail.example,
HAPO,PARTNER,20000346,TEL,DQ-06,+41 44 000 17 16,
HAPO,PARTNER,20000347,ADR2,DQ-13,,161
HAPO,PARTNER,20000348,TEL,DQ-06,+41 44 000 64 33,
HAPO,PARTNER,20000349,EMAIL,DQ-06,frei.corinne@mail.example,
HAPO,PARTNER,20000350,EMAIL,DQ-06,frei.yannick@bluemail.example,
HAPO,PARTNER,20000353,EMAIL,DQ-06,carlos11@mail.example,
HAPO,PARTNER,20000353,TEL,DQ-06,+41 44 000 99 29,
HAPO,PARTNER,20000354,EMAIL,DQ-06,henchoz.oceane@web.example,
HAPO,PARTNER,20000356,EMAIL,DQ-06,sebastian.wegner@bluemail.example,
HAPO,PARTNER,20000357,TEL,DQ-06,+49 152 28817 662,
HAPO,PARTNER,20000358,ADR3,DQ-27,91522 ANSBACH,91522 ANSBACX
HAPO,PARTNER,20000358,EMAIL,DQ-06,schreiber.christina@post.example,
HAPO,PARTNER,20000359,EMAIL,DQ-06,bschreiber@mail.example,
HAPO,PARTNER,20000363,ADR2,DQ-13,,25
HAPO,PARTNER,20000363,EMAIL,DQ-06,jennifer.schulze86@bluemail.example,
HAPO,PARTNER,20000364,ADR2,DQ-13,,25
HAPO,PARTNER,20000365,ADR2,DQ-13,,25
HAPO,PARTNER,20000366,TEL,DQ-06,+49 152 28817 704,
HAPO,PARTNER,20000368,EMAIL,DQ-06,susanne59@bluemail.example,
HAPO,PARTNER,20000369,ADR2,DQ-13,,180
HAPO,PARTNER,20000369,EMAIL,DQ-06,info@solothurn-west-zimmerei.example,
HAPO,PARTNER,20000370,EMAIL,DQ-06,ftanner@post.example,
HAPO,PARTNER,20000370,TEL,DQ-06,+41 44 000 45 68,
HAPO,PARTNER,20000371,GEBDAT,DQ-05,19930507,00000000
HAPO,PARTNER,20000371,TEL,DQ-06,+41 44 000 13 66,
HAPO,PARTNER,20000372,EMAIL,DQ-06,info@jura-beratung.example,
HAPO,PARTNER,20000373,EMAIL,DQ-06,laura.kaya83@web.example,
HAPO,PARTNER,20000374,EMAIL,DQ-06,koch.fabienne@mail.example,
HAPO,PARTNER,20000376,GEBDAT,DQ-05,20071216,19000101
HAPO,PARTNER,20000376,EMAIL,DQ-06,ben45@post.example,
HAPO,PARTNER,20000377,TEL,DQ-06,+41 44 000 60 44,
HAPO,PARTNER,20000378,EMAIL,DQ-06,tmeyer@web.example,
HAPO,PARTNER,20000379,EMAIL,DQ-06,svetlana.berisha@bluemail.example,
HAPO,PARTNER,20000380,EMAIL,DQ-06,sebastian.weiss82@mail.example,
HAPO,PARTNER,20000381,EMAIL,DQ-06,berisha.lukas@bluemail.example,
HAPO,PARTNER,20000383,TEL,DQ-06,+49 152 28817 583,
HAPO,PARTNER,20000384,EMAIL,DQ-06,carlos92@mail.example,
HAPO,PARTNER,20000384,TEL,DQ-06,+41 44 000 39 32,
HAPO,PARTNER,20000385,EMAIL,DQ-06,akeller@bluemail.example,
HAPO,PARTNER,20000385,TEL,DQ-06,+41 44 000 90 27,
HAPO,PARTNER,20000387,EMAIL,DQ-06,jan.roth@web.example,
HAPO,PARTNER,20000388,EMAIL,DQ-06,froth@web.example,
HAPO,PARTNER,20000389,EMAIL,DQ-06,vesna.novak@mail.example,
HAPO,PARTNER,20000390,EMAIL,DQ-06,sabine47@post.example,
HAPO,PARTNER,20000393,GEBDAT,DQ-05,19890102,19000101
HAPO,PARTNER,20000393,ADR2,DQ-13,,116
HAPO,PARTNER,20000394,ADR2,DQ-13,,116
HAPO,PARTNER,20000397,EMAIL,DQ-06,michaud.guillaume@post.example,
HAPO,PARTNER,20000398,EMAIL,DQ-06,brigitte25@web.example,
HAPO,PARTNER,20000398,TEL,DQ-06,+41 44 000 52 04,
HAPO,PARTNER,20000399,ADR2,DQ-13,,58
HAPO,PARTNER,20000400,EMAIL,DQ-06,torsten29@bluemail.example,
HAPO,PARTNER,20000402,ADR2,DQ-13,,52
HAPO,PARTNER,20000403,EMAIL,DQ-06,matthias.brunner@post.example,
HAPO,PARTNER,20000404,EMAIL,DQ-06,graf.jasmin@post.example,
HAPO,PARTNER,20000404,TEL,DQ-06,+41 44 000 52 16,
HAPO,PARTNER,20000405,EMAIL,DQ-06,felix.graf90@post.example,
HAPO,PARTNER,20000405,TEL,DQ-06,+41 44 000 76 57,
HAPO,PARTNER,20000406,GEBDAT,DQ-05,19821102,19000101
HAPO,PARTNER,20000406,EMAIL,DQ-06,fschulze@mail.example,
HAPO,PARTNER,20000407,GESCHL,DQ-26,1,2
HAPO,PARTNER,20000407,ADR3,DQ-27,48431 RHEINE,48431 RHEINX
HAPO,PARTNER,20000407,TEL,DQ-06,+49 152 28817 306,
HAPO,PARTNER,20000411,ADR2,DQ-13,,109
HAPO,PARTNER,20000411,EMAIL,DQ-06,info@taunus-informatik.example,
HAPO,PARTNER,20000411,TEL,DQ-06,+49 30 23125 214,
HAPO,PARTNER,20000412,ADR2,DQ-13,,121
HAPO,PARTNER,20000412,EMAIL,DQ-06,zeller.nadine@mail.example,
HAPO,PARTNER,20000412,TEL,DQ-06,+49 152 28817 154,
HAPO,PARTNER,20000413,ADR2,DQ-13,,121
HAPO,PARTNER,20000415,EMAIL,DQ-06,simon.ute@post.example,
